卡口名称,jd,wd,过车数量
01卡口,115.57,36.26,311072
02卡口,115.58,36.6,309519
03卡口,115.6,36.48,554078
04卡口,115.61,36.35,4155
05卡口,115.63,36.25,344387
06卡口,115.63,36.51,1559
07卡口,115.63,36.53,132166
08卡口,115.64,36.19,145966
09卡口,115.64,36.53,951573
100卡口,115.88,36.42,557660
101卡口,115.88,36.49,149264
102卡口,115.88,36.61,131287
103卡口,115.89,36.11,24820
104卡口,115.89,36.19,518709
105卡口,115.89,36.21,9006
106卡口,115.89,36.22,687352
107卡口,115.89,36.23,710945
108卡口,115.89,36.26,421205
109卡口,115.89,36.29,436035
10卡口,115.65,36.29,183227
110卡口,115.89,36.36,296195
111卡口,115.89,36.39,153250
112卡口,115.89,36.4,296520
113卡口,115.89,36.51,298057
114卡口,115.89,36.59,386545
115卡口,115.89,36.68,66293
116卡口,115.89,36.7,240536
117卡口,115.9,36.2,680771
118卡口,115.9,36.29,268777
119卡口,115.9,36.45,390920
11卡口,115.66,36.33,460931
120卡口,115.9,36.51,263472
121卡口,115.9,36.55,235042
122卡口,115.9,36.74,729847
123卡口,115.91,36.18,504121
124卡口,115.91,36.23,259728
125卡口,115.91,36.24,443356
126卡口,115.91,36.54,432526
127卡口,115.91,36.58,535651
128卡口,115.91,36.59,33306
129卡口,115.91,36.65,173650
12卡口,115.67,36.59,1352
130卡口,115.91,36.74,346911
131卡口,115.91,36.85,10035
132卡口,115.91,37.05,712059
133卡口,115.92,36.4,188616
134卡口,115.92,36.44,590181
135卡口,115.93,36.1,350358
136卡口,115.93,36.14,225387
137卡口,115.93,36.39,13187
138卡口,115.93,36.44,53406
139卡口,115.93,36.49,488610
13卡口,115.68,36.17,399884
140卡口,115.93,36.51,1277
141卡口,115.93,36.52,207771
142卡口,115.93,36.57,335137
143卡口,115.93,36.76,517684
144卡口,115.94,36.28,223537
145卡口,115.94,36.33,2167
146卡口,115.94,36.37,304267
147卡口,115.94,36.4,430177
148卡口,115.94,36.41,26985
149卡口,115.94,36.44,299891
14卡口,115.69,36.41,219410
150卡口,115.94,36.46,109342
151卡口,115.94,36.48,373325
152卡口,115.94,36.6,288889
153卡口,115.94,36.88,161674
154卡口,115.95,36.14,430344
155卡口,115.95,36.22,419974
156卡口,115.95,36.27,349466
157卡口,115.95,36.34,591902
158卡口,115.95,36.41,550555
159卡口,115.95,36.42,483237
15卡口,115.69,36.43,507866
160卡口,115.95,36.44,12700
161卡口,115.95,36.45,185214
162卡口,115.95,36.47,191727
163卡口,115.95,36.55,437688
164卡口,115.95,36.57,220421
165卡口,115.95,36.65,353750
166卡口,115.95,36.72,375457
167卡口,115.95,36.74,292200
168卡口,115.95,36.99,321911
169卡口,115.95,37.07,465580
