年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,其它,东外,54
2021,3,1,大型汽车,东外,555
2021,3,1,小型普通客车,东外,5428
2021,3,1,小型汽车,东外,857
2021,3,1,重型栏板货车,东外,1127
2021,3,2,其它,东外,54
2021,3,2,大型汽车,东外,725
2021,3,2,小型普通客车,东外,6038
2021,3,2,小型汽车,东外,810
2021,3,2,普通二轮摩托车,东外,1
2021,3,2,重型栏板货车,东外,1578
2021,3,3,其它,东外,59
2021,3,3,大型汽车,东外,946
2021,3,3,小型普通客车,东外,6703
2021,3,3,小型汽车,东外,1001
2021,3,3,普通二轮摩托车,东外,1
2021,3,3,重型栏板货车,东外,1661
2021,3,4,其它,东外,65
2021,3,4,大型汽车,东外,851
2021,3,4,小型普通客车,东外,6483
2021,3,4,小型汽车,东外,818
2021,3,4,重型栏板货车,东外,1759
2021,3,5,其它,东外,71
2021,3,5,大型汽车,东外,930
2021,3,5,小型普通客车,东外,6860
2021,3,5,小型汽车,东外,1060
2021,3,5,普通二轮摩托车,东外,1
2021,3,5,重型栏板货车,东外,1768
2021,3,6,其它,东外,53
2021,3,6,大型汽车,东外,867
2021,3,6,小型普通客车,东外,5299
2021,3,6,小型汽车,东外,736
2021,3,6,普通二轮摩托车,东外,1
2021,3,6,重型栏板货车,东外,1607
2021,3,7,其它,东外,72
2021,3,7,大型汽车,东外,876
2021,3,7,小型普通客车,东外,5257
2021,3,7,小型汽车,东外,825
2021,3,7,普通二轮摩托车,东外,2
2021,3,7,重型栏板货车,东外,1533
2021,3,8,其它,东外,62
2021,3,8,大型汽车,东外,851
2021,3,8,小型普通客车,东外,6939
2021,3,8,小型汽车,东外,752
2021,3,8,普通二轮摩托车,东外,2
2021,3,8,重型栏板货车,东外,1557
2021,3,9,其它,东外,56
2021,3,9,大型汽车,东外,947
2021,3,9,小型普通客车,东外,5732
2021,3,9,小型汽车,东外,858
2021,3,9,普通二轮摩托车,东外,3
2021,3,9,重型栏板货车,东外,1637
2021,3,10,其它,东外,58
2021,3,10,大型汽车,东外,828
2021,3,10,小型普通客车,东外,5322
2021,3,10,小型汽车,东外,1021
2021,3,10,普通二轮摩托车,东外,2
2021,3,10,重型栏板货车,东外,1536
2021,3,11,其它,东外,55
2021,3,11,大型汽车,东外,787
2021,3,11,小型普通客车,东外,5686
2021,3,11,小型汽车,东外,851
2021,3,11,微型栏板货车,东外,1
2021,3,11,普通二轮摩托车,东外,1
2021,3,11,重型栏板货车,东外,1478
2021,3,12,其它,东外,62
2021,3,12,大型汽车,东外,818
2021,3,12,小型普通客车,东外,6557
2021,3,12,小型汽车,东外,800
2021,3,12,重型栏板货车,东外,1545
2021,3,13,其它,东外,61
2021,3,13,大型汽车,东外,826
2021,3,13,小型普通客车,东外,5006
2021,3,13,小型汽车,东外,773
2021,3,13,普通二轮摩托车,东外,3
2021,3,13,重型栏板货车,东外,1344
2021,3,14,其它,东外,47
