年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,其它,东岸,23
2021,3,1,小型普通客车,东岸,1328
2021,3,1,重型栏板货车,东岸,58
2021,3,2,其它,东岸,28
2021,3,2,大型汽车,东岸,4
2021,3,2,小型普通客车,东岸,1269
2021,3,2,小型汽车,东岸,85
2021,3,2,普通二轮摩托车,东岸,3
2021,3,2,重型栏板货车,东岸,50
2021,3,3,其它,东岸,18
2021,3,3,大型汽车,东岸,3
2021,3,3,小型普通客车,东岸,1328
2021,3,3,小型汽车,东岸,44
2021,3,3,普通二轮摩托车,东岸,2
2021,3,3,重型栏板货车,东岸,47
2021,3,4,其它,东岸,18
2021,3,4,大型汽车,东岸,5
2021,3,4,小型普通客车,东岸,1249
2021,3,4,小型汽车,东岸,136
2021,3,4,普通二轮摩托车,东岸,1
2021,3,4,重型栏板货车,东岸,57
2021,3,5,其它,东岸,26
2021,3,5,大型汽车,东岸,9
2021,3,5,小型普通客车,东岸,1293
2021,3,5,小型汽车,东岸,134
2021,3,5,重型栏板货车,东岸,50
2021,3,6,其它,东岸,12
2021,3,6,大型汽车,东岸,3
2021,3,6,小型普通客车,东岸,1101
2021,3,6,小型汽车,东岸,87
2021,3,6,重型栏板货车,东岸,44
2021,3,7,其它,东岸,19
2021,3,7,大型汽车,东岸,1
2021,3,7,小型普通客车,东岸,1080
2021,3,7,小型汽车,东岸,40
2021,3,7,重型栏板货车,东岸,45
2021,3,8,其它,东岸,22
2021,3,8,大型汽车,东岸,6
2021,3,8,小型普通客车,东岸,1344
2021,3,8,小型汽车,东岸,145
2021,3,8,普通二轮摩托车,东岸,2
2021,3,8,重型栏板货车,东岸,55
2021,3,9,其它,东岸,17
2021,3,9,大型汽车,东岸,5
2021,3,9,小型普通客车,东岸,1289
2021,3,9,小型汽车,东岸,134
2021,3,9,重型栏板货车,东岸,48
2021,3,10,其它,东岸,21
2021,3,10,大型汽车,东岸,4
2021,3,10,小型普通客车,东岸,1247
2021,3,10,小型汽车,东岸,128
2021,3,10,普通二轮摩托车,东岸,1
2021,3,10,重型栏板货车,东岸,52
2021,3,11,其它,东岸,17
2021,3,11,大型汽车,东岸,5
2021,3,11,小型普通客车,东岸,1272
2021,3,11,小型汽车,东岸,130
2021,3,11,重型栏板货车,东岸,39
2021,3,12,其它,东岸,16
2021,3,12,大型汽车,东岸,6
2021,3,12,小型普通客车,东岸,1484
2021,3,12,小型汽车,东岸,144
2021,3,12,普通二轮摩托车,东岸,1
2021,3,12,重型栏板货车,东岸,42
2021,3,13,其它,东岸,20
