年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,其它,东昌,34
2021,3,1,大型汽车,东昌,1121
2021,3,1,小型普通客车,东昌,160015
2021,3,1,小型汽车,东昌,9541
2021,3,1,微型栏板货车,东昌,1
2021,3,1,普通二轮摩托车,东昌,5
2021,3,1,重型栏板货车,东昌,4388
2021,3,2,其它,东昌,61
2021,3,2,大型汽车,东昌,1484
2021,3,2,小型普通客车,东昌,155247
2021,3,2,小型汽车,东昌,10903
2021,3,2,微型栏板货车,东昌,4
2021,3,2,普通二轮摩托车,东昌,8
2021,3,2,重型栏板货车,东昌,4946
2021,3,3,其它,东昌,51
2021,3,3,大型汽车,东昌,1677
2021,3,3,小型普通客车,东昌,152517
2021,3,3,小型汽车,东昌,9692
2021,3,3,微型栏板货车,东昌,7
2021,3,3,普通二轮摩托车,东昌,4
2021,3,3,重型栏板货车,东昌,5243
2021,3,4,其它,东昌,57
2021,3,4,大型汽车,东昌,1693
2021,3,4,小型普通客车,东昌,154470
2021,3,4,小型汽车,东昌,11376
2021,3,4,微型栏板货车,东昌,1
2021,3,4,普通二轮摩托车,东昌,2
2021,3,4,重型栏板货车,东昌,5337
2021,3,5,其它,东昌,45
2021,3,5,大型汽车,东昌,1879
2021,3,5,小型普通客车,东昌,144259
2021,3,5,小型汽车,东昌,11062
2021,3,5,微型栏板货车,东昌,2
2021,3,5,普通二轮摩托车,东昌,5
2021,3,5,重型栏板货车,东昌,5301
2021,3,6,其它,东昌,45
2021,3,6,大型汽车,东昌,1270
2021,3,6,小型普通客车,东昌,116405
2021,3,6,小型汽车,东昌,7969
2021,3,6,微型栏板货车,东昌,1
2021,3,6,普通二轮摩托车,东昌,2
2021,3,6,重型栏板货车,东昌,3907
2021,3,7,其它,东昌,57
2021,3,7,大型汽车,东昌,1742
2021,3,7,小型普通客车,东昌,126113
2021,3,7,小型汽车,东昌,9107
2021,3,7,微型栏板货车,东昌,3
2021,3,7,普通二轮摩托车,东昌,4
2021,3,7,重型栏板货车,东昌,4911
2021,3,8,其它,东昌,57
2021,3,8,大型汽车,东昌,1632
2021,3,8,小型普通客车,东昌,155241
2021,3,8,小型汽车,东昌,10562
2021,3,8,普通二轮摩托车,东昌,1
2021,3,8,重型栏板货车,东昌,5336
2021,3,9,其它,东昌,53
2021,3,9,大型汽车,东昌,1784
2021,3,9,小型普通客车,东昌,153833
2021,3,9,小型汽车,东昌,10302
2021,3,9,微型栏板货车,东昌,7
2021,3,9,普通二轮摩托车,东昌,2
2021,3,9,重型栏板货车,东昌,5496
2021,3,10,其它,东昌,60
2021,3,10,大型汽车,东昌,1738
2021,3,10,小型普通客车,东昌,152450
2021,3,10,小型汽车,东昌,9923
2021,3,10,微型栏板货车,东昌,4
2021,3,10,普通二轮摩托车,东昌,5
