年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,其它,东环,1513
2021,3,1,大型汽车,东环,4231
2021,3,1,小型普通客车,东环,71078
2021,3,1,小型汽车,东环,9898
2021,3,1,微型栏板货车,东环,17
2021,3,1,普通二轮摩托车,东环,23
2021,3,1,重型栏板货车,东环,8795
2021,3,2,其它,东环,1547
2021,3,2,大型汽车,东环,5641
2021,3,2,小型普通客车,东环,73620
2021,3,2,小型汽车,东环,11318
2021,3,2,微型栏板货车,东环,19
2021,3,2,普通二轮摩托车,东环,34
2021,3,2,重型栏板货车,东环,11256
2021,3,3,其它,东环,1693
2021,3,3,大型汽车,东环,6483
2021,3,3,小型普通客车,东环,72764
2021,3,3,小型汽车,东环,10654
2021,3,3,微型栏板货车,东环,22
2021,3,3,普通二轮摩托车,东环,31
2021,3,3,重型栏板货车,东环,12096
2021,3,4,其它,东环,1668
2021,3,4,大型汽车,东环,6248
2021,3,4,小型普通客车,东环,72631
2021,3,4,小型汽车,东环,10899
2021,3,4,微型栏板货车,东环,21
2021,3,4,普通二轮摩托车,东环,28
2021,3,4,重型栏板货车,东环,11953
2021,3,5,其它,东环,1610
2021,3,5,大型汽车,东环,6885
2021,3,5,小型普通客车,东环,74656
2021,3,5,小型汽车,东环,12168
2021,3,5,微型栏板货车,东环,12
2021,3,5,普通二轮摩托车,东环,44
2021,3,5,重型栏板货车,东环,12852
2021,3,6,其它,东环,1321
2021,3,6,大型汽车,东环,5857
2021,3,6,小型普通客车,东环,54386
2021,3,6,小型汽车,东环,8413
2021,3,6,微型栏板货车,东环,21
2021,3,6,普通二轮摩托车,东环,26
2021,3,6,重型栏板货车,东环,9860
2021,3,7,其它,东环,1419
2021,3,7,大型汽车,东环,6721
2021,3,7,小型普通客车,东环,63061
2021,3,7,小型汽车,东环,9233
2021,3,7,微型栏板货车,东环,10
2021,3,7,普通二轮摩托车,东环,25
2021,3,7,重型栏板货车,东环,11493
2021,3,8,其它,东环,1718
2021,3,8,大型汽车,东环,6209
2021,3,8,小型普通客车,东环,75204
2021,3,8,小型汽车,东环,10412
2021,3,8,微型栏板货车,东环,23
2021,3,8,普通二轮摩托车,东环,30
2021,3,8,重型栏板货车,东环,11728
2021,3,9,其它,东环,1628
2021,3,9,大型汽车,东环,6793
2021,3,9,小型普通客车,东环,73104
2021,3,9,小型汽车,东环,10517
2021,3,9,微型栏板货车,东环,13
2021,3,9,普通二轮摩托车,东环,37
2021,3,9,重型栏板货车,东环,12127
2021,3,10,其它,东环,1627
2021,3,10,大型汽车,东环,6351
2021,3,10,小型普通客车,东环,72127
