年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,其它,光岳,4
2021,3,1,大型汽车,光岳,671
2021,3,1,小型普通客车,光岳,55824
2021,3,1,小型汽车,光岳,4592
2021,3,1,重型栏板货车,光岳,1846
2021,3,2,其它,光岳,3
2021,3,2,大型汽车,光岳,740
2021,3,2,小型普通客车,光岳,55207
2021,3,2,小型汽车,光岳,5903
2021,3,2,重型栏板货车,光岳,2049
2021,3,3,其它,光岳,3
2021,3,3,大型汽车,光岳,784
2021,3,3,小型普通客车,光岳,55210
2021,3,3,小型汽车,光岳,5384
2021,3,3,重型栏板货车,光岳,2044
2021,3,4,其它,光岳,1
2021,3,4,大型汽车,光岳,736
2021,3,4,小型普通客车,光岳,53336
2021,3,4,小型汽车,光岳,5145
2021,3,4,重型栏板货车,光岳,2137
2021,3,5,其它,光岳,1
2021,3,5,大型汽车,光岳,861
2021,3,5,小型普通客车,光岳,54402
2021,3,5,小型汽车,光岳,5420
2021,3,5,重型栏板货车,光岳,2177
2021,3,6,其它,光岳,7
2021,3,6,大型汽车,光岳,909
2021,3,6,小型普通客车,光岳,54645
2021,3,6,小型汽车,光岳,5179
2021,3,6,重型栏板货车,光岳,2093
2021,3,7,其它,光岳,2
2021,3,7,大型汽车,光岳,870
2021,3,7,小型普通客车,光岳,50335
2021,3,7,小型汽车,光岳,5309
2021,3,7,重型栏板货车,光岳,2019
2021,3,8,其它,光岳,2
2021,3,8,大型汽车,光岳,823
2021,3,8,小型普通客车,光岳,55428
2021,3,8,小型汽车,光岳,4957
2021,3,8,普通二轮摩托车,光岳,1
2021,3,8,重型栏板货车,光岳,2259
2021,3,9,其它,光岳,4
2021,3,9,大型汽车,光岳,871
2021,3,9,小型普通客车,光岳,53112
2021,3,9,小型汽车,光岳,5496
2021,3,9,重型栏板货车,光岳,3226
2021,3,10,其它,光岳,1
2021,3,10,大型汽车,光岳,904
2021,3,10,小型普通客车,光岳,53548
2021,3,10,小型汽车,光岳,5360
2021,3,10,重型栏板货车,光岳,2200
2021,3,11,其它,光岳,1
2021,3,11,大型汽车,光岳,900
2021,3,11,小型普通客车,光岳,52944
2021,3,11,小型汽车,光岳,4421
2021,3,11,重型栏板货车,光岳,2116
2021,3,12,其它,光岳,7
2021,3,12,大型汽车,光岳,860
2021,3,12,小型普通客车,光岳,53663
2021,3,12,小型汽车,光岳,5420
2021,3,12,重型栏板货车,光岳,1947
2021,3,13,其它,光岳,5
2021,3,13,大型汽车,光岳,881
2021,3,13,小型普通客车,光岳,51490
2021,3,13,小型汽车,光岳,4566
2021,3,13,重型栏板货车,光岳,1817
2021,3,14,其它,光岳,10
2021,3,14,大型汽车,光岳,752
2021,3,14,小型普通客车,光岳,47368
2021,3,14,小型汽车,光岳,4609
2021,3,14,重型栏板货车,光岳,1805
2021,3,15,其它,光岳,10
2021,3,15,大型汽车,光岳,843
2021,3,15,小型普通客车,光岳,53746
2021,3,15,小型汽车,光岳,5348
2021,3,15,普通二轮摩托车,光岳,1
2021,3,15,重型栏板货车,光岳,2264
2021,3,16,其它,光岳,13
2021,3,16,大型汽车,光岳,831
2021,3,16,小型普通客车,光岳,51938
2021,3,16,小型汽车,光岳,5656
2021,3,16,重型栏板货车,光岳,2164
2021,3,17,其它,光岳,9
2021,3,17,大型汽车,光岳,828
2021,3,17,小型普通客车,光岳,53079
2021,3,17,小型汽车,光岳,5134
2021,3,17,重型栏板货车,光岳,2257
2021,3,18,其它,光岳,15
2021,3,18,大型汽车,光岳,901
2021,3,18,小型普通客车,光岳,55200
2021,3,18,小型汽车,光岳,5236
2021,3,18,重型栏板货车,光岳,2207
2021,3,19,其它,光岳,12
2021,3,19,大型汽车,光岳,878
2021,3,19,小型普通客车,光岳,54765
2021,3,19,小型汽车,光岳,5696
2021,3,19,重型栏板货车,光岳,2237
2021,3,20,其它,光岳,9
2021,3,20,大型汽车,光岳,745
2021,3,20,小型普通客车,光岳,51510
2021,3,20,小型汽车,光岳,5047
2021,3,20,重型栏板货车,光岳,1947
2021,3,21,其它,光岳,9
2021,3,21,大型汽车,光岳,688
2021,3,21,小型普通客车,光岳,48198
2021,3,21,小型汽车,光岳,4789
2021,3,21,重型栏板货车,光岳,1897
2021,3,22,其它,光岳,8
2021,3,22,大型汽车,光岳,639
2021,3,22,小型普通客车,光岳,51378
2021,3,22,小型汽车,光岳,4588
2021,3,22,重型栏板货车,光岳,2049
2021,3,23,其它,光岳,7
2021,3,23,大型汽车,光岳,627
2021,3,23,小型普通客车,光岳,50768
2021,3,23,小型汽车,光岳,4723
2021,3,23,重型栏板货车,光岳,2169
2021,3,24,其它,光岳,14
2021,3,24,大型汽车,光岳,850
2021,3,24,小型普通客车,光岳,51393
2021,3,24,小型汽车,光岳,4274
2021,3,24,重型栏板货车,光岳,2423
2021,3,25,其它,光岳,6
2021,3,25,大型汽车,光岳,827
2021,3,25,小型普通客车,光岳,51004
2021,3,25,小型汽车,光岳,4731
2021,3,25,普通二轮摩托车,光岳,1
2021,3,25,重型栏板货车,光岳,2415
2021,3,26,其它,光岳,8
2021,3,26,大型汽车,光岳,910
2021,3,26,小型普通客车,光岳,55100
2021,3,26,小型汽车,光岳,5613
2021,3,26,重型栏板货车,光岳,2461
2021,3,27,其它,光岳,10
2021,3,27,大型汽车,光岳,897
2021,3,27,小型普通客车,光岳,52935
2021,3,27,小型汽车,光岳,5607
2021,3,27,重型栏板货车,光岳,2118
2021,3,28,其它,光岳,10
2021,3,28,大型汽车,光岳,885
2021,3,28,小型普通客车,光岳,48645
2021,3,28,小型汽车,光岳,5058
2021,3,28,重型栏板货车,光岳,2086
2021,3,29,其它,光岳,5
2021,3,29,大型汽车,光岳,922
2021,3,29,小型普通客车,光岳,53994
2021,3,29,小型汽车,光岳,4616
2021,3,29,重型栏板货车,光岳,2226
2021,3,30,其它,光岳,10
2021,3,30,大型汽车,光岳,826
2021,3,30,小型普通客车,光岳,52100
2021,3,30,小型汽车,光岳,5663
2021,3,30,重型栏板货车,光岳,2188
2021,3,31,其它,光岳,7
2021,3,31,大型汽车,光岳,882
2021,3,31,小型普通客车,光岳,51346
2021,3,31,小型汽车,光岳,5549
2021,3,31,重型栏板货车,光岳,2258
2021,4,1,其它,光岳,14
2021,4,1,大型汽车,光岳,867
2021,4,1,小型普通客车,光岳,51143
2021,4,1,小型汽车,光岳,4449
2021,4,1,重型栏板货车,光岳,2231
2021,4,2,大型汽车,光岳,962
2021,4,2,小型普通客车,光岳,57460
2021,4,2,小型汽车,光岳,5938
2021,4,2,重型栏板货车,光岳,2358
2021,4,3,其它,光岳,7
2021,4,3,大型汽车,光岳,784
2021,4,3,小型普通客车,光岳,51338
2021,4,3,小型汽车,光岳,5042
2021,4,3,重型栏板货车,光岳,1973
2021,4,4,其它,光岳,10
2021,4,4,大型汽车,光岳,645
