年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,其它,北外,22
2021,3,1,大型汽车,北外,1736
2021,3,1,小型普通客车,北外,17587
2021,3,1,小型汽车,北外,2240
2021,3,1,重型栏板货车,北外,3189
2021,3,2,其它,北外,28
2021,3,2,大型汽车,北外,2002
2021,3,2,小型普通客车,北外,18757
2021,3,2,小型汽车,北外,2564
2021,3,2,重型栏板货车,北外,3889
2021,3,3,其它,北外,47
2021,3,3,大型汽车,北外,2146
2021,3,3,小型普通客车,北外,17568
2021,3,3,小型汽车,北外,2332
2021,3,3,重型栏板货车,北外,3786
2021,3,4,其它,北外,39
2021,3,4,大型汽车,北外,1874
2021,3,4,小型普通客车,北外,16906
2021,3,4,小型汽车,北外,2294
2021,3,4,重型栏板货车,北外,4140
2021,3,5,其它,北外,37
2021,3,5,大型汽车,北外,2348
2021,3,5,小型普通客车,北外,18488
2021,3,5,小型汽车,北外,2513
2021,3,5,重型栏板货车,北外,4623
2021,3,6,其它,北外,14
2021,3,6,大型汽车,北外,2458
2021,3,6,小型普通客车,北外,17151
2021,3,6,小型汽车,北外,2231
2021,3,6,重型栏板货车,北外,4659
2021,3,7,其它,北外,33
2021,3,7,大型汽车,北外,2220
2021,3,7,小型普通客车,北外,16900
2021,3,7,小型汽车,北外,2285
2021,3,7,重型栏板货车,北外,4302
2021,3,8,其它,北外,54
2021,3,8,大型汽车,北外,2242
2021,3,8,小型普通客车,北外,18489
2021,3,8,小型汽车,北外,2402
2021,3,8,重型栏板货车,北外,4470
2021,3,9,其它,北外,37
2021,3,9,大型汽车,北外,2070
2021,3,9,小型普通客车,北外,16718
2021,3,9,小型汽车,北外,2317
2021,3,9,重型栏板货车,北外,4500
2021,3,10,其它,北外,34
2021,3,10,大型汽车,北外,2356
2021,3,10,小型普通客车,北外,17280
2021,3,10,小型汽车,北外,2370
2021,3,10,重型栏板货车,北外,4042
2021,3,11,其它,北外,14
2021,3,11,大型汽车,北外,2382
2021,3,11,小型普通客车,北外,17858
2021,3,11,小型汽车,北外,2440
2021,3,11,重型栏板货车,北外,4018
2021,3,12,其它,北外,37
2021,3,12,大型汽车,北外,2171
2021,3,12,小型普通客车,北外,18483
2021,3,12,小型汽车,北外,2585
2021,3,12,重型栏板货车,北外,3837
2021,3,13,其它,北外,28
2021,3,13,大型汽车,北外,2393
2021,3,13,小型普通客车,北外,18860
2021,3,13,小型汽车,北外,2459
2021,3,13,重型栏板货车,北外,3897
2021,3,14,其它,北外,34
2021,3,14,大型汽车,北外,2143
2021,3,14,小型普通客车,北外,17598
2021,3,14,小型汽车,北外,2292
2021,3,14,重型栏板货车,北外,3786
2021,3,15,其它,北外,17
2021,3,15,大型汽车,北外,2380
2021,3,15,小型普通客车,北外,20136
2021,3,15,小型汽车,北外,2812
2021,3,15,重型栏板货车,北外,4881
2021,3,16,其它,北外,35
2021,3,16,大型汽车,北外,2247
2021,3,16,小型普通客车,北外,17902
2021,3,16,小型汽车,北外,2482
2021,3,16,重型栏板货车,北外,4816
2021,3,17,其它,北外,32
2021,3,17,大型汽车,北外,2524
2021,3,17,小型普通客车,北外,19055
2021,3,17,小型汽车,北外,2463
2021,3,17,重型栏板货车,北外,4860
2021,3,18,其它,北外,20
2021,3,18,大型汽车,北外,2789
2021,3,18,小型普通客车,北外,19562
2021,3,18,小型汽车,北外,2474
2021,3,18,重型栏板货车,北外,4965
2021,3,19,其它,北外,22
2021,3,19,大型汽车,北外,2621
2021,3,19,小型普通客车,北外,19802
2021,3,19,小型汽车,北外,2556
2021,3,19,重型栏板货车,北外,4972
2021,3,20,其它,北外,18
2021,3,20,大型汽车,北外,2390
2021,3,20,小型普通客车,北外,19411
2021,3,20,小型汽车,北外,2529
2021,3,20,重型栏板货车,北外,4570
2021,3,21,其它,北外,72
2021,3,21,大型汽车,北外,1937
2021,3,21,小型普通客车,北外,13442
2021,3,21,小型汽车,北外,1881
2021,3,21,重型栏板货车,北外,3586
2021,3,22,其它,北外,67
2021,3,22,大型汽车,北外,1913
2021,3,22,小型普通客车,北外,15050
2021,3,22,小型汽车,北外,1980
2021,3,22,重型栏板货车,北外,3654
2021,3,23,其它,北外,69
2021,3,23,大型汽车,北外,2031
2021,3,23,小型普通客车,北外,15339
2021,3,23,小型汽车,北外,2034
2021,3,23,重型栏板货车,北外,3828
2021,3,24,其它,北外,43
2021,3,24,大型汽车,北外,2414
2021,3,24,小型普通客车,北外,17066
2021,3,24,小型汽车,北外,2349
2021,3,24,重型栏板货车,北外,4468
2021,3,25,其它,北外,55
2021,3,25,大型汽车,北外,2434
2021,3,25,小型普通客车,北外,16855
2021,3,25,小型汽车,北外,2261
2021,3,25,重型栏板货车,北外,4686
2021,3,26,其它,北外,28
2021,3,26,大型汽车,北外,2778
2021,3,26,小型普通客车,北外,19823
2021,3,26,小型汽车,北外,2630
2021,3,26,重型栏板货车,北外,4724
2021,3,27,其它,北外,44
2021,3,27,大型汽车,北外,2533
2021,3,27,小型普通客车,北外,20320
2021,3,27,小型汽车,北外,2992
2021,3,27,重型栏板货车,北外,4374
2021,3,28,其它,北外,54
2021,3,28,大型汽车,北外,2384
2021,3,28,小型普通客车,北外,18329
2021,3,28,小型汽车,北外,2440
2021,3,28,重型栏板货车,北外,4329
2021,3,29,其它,北外,33
2021,3,29,大型汽车,北外,2565
2021,3,29,小型普通客车,北外,20110
2021,3,29,小型汽车,北外,2593
2021,3,29,重型栏板货车,北外,4775
2021,3,30,其它,北外,38
2021,3,30,大型汽车,北外,2168
2021,3,30,小型普通客车,北外,15058
2021,3,30,小型汽车,北外,2127
2021,3,30,重型栏板货车,北外,4064
2021,3,31,其它,北外,37
2021,3,31,大型汽车,北外,2484
2021,3,31,小型普通客车,北外,18403
2021,3,31,小型汽车,北外,2586
2021,3,31,重型栏板货车,北外,4943
2021,4,1,其它,北外,40
2021,4,1,大型汽车,北外,2592
2021,4,1,小型普通客车,北外,19303
2021,4,1,小型汽车,北外,2500
2021,4,1,重型栏板货车,北外,5025
2021,4,2,其它,北外,34
2021,4,2,大型汽车,北外,2822
2021,4,2,小型普通客车,北外,20165
2021,4,2,小型汽车,北外,2703
2021,4,2,重型栏板货车,北外,4964
2021,4,3,其它,北外,49
2021,4,3,大型汽车,北外,2429
2021,4,3,小型普通客车,北外,17760
2021,4,3,小型汽车,北外,2202
2021,4,3,重型栏板货车,北外,4000
2021,4,4,其它,北外,69
2021,4,4,大型汽车,北外,1728
2021,4,4,小型普通客车,北外,16894
2021,4,4,小型汽车,北外,1961
2021,4,4,重型栏板货车,北外,3366
2021,4,5,其它,北外,37
2021,4,5,大型汽车,北外,2173
2021,4,5,小型普通客车,北外,19798
2021,4,5,小型汽车,北外,2388
2021,4,5,重型栏板货车,北外,4663
2021,4,6,其它,北外,66
2021,4,6,大型汽车,北外,2060
