年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,大型汽车,北斗,12
2021,3,1,小型普通客车,北斗,5420
2021,3,1,小型汽车,北斗,406
2021,3,1,重型栏板货车,北斗,241
2021,3,2,大型汽车,北斗,8
2021,3,2,小型普通客车,北斗,5214
2021,3,2,小型汽车,北斗,272
2021,3,2,重型栏板货车,北斗,233
2021,3,3,其它,北斗,1
2021,3,3,大型汽车,北斗,12
2021,3,3,小型普通客车,北斗,5269
2021,3,3,小型汽车,北斗,443
2021,3,3,重型栏板货车,北斗,250
2021,3,4,大型汽车,北斗,9
2021,3,4,小型普通客车,北斗,5117
2021,3,4,小型汽车,北斗,518
2021,3,4,重型栏板货车,北斗,252
2021,3,5,大型汽车,北斗,11
2021,3,5,小型普通客车,北斗,5216
2021,3,5,小型汽车,北斗,529
2021,3,5,重型栏板货车,北斗,236
2021,3,6,大型汽车,北斗,11
2021,3,6,小型普通客车,北斗,5013
2021,3,6,小型汽车,北斗,439
2021,3,6,重型栏板货车,北斗,235
2021,3,7,大型汽车,北斗,15
2021,3,7,小型普通客车,北斗,4118
2021,3,7,小型汽车,北斗,457
2021,3,7,重型栏板货车,北斗,231
2021,3,8,大型汽车,北斗,14
2021,3,8,小型普通客车,北斗,5260
2021,3,8,小型汽车,北斗,399
2021,3,8,重型栏板货车,北斗,259
2021,3,9,大型汽车,北斗,15
2021,3,9,小型普通客车,北斗,5075
2021,3,9,小型汽车,北斗,363
2021,3,9,重型栏板货车,北斗,253
2021,3,10,大型汽车,北斗,15
2021,3,10,小型普通客车,北斗,5033
2021,3,10,小型汽车,北斗,499
2021,3,10,重型栏板货车,北斗,268
2021,3,11,大型汽车,北斗,10
2021,3,11,小型普通客车,北斗,4940
2021,3,11,小型汽车,北斗,479
2021,3,11,重型栏板货车,北斗,238
2021,3,12,其它,北斗,1
2021,3,12,大型汽车,北斗,11
2021,3,12,小型普通客车,北斗,5254
2021,3,12,小型汽车,北斗,523
2021,3,12,重型栏板货车,北斗,259
2021,3,13,大型汽车,北斗,20
2021,3,13,小型普通客车,北斗,4793
2021,3,13,小型汽车,北斗,488
2021,3,13,重型栏板货车,北斗,263
2021,3,14,大型汽车,北斗,14
2021,3,14,小型普通客车,北斗,4057
2021,3,14,小型汽车,北斗,461
2021,3,14,重型栏板货车,北斗,231
2021,3,15,大型汽车,北斗,7
2021,3,15,小型普通客车,北斗,5228
2021,3,15,小型汽车,北斗,452
2021,3,15,重型栏板货车,北斗,253
2021,3,16,其它,北斗,1
2021,3,16,大型汽车,北斗,11
2021,3,16,小型普通客车,北斗,5087
2021,3,16,小型汽车,北斗,535
2021,3,16,重型栏板货车,北斗,263
2021,3,17,大型汽车,北斗,10
2021,3,17,小型普通客车,北斗,5011
2021,3,17,小型汽车,北斗,420
2021,3,17,重型栏板货车,北斗,256
2021,3,18,大型汽车,北斗,7
2021,3,18,小型普通客车,北斗,5099
2021,3,18,小型汽车,北斗,317
2021,3,18,重型栏板货车,北斗,236
2021,3,19,大型汽车,北斗,12
2021,3,19,小型普通客车,北斗,5035
2021,3,19,小型汽车,北斗,594
2021,3,19,重型栏板货车,北斗,268
2021,3,20,其它,北斗,2
2021,3,20,大型汽车,北斗,15
2021,3,20,小型普通客车,北斗,4924
2021,3,20,小型汽车,北斗,491
2021,3,20,重型栏板货车,北斗,260
2021,3,21,大型汽车,北斗,11
2021,3,21,小型普通客车,北斗,3954
2021,3,21,小型汽车,北斗,407
2021,3,21,重型栏板货车,北斗,184
2021,3,22,其它,北斗,1
2021,3,22,大型汽车,北斗,10
2021,3,22,小型普通客车,北斗,4933
2021,3,22,小型汽车,北斗,357
2021,3,22,重型栏板货车,北斗,240
2021,3,23,其它,北斗,1
2021,3,23,大型汽车,北斗,13
2021,3,23,小型普通客车,北斗,4807
2021,3,23,小型汽车,北斗,522
2021,3,23,重型栏板货车,北斗,231
2021,3,24,大型汽车,北斗,15
2021,3,24,小型普通客车,北斗,4943
2021,3,24,小型汽车,北斗,551
2021,3,24,重型栏板货车,北斗,263
2021,3,25,大型汽车,北斗,15
2021,3,25,小型普通客车,北斗,4823
2021,3,25,小型汽车,北斗,450
2021,3,25,重型栏板货车,北斗,246
2021,3,26,大型汽车,北斗,10
2021,3,26,小型普通客车,北斗,5268
2021,3,26,小型汽车,北斗,481
2021,3,26,重型栏板货车,北斗,246
2021,3,27,大型汽车,北斗,10
2021,3,27,小型普通客车,北斗,5061
2021,3,27,小型汽车,北斗,411
2021,3,27,重型栏板货车,北斗,242
2021,3,28,其它,北斗,1
2021,3,28,大型汽车,北斗,15
2021,3,28,小型普通客车,北斗,4262
2021,3,28,小型汽车,北斗,491
2021,3,28,重型栏板货车,北斗,223
2021,3,29,大型汽车,北斗,19
2021,3,29,小型普通客车,北斗,5276
2021,3,29,小型汽车,北斗,540
2021,3,29,重型栏板货车,北斗,245
2021,3,30,其它,北斗,1
2021,3,30,大型汽车,北斗,14
2021,3,30,小型普通客车,北斗,5015
2021,3,30,小型汽车,北斗,518
2021,3,30,重型栏板货车,北斗,258
2021,3,31,其它,北斗,1
2021,3,31,大型汽车,北斗,12
2021,3,31,小型普通客车,北斗,4775
2021,3,31,小型汽车,北斗,309
2021,3,31,重型栏板货车,北斗,238
2021,4,1,大型汽车,北斗,14
2021,4,1,小型普通客车,北斗,4974
2021,4,1,小型汽车,北斗,489
2021,4,1,重型栏板货车,北斗,275
2021,4,2,大型汽车,北斗,16
2021,4,2,小型普通客车,北斗,5480
2021,4,2,小型汽车,北斗,606
2021,4,2,重型栏板货车,北斗,239
2021,4,3,大型汽车,北斗,20
2021,4,3,小型普通客车,北斗,4258
2021,4,3,小型汽车,北斗,528
2021,4,3,重型栏板货车,北斗,234
2021,4,4,其它,北斗,1
2021,4,4,大型汽车,北斗,13
2021,4,4,小型普通客车,北斗,3782
2021,4,4,小型汽车,北斗,322
2021,4,4,重型栏板货车,北斗,214
2021,4,5,大型汽车,北斗,10
2021,4,5,小型普通客车,北斗,4845
2021,4,5,小型汽车,北斗,523
2021,4,5,重型栏板货车,北斗,258
2021,4,6,其它,北斗,1
2021,4,6,大型汽车,北斗,14
2021,4,6,小型普通客车,北斗,5012
2021,4,6,小型汽车,北斗,489
2021,4,6,重型栏板货车,北斗,228
2021,4,7,大型汽车,北斗,9
2021,4,7,小型普通客车,北斗,5076
2021,4,7,小型汽车,北斗,468
2021,4,7,重型栏板货车,北斗,263
2021,4,8,大型汽车,北斗,16
2021,4,8,小型普通客车,北斗,4992
2021,4,8,小型汽车,北斗,516
2021,4,8,重型栏板货车,北斗,272
2021,4,9,大型汽车,北斗,16
2021,4,9,小型普通客车,北斗,5083
2021,4,9,小型汽车,北斗,455
2021,4,9,重型栏板货车,北斗,268
2021,4,10,大型汽车,北斗,13
2021,4,10,小型普通客车,北斗,4861
2021,4,10,小型汽车,北斗,534
2021,4,10,重型栏板货车,北斗,276
2021,4,11,大型汽车,北斗,16
2021,4,11,小型普通客车,北斗,4024
2021,4,11,小型汽车,北斗,457
2021,4,11,重型栏板货车,北斗,242
2021,4,12,大型汽车,北斗,25
2021,4,12,小型普通客车,北斗,5171
2021,4,12,小型汽车,北斗,524
2021,4,12,重型栏板货车,北斗,252
2021,4,13,其它,北斗,1
2021,4,13,大型汽车,北斗,15
2021,4,13,小型普通客车,北斗,4308
2021,4,13,小型汽车,北斗,424
2021,4,13,重型栏板货车,北斗,249
2021,4,14,大型汽车,北斗,16
2021,4,14,小型普通客车,北斗,4150
2021,4,14,小型汽车,北斗,452
