年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,其它,北环,37
2021,3,1,大型汽车,北环,1949
2021,3,1,小型普通客车,北环,27809
2021,3,1,小型汽车,北环,3726
2021,3,1,微型栏板货车,北环,1
2021,3,1,普通二轮摩托车,北环,6
2021,3,1,重型栏板货车,北环,3637
2021,3,2,其它,北环,24
2021,3,2,大型汽车,北环,1639
2021,3,2,小型普通客车,北环,22591
2021,3,2,小型汽车,北环,3410
2021,3,2,普通二轮摩托车,北环,1
2021,3,2,重型栏板货车,北环,3154
2021,3,3,大型汽车,北环,873
2021,3,3,小型普通客车,北环,12905
2021,3,3,小型汽车,北环,2010
2021,3,3,重型栏板货车,北环,840
2021,3,4,大型汽车,北环,967
2021,3,4,小型普通客车,北环,13631
2021,3,4,小型汽车,北环,2082
2021,3,4,重型栏板货车,北环,1045
2021,3,5,大型汽车,北环,1062
2021,3,5,小型普通客车,北环,14288
2021,3,5,小型汽车,北环,2222
2021,3,5,重型栏板货车,北环,1062
2021,3,6,大型汽车,北环,1201
2021,3,6,小型普通客车,北环,13166
2021,3,6,小型汽车,北环,1998
2021,3,6,重型栏板货车,北环,1139
2021,3,7,大型汽车,北环,1104
2021,3,7,小型普通客车,北环,13053
2021,3,7,小型汽车,北环,2005
2021,3,7,重型栏板货车,北环,1097
2021,3,8,大型汽车,北环,1019
2021,3,8,小型普通客车,北环,14576
2021,3,8,小型汽车,北环,2181
2021,3,8,重型栏板货车,北环,1155
2021,3,9,大型汽车,北环,1026
2021,3,9,小型普通客车,北环,13281
2021,3,9,小型汽车,北环,2070
2021,3,9,重型栏板货车,北环,1060
2021,3,10,其它,北环,30
2021,3,10,大型汽车,北环,1371
2021,3,10,小型普通客车,北环,15732
2021,3,10,小型汽车,北环,2366
2021,3,10,微型栏板货车,北环,1
2021,3,10,普通二轮摩托车,北环,4
2021,3,10,重型栏板货车,北环,1422
2021,3,11,其它,北环,49
2021,3,11,大型汽车,北环,2665
2021,3,11,小型普通客车,北环,27840
2021,3,11,小型汽车,北环,3968
2021,3,11,微型栏板货车,北环,1
2021,3,11,普通二轮摩托车,北环,3
2021,3,11,重型栏板货车,北环,4203
2021,3,12,其它,北环,59
2021,3,12,大型汽车,北环,2651
2021,3,12,小型普通客车,北环,31336
2021,3,12,小型汽车,北环,4671
2021,3,12,微型栏板货车,北环,2
2021,3,12,普通二轮摩托车,北环,6
2021,3,12,重型栏板货车,北环,4403
2021,3,13,其它,北环,60
2021,3,13,大型汽车,北环,2796
2021,3,13,小型普通客车,北环,29618
2021,3,13,小型汽车,北环,4088
2021,3,13,微型栏板货车,北环,1
2021,3,13,普通二轮摩托车,北环,4
2021,3,13,重型栏板货车,北环,4362
2021,3,14,其它,北环,49
2021,3,14,大型汽车,北环,2548
2021,3,14,小型普通客车,北环,27510
2021,3,14,小型汽车,北环,3813
2021,3,14,微型栏板货车,北环,2
2021,3,14,普通二轮摩托车,北环,2
2021,3,14,重型栏板货车,北环,4207
2021,3,15,其它,北环,59
2021,3,15,大型汽车,北环,2566
2021,3,15,小型普通客车,北环,30721
2021,3,15,小型汽车,北环,4618
2021,3,15,普通二轮摩托车,北环,4
2021,3,15,重型栏板货车,北环,4554
2021,3,16,其它,北环,61
2021,3,16,大型汽车,北环,2766
2021,3,16,小型普通客车,北环,29589
2021,3,16,小型汽车,北环,4278
2021,3,16,普通二轮摩托车,北环,6
2021,3,16,重型栏板货车,北环,4923
2021,3,17,其它,北环,56
2021,3,17,大型汽车,北环,2765
2021,3,17,小型普通客车,北环,28591
2021,3,17,小型汽车,北环,3887
2021,3,17,微型栏板货车,北环,1
2021,3,17,普通二轮摩托车,北环,4
2021,3,17,重型栏板货车,北环,4447
2021,3,18,其它,北环,68
2021,3,18,大型汽车,北环,2928
2021,3,18,小型普通客车,北环,29589
2021,3,18,小型汽车,北环,3913
2021,3,18,微型栏板货车,北环,3
2021,3,18,普通二轮摩托车,北环,1
2021,3,18,重型栏板货车,北环,4562
2021,3,19,其它,北环,60
2021,3,19,大型汽车,北环,2851
2021,3,19,小型普通客车,北环,30654
2021,3,19,小型汽车,北环,4102
2021,3,19,微型栏板货车,北环,1
2021,3,19,普通二轮摩托车,北环,4
2021,3,19,重型栏板货车,北环,4834
2021,3,20,其它,北环,63
2021,3,20,大型汽车,北环,2572
2021,3,20,小型普通客车,北环,29679
2021,3,20,小型汽车,北环,4065
2021,3,20,普通二轮摩托车,北环,5
2021,3,20,重型栏板货车,北环,4489
2021,3,21,其它,北环,83
2021,3,21,大型汽车,北环,2081
2021,3,21,小型普通客车,北环,24388
2021,3,21,小型汽车,北环,3619
2021,3,21,微型栏板货车,北环,2
2021,3,21,普通二轮摩托车,北环,3
2021,3,21,重型栏板货车,北环,3660
2021,3,22,其它,北环,65
2021,3,22,大型汽车,北环,2240
2021,3,22,小型普通客车,北环,27227
2021,3,22,小型汽车,北环,4132
2021,3,22,微型栏板货车,北环,2
2021,3,22,普通二轮摩托车,北环,6
2021,3,22,重型栏板货车,北环,3840
2021,3,23,其它,北环,74
2021,3,23,大型汽车,北环,2381
2021,3,23,小型普通客车,北环,25571
2021,3,23,小型汽车,北环,3847
2021,3,23,微型栏板货车,北环,1
2021,3,23,普通二轮摩托车,北环,3
2021,3,23,重型栏板货车,北环,3758
2021,3,24,其它,北环,58
2021,3,24,大型汽车,北环,2889
2021,3,24,小型普通客车,北环,28470
2021,3,24,小型汽车,北环,4222
2021,3,24,普通二轮摩托车,北环,2
2021,3,24,重型栏板货车,北环,4767
