年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,30,中型轿车,南环,1225
2021,3,30,大型普通客车,南环,79
2021,3,30,大型汽车,南环,243
2021,3,30,小型汽车,南环,313
2021,3,30,轻型栏板货车,南环,207
2021,3,30,重型栏板货车,南环,274
2021,3,31,中型轿车,南环,2403
2021,3,31,大型普通客车,南环,178
2021,3,31,大型汽车,南环,705
2021,3,31,小型汽车,南环,719
2021,3,31,轻型栏板货车,南环,397
2021,3,31,重型栏板半挂车,南环,1
2021,3,31,重型栏板货车,南环,655
2021,4,1,中型轿车,南环,3278
2021,4,1,其它,南环,7
2021,4,1,大型普通客车,南环,182
2021,4,1,大型汽车,南环,677
2021,4,1,小型汽车,南环,776
2021,4,1,轻型栏板货车,南环,449
2021,4,1,重型栏板货车,南环,661
2021,4,2,中型轿车,南环,3891
2021,4,2,其它,南环,26
2021,4,2,大型普通客车,南环,259
2021,4,2,大型汽车,南环,564
2021,4,2,小型汽车,南环,995
2021,4,2,轻型栏板货车,南环,322
2021,4,2,重型栏板货车,南环,524
2021,4,3,中型轿车,南环,4001
2021,4,3,其它,南环,35
2021,4,3,大型普通客车,南环,180
2021,4,3,大型汽车,南环,453
2021,4,3,小型汽车,南环,1140
2021,4,3,普通二轮摩托车,南环,1
2021,4,3,轻型栏板货车,南环,188
2021,4,3,重型栏板货车,南环,326
2021,4,4,中型轿车,南环,4281
2021,4,4,其它,南环,27
2021,4,4,大型普通客车,南环,143
2021,4,4,大型汽车,南环,335
2021,4,4,小型汽车,南环,864
2021,4,4,轻型栏板货车,南环,221
2021,4,4,重型栏板货车,南环,350
2021,4,5,中型轿车,南环,3837
2021,4,5,其它,南环,26
2021,4,5,大型普通客车,南环,251
2021,4,5,大型汽车,南环,457
2021,4,5,小型汽车,南环,1131
2021,4,5,轻型栏板货车,南环,256
2021,4,5,重型栏板货车,南环,383
2021,4,6,中型轿车,南环,1128
2021,4,6,其它,南环,11
2021,4,6,大型普通客车,南环,54
2021,4,6,大型汽车,南环,81
2021,4,6,小型汽车,南环,190
2021,4,6,轻型栏板货车,南环,83
2021,4,6,重型栏板货车,南环,128
2021,4,27,中型轿车,南环,1244
2021,4,27,其它,南环,10
2021,4,27,大型普通客车,南环,66
2021,4,27,大型汽车,南环,125
2021,4,27,小型汽车,南环,264
2021,4,27,轻型栏板货车,南环,79
2021,4,27,重型栏板货车,南环,130
2021,4,28,中型轿车,南环,2207
2021,4,28,其它,南环,17
2021,4,28,大型普通客车,南环,182
2021,4,28,大型汽车,南环,382
2021,4,28,小型汽车,南环,533
2021,4,28,轻型栏板货车,南环,194
2021,4,28,重型栏板货车,南环,290
2021,4,29,中型轿车,南环,2770
2021,4,29,其它,南环,18
2021,4,29,大型普通客车,南环,136
2021,4,29,大型汽车,南环,275
2021,4,29,小型汽车,南环,466
2021,4,29,轻型栏板货车,南环,183
2021,4,29,重型栏板货车,南环,230
2021,4,30,中型轿车,南环,4155
2021,4,30,其它,南环,29
2021,4,30,大型普通客车,南环,242
2021,4,30,大型汽车,南环,499
2021,4,30,小型汽车,南环,991
2021,4,30,轻型栏板货车,南环,291
2021,4,30,重型栏板货车,南环,463
2021,5,1,中型轿车,南环,3456
2021,5,1,其它,南环,11
2021,5,1,大型普通客车,南环,167
2021,5,1,大型汽车,南环,308
2021,5,1,小型汽车,南环,1052
2021,5,1,轻型栏板货车,南环,159
2021,5,1,重型栏板货车,南环,304
2021,5,2,中型轿车,南环,3228
2021,5,2,其它,南环,24
2021,5,2,大型普通客车,南环,169
2021,5,2,大型汽车,南环,298
2021,5,2,小型汽车,南环,1190
2021,5,2,轻型栏板货车,南环,227
2021,5,2,重型栏板货车,南环,341
2021,5,3,中型轿车,南环,3917
2021,5,3,其它,南环,17
2021,5,3,大型普通客车,南环,184
2021,5,3,大型汽车,南环,266
2021,5,3,小型汽车,南环,1340
2021,5,3,轻型栏板货车,南环,212
2021,5,3,重型栏板货车,南环,251
2021,5,4,中型轿车,南环,3491
2021,5,4,其它,南环,28
2021,5,4,大型普通客车,南环,145
2021,5,4,大型汽车,南环,272
2021,5,4,小型汽车,南环,1113
2021,5,4,轻型栏板货车,南环,198
2021,5,4,重型栏板货车,南环,334
2021,5,5,中型轿车,南环,2263
2021,5,5,其它,南环,9
2021,5,5,大型普通客车,南环,82
2021,5,5,大型汽车,南环,188
2021,5,5,小型汽车,南环,518
2021,5,5,轻型栏板货车,南环,120
2021,5,5,重型栏板货车,南环,181
2021,5,6,中型轿车,南环,2391
2021,5,6,其它,南环,7
2021,5,6,大型普通客车,南环,158
2021,5,6,大型汽车,南环,450
2021,5,6,小型汽车,南环,534
2021,5,6,轻型栏板货车,南环,210
2021,5,6,重型栏板货车,南环,340
2021,5,7,中型轿车,南环,2401
2021,5,7,其它,南环,11
2021,5,7,大型普通客车,南环,225
2021,5,7,大型汽车,南环,437
2021,5,7,小型汽车,南环,492
2021,5,7,轻型栏板货车,南环,173
2021,5,7,重型栏板货车,南环,324
2021,5,8,中型轿车,南环,2437
2021,5,8,其它,南环,16
2021,5,8,大型普通客车,南环,145
2021,5,8,大型汽车,南环,398
2021,5,8,小型汽车,南环,580
2021,5,8,普通二轮摩托车,南环,1
2021,5,8,轻型栏板货车,南环,206
2021,5,8,重型栏板货车,南环,371
2021,5,9,中型轿车,南环,3036
2021,5,9,其它,南环,17
2021,5,9,大型普通客车,南环,161
2021,5,9,大型汽车,南环,402
2021,5,9,小型汽车,南环,671
2021,5,9,轻型栏板货车,南环,211
2021,5,9,重型栏板货车,南环,287
2021,5,10,中型轿车,南环,3317
2021,5,10,其它,南环,27
2021,5,10,大型普通客车,南环,195
2021,5,10,大型汽车,南环,429
2021,5,10,小型汽车,南环,768
2021,5,10,轻型栏板货车,南环,199
2021,5,10,重型栏板货车,南环,323
2021,5,11,中型轿车,南环,2753
2021,5,11,其它,南环,16
2021,5,11,大型普通客车,南环,181
2021,5,11,大型汽车,南环,429
2021,5,11,小型汽车,南环,599
2021,5,11,轻型栏板货车,南环,219
2021,5,11,重型栏板货车,南环,357
2021,5,12,中型轿车,南环,2407
2021,5,12,其它,南环,11
2021,5,12,大型普通客车,南环,169
2021,5,12,大型汽车,南环,431
2021,5,12,小型汽车,南环,483
2021,5,12,轻型栏板货车,南环,204
2021,5,12,重型栏板货车,南环,346
2021,5,13,中型轿车,南环,3014
2021,5,13,其它,南环,15
2021,5,13,大型普通客车,南环,248
2021,5,13,大型汽车,南环,397
2021,5,13,小型汽车,南环,672
2021,5,13,轻型栏板货车,南环,183
2021,5,13,重型栏板货车,南环,390
2021,5,14,中型轿车,南环,3408
2021,5,14,其它,南环,23
2021,5,14,大型普通客车,南环,235
2021,5,14,大型汽车,南环,404
2021,5,14,小型汽车,南环,636
2021,5,14,轻型栏板货车,南环,205
2021,5,14,重型栏板货车,南环,325
2021,5,15,中型轿车,南环,2966
2021,5,15,其它,南环,20
2021,5,15,大型普通客车,南环,210
2021,5,15,大型汽车,南环,266
2021,5,15,小型汽车,南环,576
2021,5,15,轻型栏板货车,南环,185
2021,5,15,重型栏板货车,南环,239
2021,5,16,中型轿车,南环,3013
2021,5,16,其它,南环,19
2021,5,16,大型普通客车,南环,139
2021,5,16,大型汽车,南环,305
2021,5,16,小型汽车,南环,675
2021,5,16,轻型栏板货车,南环,181
2021,5,16,重型栏板货车,南环,238
2021,5,17,中型轿车,南环,1769
2021,5,17,其它,南环,7
2021,5,17,大型普通客车,南环,150
2021,5,17,大型汽车,南环,286
2021,5,17,小型汽车,南环,418
2021,5,17,轻型栏板货车,南环,154
2021,5,17,重型栏板货车,南环,253
2021,5,18,中型轿车,南环,2147
2021,5,18,其它,南环,17
2021,5,18,大型普通客车,南环,132
2021,5,18,大型汽车,南环,371
2021,5,18,小型汽车,南环,445
2021,5,18,轻型栏板货车,南环,142
2021,5,18,重型栏板货车,南环,318
2021,5,19,中型轿车,南环,2743
2021,5,19,其它,南环,26
2021,5,19,大型普通客车,南环,202
2021,5,19,大型汽车,南环,361
2021,5,19,小型汽车,南环,601
2021,5,19,轻型栏板货车,南环,165
2021,5,19,重型栏板货车,南环,293
2021,5,20,中型轿车,南环,3104
2021,5,20,其它,南环,22
2021,5,20,大型普通客车,南环,268
2021,5,20,大型汽车,南环,338
2021,5,20,小型汽车,南环,769
2021,5,20,轻型栏板货车,南环,204
2021,5,20,重型栏板货车,南环,336
2021,5,21,中型轿车,南环,2420
2021,5,21,其它,南环,11
2021,5,21,大型普通客车,南环,198
2021,5,21,大型汽车,南环,337
2021,5,21,小型汽车,南环,460
2021,5,21,轻型栏板货车,南环,183
2021,5,21,重型栏板货车,南环,380
2021,5,22,中型轿车,南环,2635
2021,5,22,其它,南环,17
2021,5,22,大型普通客车,南环,240
