年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,其它,张古,2
2021,3,1,大型汽车,张古,10
2021,3,1,小型普通客车,张古,9458
2021,3,1,小型汽车,张古,586
2021,3,1,重型栏板货车,张古,207
2021,3,2,其它,张古,1
2021,3,2,大型汽车,张古,8
2021,3,2,小型普通客车,张古,9050
2021,3,2,小型汽车,张古,868
2021,3,2,重型栏板货车,张古,191
2021,3,3,其它,张古,7
2021,3,3,大型汽车,张古,8
2021,3,3,小型普通客车,张古,8781
2021,3,3,小型汽车,张古,768
2021,3,3,重型栏板货车,张古,220
2021,3,4,其它,张古,4
2021,3,4,大型汽车,张古,7
2021,3,4,小型普通客车,张古,8842
2021,3,4,小型汽车,张古,420
2021,3,4,重型栏板货车,张古,207
2021,3,5,其它,张古,6
2021,3,5,大型汽车,张古,11
2021,3,5,小型普通客车,张古,9035
2021,3,5,小型汽车,张古,826
2021,3,5,重型栏板货车,张古,218
2021,3,6,其它,张古,2
2021,3,6,大型汽车,张古,11
2021,3,6,小型普通客车,张古,8472
2021,3,6,小型汽车,张古,854
2021,3,6,重型栏板货车,张古,188
2021,3,7,其它,张古,2
2021,3,7,大型汽车,张古,13
2021,3,7,小型普通客车,张古,7256
2021,3,7,小型汽车,张古,606
2021,3,7,重型栏板货车,张古,176
2021,3,8,其它,张古,2
2021,3,8,大型汽车,张古,9
2021,3,8,小型普通客车,张古,9323
2021,3,8,小型汽车,张古,753
2021,3,8,普通二轮摩托车,张古,1
2021,3,8,重型栏板货车,张古,206
2021,3,9,其它,张古,2
2021,3,9,大型汽车,张古,12
2021,3,9,小型普通客车,张古,8783
2021,3,9,小型汽车,张古,949
2021,3,9,重型栏板货车,张古,228
2021,3,10,其它,张古,3
2021,3,10,大型汽车,张古,8
2021,3,10,小型普通客车,张古,8616
2021,3,10,小型汽车,张古,725
2021,3,10,重型栏板货车,张古,228
2021,3,11,其它,张古,1
2021,3,11,大型汽车,张古,6
2021,3,11,小型普通客车,张古,8986
2021,3,11,小型汽车,张古,410
2021,3,11,重型栏板货车,张古,212
2021,3,12,其它,张古,2
2021,3,12,大型汽车,张古,11
2021,3,12,小型普通客车,张古,9107
2021,3,12,小型汽车,张古,999
2021,3,12,重型栏板货车,张古,198
2021,3,13,其它,张古,2
2021,3,13,大型汽车,张古,5
2021,3,13,小型普通客车,张古,8056
2021,3,13,小型汽车,张古,457
2021,3,13,重型栏板货车,张古,215
2021,3,14,大型汽车,张古,12
2021,3,14,小型普通客车,张古,7432
2021,3,14,小型汽车,张古,792
2021,3,14,重型栏板货车,张古,188
2021,3,15,其它,张古,2
2021,3,15,大型汽车,张古,3
2021,3,15,小型普通客车,张古,8864
2021,3,15,小型汽车,张古,442
2021,3,15,重型栏板货车,张古,218
2021,3,16,其它,张古,4
2021,3,16,大型汽车,张古,7
2021,3,16,小型普通客车,张古,8771
2021,3,16,小型汽车,张古,479
2021,3,16,重型栏板货车,张古,222
2021,3,17,其它,张古,3
2021,3,17,大型汽车,张古,8
2021,3,17,小型普通客车,张古,8461
2021,3,17,小型汽车,张古,767
2021,3,17,重型栏板货车,张古,213
2021,3,18,其它,张古,2
2021,3,18,大型汽车,张古,9
2021,3,18,小型普通客车,张古,8911
2021,3,18,小型汽车,张古,975
2021,3,18,重型栏板货车,张古,224
2021,3,19,其它,张古,6
2021,3,19,大型汽车,张古,12
2021,3,19,小型普通客车,张古,8995
2021,3,19,小型汽车,张古,805
2021,3,19,重型栏板货车,张古,239
2021,3,20,其它,张古,4
2021,3,20,大型汽车,张古,8
2021,3,20,小型普通客车,张古,8661
2021,3,20,小型汽车,张古,672
2021,3,20,重型栏板货车,张古,209
2021,3,21,其它,张古,4
2021,3,21,大型汽车,张古,8
2021,3,21,小型普通客车,张古,6750
2021,3,21,小型汽车,张古,672
2021,3,21,重型栏板货车,张古,153
2021,3,22,其它,张古,7
2021,3,22,大型汽车,张古,7
2021,3,22,小型普通客车,张古,8314
2021,3,22,小型汽车,张古,623
2021,3,22,重型栏板货车,张古,192
2021,3,23,其它,张古,1
2021,3,23,大型汽车,张古,7
2021,3,23,小型普通客车,张古,8191
2021,3,23,小型汽车,张古,679
2021,3,23,重型栏板货车,张古,191
2021,3,24,其它,张古,3
2021,3,24,大型汽车,张古,11
2021,3,24,小型普通客车,张古,8596
2021,3,24,小型汽车,张古,744
2021,3,24,重型栏板货车,张古,208
2021,3,25,其它,张古,1
2021,3,25,大型汽车,张古,9
2021,3,25,小型普通客车,张古,8456
2021,3,25,小型汽车,张古,709
2021,3,25,重型栏板货车,张古,193
2021,3,26,其它,张古,1
2021,3,26,大型汽车,张古,10
2021,3,26,小型普通客车,张古,9314
2021,3,26,小型汽车,张古,735
2021,3,26,重型栏板货车,张古,220
2021,3,27,其它,张古,5
2021,3,27,大型汽车,张古,11
2021,3,27,小型普通客车,张古,8597
2021,3,27,小型汽车,张古,784
2021,3,27,重型栏板货车,张古,186
2021,3,28,其它,张古,1
2021,3,28,大型汽车,张古,13
2021,3,28,小型普通客车,张古,7232
2021,3,28,小型汽车,张古,789
2021,3,28,重型栏板货车,张古,177
2021,3,29,其它,张古,6
2021,3,29,大型汽车,张古,11
2021,3,29,小型普通客车,张古,8920
2021,3,29,小型汽车,张古,937
2021,3,29,重型栏板货车,张古,206
2021,3,30,其它,张古,1
2021,3,30,大型汽车,张古,20
2021,3,30,小型普通客车,张古,8574
