年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,4,11,大型汽车,当代,4
2021,4,11,小型普通客车,当代,2741
2021,4,11,小型汽车,当代,317
2021,4,11,重型栏板货车,当代,47
2021,4,12,其它,当代,1
2021,4,12,大型汽车,当代,7
2021,4,12,小型普通客车,当代,8676
2021,4,12,小型汽车,当代,671
2021,4,12,重型栏板货车,当代,190
2021,4,13,大型汽车,当代,17
2021,4,13,小型普通客车,当代,8143
2021,4,13,小型汽车,当代,778
2021,4,13,重型栏板货车,当代,239
2021,4,14,大型汽车,当代,10
2021,4,14,小型普通客车,当代,7797
2021,4,14,小型汽车,当代,730
2021,4,14,重型栏板货车,当代,212
2021,4,15,大型汽车,当代,23
2021,4,15,小型普通客车,当代,8835
2021,4,15,小型汽车,当代,967
2021,4,15,重型栏板货车,当代,231
2021,4,16,大型汽车,当代,18
2021,4,16,小型普通客车,当代,9003
2021,4,16,小型汽车,当代,1094
2021,4,16,重型栏板货车,当代,235
2021,4,17,大型汽车,当代,20
2021,4,17,小型普通客车,当代,7070
2021,4,17,小型汽车,当代,695
2021,4,17,重型栏板货车,当代,170
2021,4,18,大型汽车,当代,14
2021,4,18,小型普通客车,当代,6650
2021,4,18,小型汽车,当代,684
2021,4,18,重型栏板货车,当代,172
2021,4,19,其它,当代,1
2021,4,19,大型汽车,当代,11
2021,4,19,小型普通客车,当代,8440
2021,4,19,小型汽车,当代,1019
2021,4,19,重型栏板货车,当代,210
2021,4,20,大型汽车,当代,22
2021,4,20,小型普通客车,当代,8965
2021,4,20,小型汽车,当代,1032
2021,4,20,重型栏板货车,当代,242
2021,4,21,大型汽车,当代,14
2021,4,21,小型普通客车,当代,9458
2021,4,21,小型汽车,当代,1059
2021,4,21,重型栏板货车,当代,224
2021,4,22,其它,当代,1
2021,4,22,大型汽车,当代,18
2021,4,22,小型普通客车,当代,9965
2021,4,22,小型汽车,当代,1060
2021,4,22,重型栏板货车,当代,229
2021,4,23,大型汽车,当代,18
2021,4,23,小型普通客车,当代,9229
2021,4,23,小型汽车,当代,952
2021,4,23,重型栏板货车,当代,225
2021,4,24,大型汽车,当代,17
2021,4,24,小型普通客车,当代,8457
2021,4,24,小型汽车,当代,812
2021,4,24,重型栏板货车,当代,221
2021,4,25,大型汽车,当代,16
2021,4,25,小型普通客车,当代,8653
2021,4,25,小型汽车,当代,713
2021,4,25,重型栏板货车,当代,229
2021,4,26,大型汽车,当代,23
2021,4,26,小型普通客车,当代,9831
2021,4,26,小型汽车,当代,854
2021,4,26,重型栏板货车,当代,223
2021,4,27,大型汽车,当代,26
2021,4,27,小型普通客车,当代,8093
2021,4,27,小型汽车,当代,922
2021,4,27,重型栏板货车,当代,207
2021,4,28,大型汽车,当代,21
2021,4,28,小型普通客车,当代,7958
2021,4,28,小型汽车,当代,759
2021,4,28,重型栏板货车,当代,206
2021,4,29,大型汽车,当代,21
2021,4,29,小型普通客车,当代,8696
2021,4,29,小型汽车,当代,957
2021,4,29,重型栏板货车,当代,246
2021,4,30,大型汽车,当代,25
2021,4,30,小型普通客车,当代,9710
2021,4,30,小型汽车,当代,1082
2021,4,30,重型栏板货车,当代,234
2021,5,1,大型汽车,当代,15
2021,5,1,小型普通客车,当代,6921
2021,5,1,小型汽车,当代,857
2021,5,1,重型栏板货车,当代,161
2021,5,3,大型汽车,当代,2
2021,5,3,小型普通客车,当代,782
2021,5,3,小型汽车,当代,67
2021,5,3,重型栏板货车,当代,20
2021,5,4,大型汽车,当代,15
2021,5,4,小型普通客车,当代,6880
2021,5,4,小型汽车,当代,837
2021,5,4,重型栏板货车,当代,214
2021,5,5,大型汽车,当代,16
2021,5,5,小型普通客车,当代,6552
2021,5,5,小型汽车,当代,684
2021,5,5,重型栏板货车,当代,163
2021,5,6,大型汽车,当代,14
2021,5,6,小型普通客车,当代,8302
2021,5,6,小型汽车,当代,910
2021,5,6,重型栏板货车,当代,204
2021,5,7,大型汽车,当代,24
2021,5,7,小型普通客车,当代,8505
2021,5,7,小型汽车,当代,1006
2021,5,7,重型栏板货车,当代,237
2021,5,8,大型汽车,当代,26
2021,5,8,小型普通客车,当代,8131
2021,5,8,小型汽车,当代,923
2021,5,8,重型栏板货车,当代,226
2021,5,9,大型汽车,当代,18
2021,5,9,小型普通客车,当代,7513
2021,5,9,小型汽车,当代,846
2021,5,9,重型栏板货车,当代,197
2021,5,10,大型汽车,当代,23
2021,5,10,小型普通客车,当代,8903
2021,5,10,小型汽车,当代,966
2021,5,10,普通二轮摩托车,当代,1
2021,5,10,重型栏板货车,当代,246
2021,5,11,大型汽车,当代,15
2021,5,11,小型普通客车,当代,8355
2021,5,11,小型汽车,当代,977
2021,5,11,重型栏板货车,当代,243
2021,5,12,大型汽车,当代,13
2021,5,12,小型普通客车,当代,7901
2021,5,12,小型汽车,当代,743
2021,5,12,重型栏板货车,当代,223
2021,5,13,大型汽车,当代,20
2021,5,13,小型普通客车,当代,8563
2021,5,13,小型汽车,当代,1008
2021,5,13,重型栏板货车,当代,217
2021,5,14,大型汽车,当代,20
2021,5,14,小型普通客车,当代,8760
2021,5,14,小型汽车,当代,995
2021,5,14,重型栏板货车,当代,243
2021,5,15,大型汽车,当代,26
2021,5,15,小型普通客车,当代,8341
2021,5,15,小型汽车,当代,863
2021,5,15,重型栏板货车,当代,203
2021,5,16,大型汽车,当代,13
2021,5,16,小型普通客车,当代,7448
2021,5,16,小型汽车,当代,727
2021,5,16,重型栏板货车,当代,186
2021,5,17,大型汽车,当代,25
2021,5,17,小型普通客车,当代,6948
2021,5,17,小型汽车,当代,754
2021,5,17,重型栏板货车,当代,196
2021,5,18,大型汽车,当代,13
2021,5,18,小型普通客车,当代,7733
2021,5,18,小型汽车,当代,900
2021,5,18,重型栏板货车,当代,222
2021,5,19,大型汽车,当代,16
2021,5,19,小型普通客车,当代,8137
2021,5,19,小型汽车,当代,980
2021,5,19,重型栏板货车,当代,234
2021,5,20,大型汽车,当代,22
2021,5,20,小型普通客车,当代,8630
2021,5,20,小型汽车,当代,972
2021,5,20,重型栏板货车,当代,225
2021,5,21,大型汽车,当代,19
2021,5,21,小型普通客车,当代,6553
2021,5,21,小型汽车,当代,786
2021,5,21,重型栏板货车,当代,220
2021,5,22,大型汽车,当代,3
2021,5,22,小型普通客车,当代,3423
2021,5,22,小型汽车,当代,409
2021,5,22,重型栏板货车,当代,89
2021,5,23,大型汽车,当代,8
2021,5,23,小型普通客车,当代,3732
2021,5,23,小型汽车,当代,369
2021,5,23,重型栏板货车,当代,112
2021,5,24,大型汽车,当代,7
2021,5,24,小型普通客车,当代,3566
2021,5,24,小型汽车,当代,282
2021,5,24,重型栏板货车,当代,109
2021,5,25,大型汽车,当代,2
2021,5,25,小型普通客车,当代,3565
2021,5,25,小型汽车,当代,298
2021,5,25,重型栏板货车,当代,100
