年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,大型汽车,柳园,637
2021,3,1,小型普通客车,柳园,10326
2021,3,1,小型汽车,柳园,1366
2021,3,1,重型栏板货车,柳园,783
2021,3,2,大型汽车,柳园,714
2021,3,2,小型普通客车,柳园,10398
2021,3,2,小型汽车,柳园,1535
2021,3,2,重型栏板货车,柳园,841
2021,3,3,大型汽车,柳园,775
2021,3,3,小型普通客车,柳园,10098
2021,3,3,小型汽车,柳园,1488
2021,3,3,重型栏板货车,柳园,859
2021,3,4,大型汽车,柳园,739
2021,3,4,小型普通客车,柳园,9936
2021,3,4,小型汽车,柳园,1484
2021,3,4,重型栏板货车,柳园,867
2021,3,5,大型汽车,柳园,885
2021,3,5,小型普通客车,柳园,10227
2021,3,5,小型汽车,柳园,1562
2021,3,5,重型栏板货车,柳园,925
2021,3,6,大型汽车,柳园,948
2021,3,6,小型普通客车,柳园,9455
2021,3,6,小型汽车,柳园,1339
2021,3,6,重型栏板货车,柳园,964
2021,3,7,大型汽车,柳园,836
2021,3,7,小型普通客车,柳园,9470
2021,3,7,小型汽车,柳园,1394
2021,3,7,重型栏板货车,柳园,938
2021,3,8,大型汽车,柳园,809
2021,3,8,小型普通客车,柳园,10425
2021,3,8,小型汽车,柳园,1476
2021,3,8,重型栏板货车,柳园,973
2021,3,9,大型汽车,柳园,861
2021,3,9,小型普通客车,柳园,9721
2021,3,9,小型汽车,柳园,1463
2021,3,9,重型栏板货车,柳园,890
2021,3,10,大型汽车,柳园,879
2021,3,10,小型普通客车,柳园,10152
2021,3,10,小型汽车,柳园,1493
2021,3,10,重型栏板货车,柳园,870
2021,3,11,大型汽车,柳园,905
2021,3,11,小型普通客车,柳园,9814
2021,3,11,小型汽车,柳园,1425
2021,3,11,重型栏板货车,柳园,920
2021,3,12,大型汽车,柳园,843
2021,3,12,小型普通客车,柳园,10518
2021,3,12,小型汽车,柳园,1609
2021,3,12,重型栏板货车,柳园,818
2021,3,13,大型汽车,柳园,904
2021,3,13,小型普通客车,柳园,9931
2021,3,13,小型汽车,柳园,1477
2021,3,13,重型栏板货车,柳园,880
2021,3,14,大型汽车,柳园,808
2021,3,14,小型普通客车,柳园,9441
2021,3,14,小型汽车,柳园,1327
2021,3,14,重型栏板货车,柳园,823
2021,3,15,大型汽车,柳园,906
2021,3,15,小型普通客车,柳园,10549
2021,3,15,小型汽车,柳园,1575
2021,3,15,重型栏板货车,柳园,1046
2021,3,16,大型汽车,柳园,837
2021,3,16,小型普通客车,柳园,10199
2021,3,16,小型汽车,柳园,1530
2021,3,16,重型栏板货车,柳园,960
2021,3,17,大型汽车,柳园,920
