年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,其它,海河,23439
2021,3,1,大型汽车,海河,54
2021,3,1,小型普通客车,海河,5526
2021,3,1,小型汽车,海河,2040
2021,3,1,微型栏板货车,海河,3
2021,3,1,普通二轮摩托车,海河,10
2021,3,1,重型栏板货车,海河,432
2021,3,2,其它,海河,21824
2021,3,2,大型汽车,海河,48
2021,3,2,小型普通客车,海河,5055
2021,3,2,小型汽车,海河,1852
2021,3,2,微型栏板货车,海河,11
2021,3,2,普通二轮摩托车,海河,5
2021,3,2,重型栏板货车,海河,414
2021,3,3,其它,海河,21530
2021,3,3,大型汽车,海河,44
2021,3,3,小型普通客车,海河,5096
2021,3,3,小型汽车,海河,1775
2021,3,3,微型栏板货车,海河,6
2021,3,3,普通二轮摩托车,海河,10
2021,3,3,重型栏板货车,海河,430
2021,3,4,其它,海河,20786
2021,3,4,大型汽车,海河,63
2021,3,4,小型普通客车,海河,4936
2021,3,4,小型汽车,海河,1691
2021,3,4,微型栏板货车,海河,9
2021,3,4,普通二轮摩托车,海河,8
2021,3,4,重型栏板货车,海河,437
2021,3,5,其它,海河,20789
2021,3,5,大型汽车,海河,57
2021,3,5,小型普通客车,海河,4811
2021,3,5,小型汽车,海河,1778
2021,3,5,微型栏板货车,海河,6
2021,3,5,普通二轮摩托车,海河,5
2021,3,5,重型栏板货车,海河,436
2021,3,6,其它,海河,20924
2021,3,6,大型汽车,海河,55
2021,3,6,小型普通客车,海河,4888
2021,3,6,小型汽车,海河,1963
2021,3,6,微型栏板货车,海河,6
2021,3,6,普通二轮摩托车,海河,10
2021,3,6,重型栏板货车,海河,381
2021,3,7,其它,海河,19612
2021,3,7,大型汽车,海河,42
2021,3,7,小型普通客车,海河,4322
2021,3,7,小型汽车,海河,1405
2021,3,7,微型栏板货车,海河,1
2021,3,7,普通二轮摩托车,海河,11
2021,3,7,重型栏板货车,海河,393
2021,3,8,其它,海河,20994
2021,3,8,大型汽车,海河,54
2021,3,8,小型普通客车,海河,4979
2021,3,8,小型汽车,海河,1648
2021,3,8,微型栏板货车,海河,6
2021,3,8,普通二轮摩托车,海河,8
2021,3,8,重型栏板货车,海河,455
2021,3,9,其它,海河,20258
2021,3,9,大型汽车,海河,62
2021,3,9,小型普通客车,海河,4918
2021,3,9,小型汽车,海河,1854
2021,3,9,微型栏板货车,海河,7
2021,3,9,普通二轮摩托车,海河,15
2021,3,9,重型栏板货车,海河,406
2021,3,10,其它,海河,20392
2021,3,10,大型汽车,海河,57
2021,3,10,小型普通客车,海河,4731
2021,3,10,小型汽车,海河,1932
2021,3,10,微型栏板货车,海河,6
2021,3,10,普通二轮摩托车,海河,17
2021,3,10,重型栏板货车,海河,428
2021,3,11,其它,海河,20812
2021,3,11,大型汽车,海河,46
2021,3,11,小型普通客车,海河,5019
2021,3,11,小型汽车,海河,1701
2021,3,11,微型栏板货车,海河,7
2021,3,11,普通二轮摩托车,海河,11
2021,3,11,重型栏板货车,海河,445
2021,3,12,其它,海河,20379
2021,3,12,大型汽车,海河,51
2021,3,12,小型普通客车,海河,4889
2021,3,12,小型汽车,海河,1767
2021,3,12,微型栏板货车,海河,9
2021,3,12,普通二轮摩托车,海河,10
2021,3,12,重型栏板货车,海河,415
2021,3,13,其它,海河,19327
2021,3,13,大型汽车,海河,36
2021,3,13,小型普通客车,海河,4560
2021,3,13,小型汽车,海河,1292
2021,3,13,微型栏板货车,海河,4
2021,3,13,普通二轮摩托车,海河,10
2021,3,13,重型栏板货车,海河,406
2021,3,14,其它,海河,18985
2021,3,14,大型汽车,海河,48
2021,3,14,小型普通客车,海河,4267
2021,3,14,小型汽车,海河,1569
2021,3,14,微型栏板货车,海河,8
