年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,其它,滦河,11470
2021,3,1,大型汽车,滦河,31
2021,3,1,小型普通客车,滦河,7965
2021,3,1,小型汽车,滦河,1290
2021,3,1,微型栏板货车,滦河,1
2021,3,1,重型栏板货车,滦河,191
2021,3,2,其它,滦河,10735
2021,3,2,大型汽车,滦河,32
2021,3,2,小型普通客车,滦河,8109
2021,3,2,小型汽车,滦河,1224
2021,3,2,重型栏板货车,滦河,207
2021,3,3,其它,滦河,10166
2021,3,3,大型汽车,滦河,31
2021,3,3,小型普通客车,滦河,7639
2021,3,3,小型汽车,滦河,761
2021,3,3,微型栏板货车,滦河,2
2021,3,3,重型栏板货车,滦河,231
2021,3,4,其它,滦河,10307
2021,3,4,大型汽车,滦河,43
2021,3,4,小型普通客车,滦河,7831
2021,3,4,小型汽车,滦河,1437
2021,3,4,微型栏板货车,滦河,1
2021,3,4,普通二轮摩托车,滦河,1
2021,3,4,重型栏板货车,滦河,252
2021,3,5,其它,滦河,10367
2021,3,5,大型汽车,滦河,42
2021,3,5,小型普通客车,滦河,8006
2021,3,5,小型汽车,滦河,1216
2021,3,5,普通二轮摩托车,滦河,1
2021,3,5,重型栏板货车,滦河,282
2021,3,6,其它,滦河,5858
2021,3,6,大型汽车,滦河,22
2021,3,6,小型普通客车,滦河,3962
2021,3,6,小型汽车,滦河,542
2021,3,6,重型栏板货车,滦河,110
2021,3,7,其它,滦河,8045
2021,3,7,大型汽车,滦河,42
2021,3,7,小型普通客车,滦河,5760
2021,3,7,小型汽车,滦河,984
2021,3,7,微型栏板货车,滦河,1
2021,3,7,重型栏板货车,滦河,198
2021,3,8,其它,滦河,10824
2021,3,8,大型汽车,滦河,29
2021,3,8,小型普通客车,滦河,8198
2021,3,8,小型汽车,滦河,1052
2021,3,8,重型栏板货车,滦河,236
2021,3,9,其它,滦河,10463
2021,3,9,大型汽车,滦河,50
2021,3,9,小型普通客车,滦河,8040
2021,3,9,小型汽车,滦河,1360
2021,3,9,重型栏板货车,滦河,232
2021,3,10,其它,滦河,10057
2021,3,10,大型汽车,滦河,31
2021,3,10,小型普通客车,滦河,7801
2021,3,10,小型汽车,滦河,996
2021,3,10,微型栏板货车,滦河,1
2021,3,10,重型栏板货车,滦河,231
2021,3,11,其它,滦河,10303
2021,3,11,大型汽车,滦河,29
2021,3,11,小型普通客车,滦河,7813
2021,3,11,小型汽车,滦河,702
2021,3,11,微型栏板货车,滦河,1
2021,3,11,重型栏板货车,滦河,201
2021,3,12,其它,滦河,10911
2021,3,12,大型汽车,滦河,33
2021,3,12,小型普通客车,滦河,9069
2021,3,12,小型汽车,滦河,1228
2021,3,12,微型栏板货车,滦河,1
2021,3,12,普通二轮摩托车,滦河,2
2021,3,12,重型栏板货车,滦河,257
2021,3,13,其它,滦河,9822
2021,3,13,大型汽车,滦河,36
2021,3,13,小型普通客车,滦河,8346
2021,3,13,小型汽车,滦河,1078
2021,3,13,微型栏板货车,滦河,1
2021,3,13,重型栏板货车,滦河,215
2021,3,14,其它,滦河,8736
2021,3,14,大型汽车,滦河,32
2021,3,14,小型普通客车,滦河,7332
2021,3,14,小型汽车,滦河,919
2021,3,14,微型栏板货车,滦河,1
2021,3,14,重型栏板货车,滦河,205
2021,3,15,其它,滦河,10852
2021,3,15,大型汽车,滦河,57
2021,3,15,小型普通客车,滦河,9743
2021,3,15,小型汽车,滦河,1501
2021,3,15,普通二轮摩托车,滦河,1
2021,3,15,重型栏板货车,滦河,287
2021,3,16,其它,滦河,10934
2021,3,16,大型汽车,滦河,31
2021,3,16,小型普通客车,滦河,9414
2021,3,16,小型汽车,滦河,1276
2021,3,16,微型栏板货车,滦河,1
2021,3,16,重型栏板货车,滦河,269
2021,3,17,其它,滦河,9860
2021,3,17,大型汽车,滦河,26
2021,3,17,小型普通客车,滦河,8911
2021,3,17,小型汽车,滦河,919
2021,3,17,微型栏板货车,滦河,1
2021,3,17,重型栏板货车,滦河,237
2021,3,18,其它,滦河,10732
2021,3,18,大型汽车,滦河,23
2021,3,18,小型普通客车,滦河,9419
2021,3,18,小型汽车,滦河,875
2021,3,18,普通二轮摩托车,滦河,1
