年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,其它,滨河,5
2021,3,1,大型汽车,滨河,1449
2021,3,1,小型普通客车,滨河,27676
2021,3,1,小型汽车,滨河,2615
2021,3,1,微型栏板货车,滨河,20
2021,3,1,普通二轮摩托车,滨河,30
2021,3,1,重型栏板货车,滨河,1901
2021,3,2,其它,滨河,5
2021,3,2,大型汽车,滨河,1693
2021,3,2,小型普通客车,滨河,30314
2021,3,2,小型汽车,滨河,2828
2021,3,2,微型栏板货车,滨河,14
2021,3,2,普通二轮摩托车,滨河,32
2021,3,2,重型栏板货车,滨河,2458
2021,3,3,其它,滨河,11
2021,3,3,大型汽车,滨河,1946
2021,3,3,小型普通客车,滨河,28630
2021,3,3,小型汽车,滨河,2498
2021,3,3,微型栏板货车,滨河,19
2021,3,3,普通二轮摩托车,滨河,54
2021,3,3,重型栏板货车,滨河,2404
2021,3,4,其它,滨河,8
2021,3,4,大型汽车,滨河,1887
2021,3,4,小型普通客车,滨河,29639
2021,3,4,小型汽车,滨河,2800
2021,3,4,微型栏板货车,滨河,18
2021,3,4,普通二轮摩托车,滨河,39
2021,3,4,重型栏板货车,滨河,2632
2021,3,5,其它,滨河,10
2021,3,5,大型汽车,滨河,2057
2021,3,5,小型普通客车,滨河,29621
2021,3,5,小型汽车,滨河,2581
2021,3,5,微型栏板货车,滨河,14
2021,3,5,普通二轮摩托车,滨河,56
2021,3,5,重型栏板货车,滨河,2848
2021,3,6,其它,滨河,4
2021,3,6,大型汽车,滨河,1977
2021,3,6,小型普通客车,滨河,24729
2021,3,6,小型汽车,滨河,2285
2021,3,6,微型栏板货车,滨河,26
2021,3,6,普通二轮摩托车,滨河,62
2021,3,6,重型栏板货车,滨河,2637
2021,3,7,其它,滨河,10
2021,3,7,大型汽车,滨河,2004
2021,3,7,小型普通客车,滨河,23701
2021,3,7,小型汽车,滨河,2389
2021,3,7,微型栏板货车,滨河,15
2021,3,7,普通二轮摩托车,滨河,56
2021,3,7,重型栏板货车,滨河,2667
2021,3,8,其它,滨河,12
2021,3,8,大型汽车,滨河,1984
2021,3,8,小型普通客车,滨河,31094
2021,3,8,小型汽车,滨河,2751
2021,3,8,微型栏板货车,滨河,21
2021,3,8,普通二轮摩托车,滨河,59
2021,3,8,重型栏板货车,滨河,2802
2021,3,9,其它,滨河,7
2021,3,9,大型汽车,滨河,1969
2021,3,9,小型普通客车,滨河,29499
2021,3,9,小型汽车,滨河,2698
