年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,其它,牡丹,52
2021,3,1,大型汽车,牡丹,351
2021,3,1,小型普通客车,牡丹,5663
2021,3,1,小型汽车,牡丹,461
2021,3,1,微型栏板货车,牡丹,3
2021,3,1,普通二轮摩托车,牡丹,3
2021,3,1,重型栏板货车,牡丹,813
2021,3,2,其它,牡丹,91
2021,3,2,大型汽车,牡丹,269
2021,3,2,小型普通客车,牡丹,5441
2021,3,2,小型汽车,牡丹,521
2021,3,2,微型栏板货车,牡丹,2
2021,3,2,普通二轮摩托车,牡丹,4
2021,3,2,重型栏板货车,牡丹,901
2021,3,3,其它,牡丹,76
2021,3,3,大型汽车,牡丹,367
2021,3,3,小型普通客车,牡丹,5233
2021,3,3,小型汽车,牡丹,465
2021,3,3,微型栏板货车,牡丹,1
2021,3,3,普通二轮摩托车,牡丹,4
2021,3,3,重型栏板货车,牡丹,860
2021,3,4,其它,牡丹,65
2021,3,4,大型汽车,牡丹,299
2021,3,4,小型普通客车,牡丹,5377
2021,3,4,小型汽车,牡丹,597
2021,3,4,微型栏板货车,牡丹,2
2021,3,4,普通二轮摩托车,牡丹,5
2021,3,4,重型栏板货车,牡丹,827
2021,3,5,其它,牡丹,64
2021,3,5,大型汽车,牡丹,266
2021,3,5,小型普通客车,牡丹,5173
2021,3,5,小型汽车,牡丹,494
2021,3,5,微型栏板货车,牡丹,1
2021,3,5,普通二轮摩托车,牡丹,6
2021,3,5,重型栏板货车,牡丹,797
2021,3,6,其它,牡丹,43
2021,3,6,大型汽车,牡丹,171
2021,3,6,小型普通客车,牡丹,2835
2021,3,6,小型汽车,牡丹,297
2021,3,6,普通二轮摩托车,牡丹,3
2021,3,6,重型栏板货车,牡丹,445
2021,3,7,其它,牡丹,53
2021,3,7,大型汽车,牡丹,267
2021,3,7,小型普通客车,牡丹,4188
2021,3,7,小型汽车,牡丹,481
2021,3,7,微型栏板货车,牡丹,2
2021,3,7,普通二轮摩托车,牡丹,7
2021,3,7,重型栏板货车,牡丹,715
2021,3,8,其它,牡丹,65
2021,3,8,大型汽车,牡丹,288
2021,3,8,小型普通客车,牡丹,5015
2021,3,8,小型汽车,牡丹,554
2021,3,8,微型栏板货车,牡丹,3
2021,3,8,普通二轮摩托车,牡丹,3
2021,3,8,重型栏板货车,牡丹,739
2021,3,9,其它,牡丹,52
2021,3,9,大型汽车,牡丹,376
2021,3,9,小型普通客车,牡丹,5191
2021,3,9,小型汽车,牡丹,565
2021,3,9,微型栏板货车,牡丹,2
2021,3,9,普通二轮摩托车,牡丹,11
2021,3,9,重型栏板货车,牡丹,903
2021,3,10,其它,牡丹,66
2021,3,10,大型汽车,牡丹,360
2021,3,10,小型普通客车,牡丹,5658
2021,3,10,小型汽车,牡丹,492
2021,3,10,普通二轮摩托车,牡丹,5
2021,3,10,重型栏板货车,牡丹,804
2021,3,11,其它,牡丹,43
2021,3,11,大型汽车,牡丹,255
2021,3,11,小型普通客车,牡丹,4947
2021,3,11,小型汽车,牡丹,536
2021,3,11,微型栏板货车,牡丹,3
2021,3,11,普通二轮摩托车,牡丹,4
2021,3,11,重型栏板货车,牡丹,751
2021,3,12,其它,牡丹,70
2021,3,12,大型汽车,牡丹,326
2021,3,12,小型普通客车,牡丹,5528
2021,3,12,小型汽车,牡丹,522
2021,3,12,微型栏板货车,牡丹,3
2021,3,12,普通二轮摩托车,牡丹,10
2021,3,12,重型栏板货车,牡丹,828
2021,3,13,其它,牡丹,39
2021,3,13,大型汽车,牡丹,320
2021,3,13,小型普通客车,牡丹,4296
2021,3,13,小型汽车,牡丹,458
2021,3,13,微型栏板货车,牡丹,1
2021,3,13,普通二轮摩托车,牡丹,5
2021,3,13,重型栏板货车,牡丹,784
2021,3,14,其它,牡丹,39
2021,3,14,大型汽车,牡丹,270
2021,3,14,小型普通客车,牡丹,3650
2021,3,14,小型汽车,牡丹,367
2021,3,14,普通二轮摩托车,牡丹,5
2021,3,14,重型栏板货车,牡丹,680
2021,3,15,其它,牡丹,48
2021,3,15,大型汽车,牡丹,278
2021,3,15,小型普通客车,牡丹,5026
2021,3,15,小型汽车,牡丹,485
2021,3,15,微型栏板货车,牡丹,1
2021,3,15,普通二轮摩托车,牡丹,4
2021,3,15,重型栏板货车,牡丹,695
2021,3,16,其它,牡丹,46
2021,3,16,大型汽车,牡丹,300
2021,3,16,小型普通客车,牡丹,5111
2021,3,16,小型汽车,牡丹,529
2021,3,16,微型栏板货车,牡丹,1
2021,3,16,普通二轮摩托车,牡丹,5
2021,3,16,重型栏板货车,牡丹,833
2021,3,17,其它,牡丹,44
2021,3,17,大型汽车,牡丹,271
2021,3,17,小型普通客车,牡丹,4502
2021,3,17,小型汽车,牡丹,479
2021,3,17,普通二轮摩托车,牡丹,6
2021,3,17,重型栏板货车,牡丹,664
2021,3,18,其它,牡丹,54
2021,3,18,大型汽车,牡丹,342
2021,3,18,小型普通客车,牡丹,5176
2021,3,18,小型汽车,牡丹,441
2021,3,18,普通二轮摩托车,牡丹,4
2021,3,18,重型栏板货车,牡丹,880
2021,3,19,其它,牡丹,50
2021,3,19,大型汽车,牡丹,316
2021,3,19,小型普通客车,牡丹,5113
2021,3,19,小型汽车,牡丹,504
2021,3,19,普通二轮摩托车,牡丹,8
2021,3,19,重型栏板货车,牡丹,754
2021,3,20,其它,牡丹,52
2021,3,20,大型汽车,牡丹,295
2021,3,20,小型普通客车,牡丹,4868
2021,3,20,小型汽车,牡丹,458
2021,3,20,普通二轮摩托车,牡丹,5
2021,3,20,重型栏板货车,牡丹,775
2021,3,21,其它,牡丹,63
2021,3,21,大型汽车,牡丹,233
2021,3,21,小型普通客车,牡丹,4471
2021,3,21,小型汽车,牡丹,374
2021,3,21,普通二轮摩托车,牡丹,3
2021,3,21,重型栏板货车,牡丹,767
2021,3,22,其它,牡丹,57
2021,3,22,大型汽车,牡丹,223
2021,3,22,小型普通客车,牡丹,5317
2021,3,22,小型汽车,牡丹,516
2021,3,22,微型栏板货车,牡丹,1
2021,3,22,普通二轮摩托车,牡丹,5
2021,3,22,重型栏板货车,牡丹,646
2021,3,23,其它,牡丹,59
2021,3,23,大型汽车,牡丹,250
2021,3,23,小型普通客车,牡丹,5327
2021,3,23,小型汽车,牡丹,558
2021,3,23,普通二轮摩托车,牡丹,2
2021,3,23,重型栏板货车,牡丹,792
2021,3,24,其它,牡丹,46
2021,3,24,大型汽车,牡丹,317
2021,3,24,小型普通客车,牡丹,5385
2021,3,24,小型汽车,牡丹,563
2021,3,24,普通二轮摩托车,牡丹,7
2021,3,24,重型栏板货车,牡丹,839
2021,3,25,其它,牡丹,63
2021,3,25,大型汽车,牡丹,332
2021,3,25,小型普通客车,牡丹,5525
2021,3,25,小型汽车,牡丹,614
2021,3,25,普通二轮摩托车,牡丹,4
2021,3,25,重型栏板货车,牡丹,839
2021,3,26,其它,牡丹,54
2021,3,26,大型汽车,牡丹,319
2021,3,26,小型普通客车,牡丹,5694
2021,3,26,小型汽车,牡丹,625
2021,3,26,微型栏板货车,牡丹,1
2021,3,26,普通二轮摩托车,牡丹,1
2021,3,26,重型栏板货车,牡丹,860
2021,3,27,其它,牡丹,33
2021,3,27,大型汽车,牡丹,296
2021,3,27,小型普通客车,牡丹,4946
2021,3,27,小型汽车,牡丹,469
2021,3,27,普通二轮摩托车,牡丹,6
2021,3,27,重型栏板货车,牡丹,844
2021,3,28,其它,牡丹,34
2021,3,28,大型汽车,牡丹,349
2021,3,28,小型普通客车,牡丹,4090
2021,3,28,小型汽车,牡丹,438
2021,3,28,普通二轮摩托车,牡丹,4
2021,3,28,重型栏板货车,牡丹,762
2021,3,29,其它,牡丹,48
2021,3,29,大型汽车,牡丹,312
2021,3,29,小型普通客车,牡丹,5380
2021,3,29,小型汽车,牡丹,539
2021,3,29,普通二轮摩托车,牡丹,3
2021,3,29,重型栏板货车,牡丹,772
2021,3,30,其它,牡丹,50
2021,3,30,大型汽车,牡丹,322
2021,3,30,小型普通客车,牡丹,5461
2021,3,30,小型汽车,牡丹,564
2021,3,30,微型栏板货车,牡丹,1
2021,3,30,普通二轮摩托车,牡丹,8
2021,3,30,重型栏板货车,牡丹,872
2021,3,31,其它,牡丹,61
