年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,4,22,大型汽车,美凯,20
2021,4,22,小型普通客车,美凯,5943
2021,4,22,小型汽车,美凯,552
2021,4,22,重型栏板货车,美凯,218
2021,4,23,其它,美凯,1
2021,4,23,大型汽车,美凯,17
2021,4,23,小型普通客车,美凯,5554
2021,4,23,小型汽车,美凯,459
2021,4,23,重型栏板货车,美凯,278
2021,4,24,大型汽车,美凯,12
2021,4,24,小型普通客车,美凯,5114
2021,4,24,小型汽车,美凯,528
2021,4,24,重型栏板货车,美凯,248
2021,4,25,大型汽车,美凯,10
2021,4,25,小型普通客车,美凯,5037
2021,4,25,小型汽车,美凯,416
2021,4,25,重型栏板货车,美凯,270
2021,4,26,大型汽车,美凯,16
2021,4,26,小型普通客车,美凯,5976
2021,4,26,小型汽车,美凯,629
2021,4,26,重型栏板货车,美凯,261
2021,4,27,大型汽车,美凯,14
2021,4,27,小型普通客车,美凯,4785
2021,4,27,小型汽车,美凯,557
2021,4,27,重型栏板货车,美凯,253
2021,4,28,大型汽车,美凯,6
2021,4,28,小型普通客车,美凯,4846
2021,4,28,小型汽车,美凯,335
2021,4,28,重型栏板货车,美凯,245
2021,4,29,大型汽车,美凯,16
2021,4,29,小型普通客车,美凯,5145
2021,4,29,小型汽车,美凯,554
2021,4,29,重型栏板货车,美凯,255
2021,4,30,大型汽车,美凯,37
2021,4,30,小型普通客车,美凯,5915
2021,4,30,小型汽车,美凯,641
2021,4,30,重型栏板货车,美凯,238
2021,5,1,大型汽车,美凯,14
2021,5,1,小型普通客车,美凯,4235
2021,5,1,小型汽车,美凯,500
2021,5,1,重型栏板货车,美凯,190
2021,5,2,大型汽车,美凯,14
2021,5,2,小型普通客车,美凯,4015
2021,5,2,小型汽车,美凯,522
2021,5,2,重型栏板货车,美凯,218
2021,5,3,大型汽车,美凯,15
2021,5,3,小型普通客车,美凯,4021
2021,5,3,小型汽车,美凯,498
2021,5,3,重型栏板货车,美凯,233
2021,5,4,大型汽车,美凯,19
2021,5,4,小型普通客车,美凯,4421
2021,5,4,小型汽车,美凯,538
2021,5,4,重型栏板货车,美凯,225
2021,5,5,大型汽车,美凯,11
2021,5,5,小型普通客车,美凯,4296
2021,5,5,小型汽车,美凯,442
2021,5,5,普通二轮摩托车,美凯,1
2021,5,5,重型栏板货车,美凯,213
2021,5,6,大型汽车,美凯,15
2021,5,6,小型普通客车,美凯,5226
2021,5,6,小型汽车,美凯,515
