年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,7,中型轿车,聊临,4975
2021,3,7,其它,聊临,18
2021,3,7,大型普通客车,聊临,452
2021,3,7,大型汽车,聊临,403
2021,3,7,小型汽车,聊临,689
2021,3,7,普通二轮摩托车,聊临,6
2021,3,7,轻型栏板货车,聊临,542
2021,3,7,重型栏板货车,聊临,203
2021,3,8,中型轿车,聊临,14830
2021,3,8,其它,聊临,63
2021,3,8,大型普通客车,聊临,1470
2021,3,8,大型汽车,聊临,1341
2021,3,8,小型汽车,聊临,2608
2021,3,8,普通二轮摩托车,聊临,11
2021,3,8,轻型栏板货车,聊临,1637
2021,3,8,重型栏板货车,聊临,609
2021,3,9,中型轿车,聊临,14149
2021,3,9,其它,聊临,80
2021,3,9,大型普通客车,聊临,1685
2021,3,9,大型汽车,聊临,1271
2021,3,9,小型汽车,聊临,2462
2021,3,9,普通二轮摩托车,聊临,10
2021,3,9,轻型栏板货车,聊临,1490
2021,3,9,重型栏板货车,聊临,613
2021,3,10,中型轿车,聊临,13944
2021,3,10,其它,聊临,84
2021,3,10,大型普通客车,聊临,1399
2021,3,10,大型汽车,聊临,1177
2021,3,10,小型汽车,聊临,2673
2021,3,10,普通二轮摩托车,聊临,5
2021,3,10,轻型栏板货车,聊临,1641
2021,3,10,重型栏板货车,聊临,526
2021,3,11,中型轿车,聊临,14059
2021,3,11,其它,聊临,75
2021,3,11,大型普通客车,聊临,1509
2021,3,11,大型汽车,聊临,1235
2021,3,11,小型汽车,聊临,2606
2021,3,11,普通二轮摩托车,聊临,12
2021,3,11,轻型栏板货车,聊临,1652
2021,3,11,重型栏板货车,聊临,540
2021,3,12,中型轿车,聊临,16099
2021,3,12,其它,聊临,82
2021,3,12,大型普通客车,聊临,1504
2021,3,12,大型汽车,聊临,1052
2021,3,12,小型汽车,聊临,3041
2021,3,12,普通二轮摩托车,聊临,7
2021,3,12,轻型栏板货车,聊临,1619
2021,3,12,重型栏板货车,聊临,493
2021,3,13,中型轿车,聊临,15347
2021,3,13,其它,聊临,75
2021,3,13,大型普通客车,聊临,1590
2021,3,13,大型汽车,聊临,1263
2021,3,13,小型汽车,聊临,2567
2021,3,13,普通二轮摩托车,聊临,16
2021,3,13,轻型栏板货车,聊临,1553
2021,3,13,重型栏板货车,聊临,560
2021,3,14,中型轿车,聊临,13718
2021,3,14,其它,聊临,54
2021,3,14,大型普通客车,聊临,1458
2021,3,14,大型汽车,聊临,1045
2021,3,14,小型汽车,聊临,2392
2021,3,14,普通二轮摩托车,聊临,9
2021,3,14,轻型栏板货车,聊临,1535
2021,3,14,重型栏板货车,聊临,598
2021,3,15,中型轿车,聊临,15391
2021,3,15,其它,聊临,68
2021,3,15,大型普通客车,聊临,1648
2021,3,15,大型汽车,聊临,1059
2021,3,15,小型汽车,聊临,2555
2021,3,15,普通二轮摩托车,聊临,10
2021,3,15,轻型栏板货车,聊临,1669
2021,3,15,重型栏板货车,聊临,586
2021,3,16,中型轿车,聊临,14321
2021,3,16,其它,聊临,75
2021,3,16,大型普通客车,聊临,1578
2021,3,16,大型汽车,聊临,1207
2021,3,16,小型汽车,聊临,2524
2021,3,16,普通二轮摩托车,聊临,8
2021,3,16,轻型栏板货车,聊临,1553
2021,3,16,重型栏板货车,聊临,568
2021,3,17,中型轿车,聊临,14666
2021,3,17,其它,聊临,77
2021,3,17,大型普通客车,聊临,1700
2021,3,17,大型汽车,聊临,1290
2021,3,17,小型汽车,聊临,2525
2021,3,17,普通二轮摩托车,聊临,10
2021,3,17,轻型栏板货车,聊临,1588
2021,3,17,重型栏板货车,聊临,555
2021,3,18,中型轿车,聊临,13749
2021,3,18,其它,聊临,56
2021,3,18,大型普通客车,聊临,1646
2021,3,18,大型汽车,聊临,1134
2021,3,18,小型汽车,聊临,2499
2021,3,18,普通二轮摩托车,聊临,8
2021,3,18,轻型栏板货车,聊临,1535
2021,3,18,重型栏板货车,聊临,579
2021,3,19,中型轿车,聊临,14394
2021,3,19,其它,聊临,78
2021,3,19,大型普通客车,聊临,1542
2021,3,19,大型汽车,聊临,1135
2021,3,19,小型汽车,聊临,2557
2021,3,19,普通二轮摩托车,聊临,9
2021,3,19,轻型栏板货车,聊临,1631
2021,3,19,重型栏板货车,聊临,552
2021,3,20,中型轿车,聊临,13806
2021,3,20,其它,聊临,65
2021,3,20,大型普通客车,聊临,1449
2021,3,20,大型汽车,聊临,1056
2021,3,20,小型汽车,聊临,2437
2021,3,20,普通二轮摩托车,聊临,13
2021,3,20,轻型栏板货车,聊临,1486
2021,3,20,重型栏板货车,聊临,518
2021,3,21,中型轿车,聊临,11217
2021,3,21,其它,聊临,47
2021,3,21,大型普通客车,聊临,1057
2021,3,21,大型汽车,聊临,870
2021,3,21,小型汽车,聊临,2196
2021,3,21,普通二轮摩托车,聊临,11
2021,3,21,轻型栏板货车,聊临,1363
2021,3,21,重型栏板货车,聊临,537
2021,3,22,中型轿车,聊临,10285
2021,3,22,其它,聊临,35
2021,3,22,大型普通客车,聊临,979
2021,3,22,大型汽车,聊临,909
2021,3,22,小型汽车,聊临,1975
2021,3,22,普通二轮摩托车,聊临,5
2021,3,22,轻型栏板货车,聊临,1392
2021,3,22,重型栏板货车,聊临,502
2021,3,23,中型轿车,聊临,12734
2021,3,23,其它,聊临,52
2021,3,23,大型普通客车,聊临,1506
2021,3,23,大型汽车,聊临,1164
2021,3,23,小型汽车,聊临,2431
2021,3,23,普通二轮摩托车,聊临,9
2021,3,23,轻型栏板货车,聊临,1430
2021,3,23,重型栏板货车,聊临,567
2021,3,24,中型轿车,聊临,13791
2021,3,24,其它,聊临,53
2021,3,24,大型普通客车,聊临,1740
2021,3,24,大型汽车,聊临,1262
2021,3,24,小型汽车,聊临,2535
2021,3,24,普通二轮摩托车,聊临,12
2021,3,24,轻型栏板货车,聊临,1601
2021,3,24,重型栏板货车,聊临,587
