年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,7,中型轿车,聊位,476
2021,3,7,大型普通客车,聊位,24
2021,3,7,大型汽车,聊位,281
2021,3,7,大型轿车,聊位,182
2021,3,7,小型汽车,聊位,109
2021,3,7,轻型栏板货车,聊位,141
2021,3,7,重型栏板半挂车,聊位,1
2021,3,7,重型栏板货车,聊位,202
2021,3,8,中型轿车,聊位,1888
2021,3,8,大型普通客车,聊位,123
2021,3,8,大型汽车,聊位,1252
2021,3,8,大型轿车,聊位,730
2021,3,8,小型汽车,聊位,428
2021,3,8,轻型栏板货车,聊位,535
2021,3,8,重型栏板半挂车,聊位,1
2021,3,8,重型栏板货车,聊位,872
2021,3,9,中型轿车,聊位,1736
2021,3,9,其它,聊位,1
2021,3,9,大型普通客车,聊位,113
2021,3,9,大型汽车,聊位,1222
2021,3,9,大型轿车,聊位,608
2021,3,9,小型汽车,聊位,400
2021,3,9,轻型栏板货车,聊位,494
2021,3,9,重型栏板半挂车,聊位,1
2021,3,9,重型栏板货车,聊位,872
2021,3,10,中型普通客车,聊位,1
2021,3,10,中型轿车,聊位,1786
2021,3,10,大型普通客车,聊位,121
2021,3,10,大型汽车,聊位,1198
2021,3,10,大型轿车,聊位,716
2021,3,10,小型汽车,聊位,382
2021,3,10,轻型栏板货车,聊位,509
2021,3,10,重型栏板半挂车,聊位,2
2021,3,10,重型栏板货车,聊位,753
2021,3,11,中型普通客车,聊位,2
2021,3,11,中型轿车,聊位,1679
2021,3,11,大型普通客车,聊位,118
2021,3,11,大型汽车,聊位,1219
2021,3,11,大型轿车,聊位,632
2021,3,11,小型汽车,聊位,357
2021,3,11,轻型栏板货车,聊位,430
2021,3,11,重型栏板半挂车,聊位,1
2021,3,11,重型栏板货车,聊位,598
2021,3,12,中型普通客车,聊位,5
2021,3,12,中型轿车,聊位,1935
2021,3,12,大型普通客车,聊位,113
2021,3,12,大型汽车,聊位,1153
2021,3,12,大型轿车,聊位,761
2021,3,12,小型汽车,聊位,499
2021,3,12,轻型栏板货车,聊位,514
2021,3,12,重型栏板货车,聊位,602
2021,3,13,中型轿车,聊位,1650
2021,3,13,大型普通客车,聊位,142
2021,3,13,大型汽车,聊位,1076
2021,3,13,大型轿车,聊位,668
2021,3,13,小型汽车,聊位,366
2021,3,13,轻型栏板货车,聊位,546
2021,3,13,重型栏板货车,聊位,672
2021,3,14,中型轿车,聊位,1615
2021,3,14,大型普通客车,聊位,102
2021,3,14,大型汽车,聊位,1247
2021,3,14,大型轿车,聊位,647
2021,3,14,小型汽车,聊位,363
2021,3,14,轻型栏板货车,聊位,482
2021,3,14,重型栏板货车,聊位,728
2021,3,15,中型轿车,聊位,1941
2021,3,15,其它,聊位,1
2021,3,15,大型普通客车,聊位,129
2021,3,15,大型汽车,聊位,946
2021,3,15,大型轿车,聊位,778
2021,3,15,小型汽车,聊位,404
2021,3,15,轻型栏板货车,聊位,544
2021,3,15,重型栏板半挂车,聊位,1
2021,3,15,重型栏板货车,聊位,830
2021,3,16,中型普通客车,聊位,1
2021,3,16,中型轿车,聊位,1715
2021,3,16,大型普通客车,聊位,123
2021,3,16,大型汽车,聊位,1202
2021,3,16,大型轿车,聊位,661
2021,3,16,小型汽车,聊位,392
2021,3,16,轻型栏板货车,聊位,497
2021,3,16,重型栏板货车,聊位,840
2021,3,17,中型轿车,聊位,1785
2021,3,17,大型普通客车,聊位,136
2021,3,17,大型汽车,聊位,1291
2021,3,17,大型轿车,聊位,636
2021,3,17,小型汽车,聊位,381
