年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,7,中型轿车,聊冠,257
2021,3,7,其它,聊冠,1
2021,3,7,大型普通客车,聊冠,14
2021,3,7,大型汽车,聊冠,42
2021,3,7,小型汽车,聊冠,43
2021,3,7,轻型栏板货车,聊冠,65
2021,3,7,重型栏板货车,聊冠,22
2021,3,8,中型轿车,聊冠,256
2021,3,8,大型普通客车,聊冠,44
2021,3,8,大型汽车,聊冠,85
2021,3,8,小型汽车,聊冠,122
2021,3,8,轻型栏板货车,聊冠,197
2021,3,8,重型栏板货车,聊冠,47
2021,3,9,中型轿车,聊冠,327
2021,3,9,其它,聊冠,2
2021,3,9,大型普通客车,聊冠,40
2021,3,9,大型汽车,聊冠,104
2021,3,9,小型汽车,聊冠,99
2021,3,9,普通二轮摩托车,聊冠,2
2021,3,9,轻型栏板货车,聊冠,141
2021,3,9,重型栏板货车,聊冠,81
2021,3,10,中型轿车,聊冠,405
2021,3,10,大型普通客车,聊冠,47
2021,3,10,大型汽车,聊冠,118
2021,3,10,小型汽车,聊冠,183
2021,3,10,普通二轮摩托车,聊冠,1
2021,3,10,轻型栏板货车,聊冠,188
2021,3,10,重型栏板货车,聊冠,67
2021,3,11,中型轿车,聊冠,641
2021,3,11,大型普通客车,聊冠,54
2021,3,11,大型汽车,聊冠,208
2021,3,11,小型汽车,聊冠,182
2021,3,11,普通二轮摩托车,聊冠,1
2021,3,11,轻型栏板货车,聊冠,261
2021,3,11,重型栏板货车,聊冠,97
2021,3,12,中型轿车,聊冠,429
2021,3,12,大型普通客车,聊冠,32
2021,3,12,大型汽车,聊冠,78
2021,3,12,小型汽车,聊冠,125
2021,3,12,轻型栏板货车,聊冠,194
2021,3,12,重型栏板货车,聊冠,71
2021,3,13,中型轿车,聊冠,830
2021,3,13,大型普通客车,聊冠,67
2021,3,13,大型汽车,聊冠,199
2021,3,13,小型汽车,聊冠,221
2021,3,13,普通二轮摩托车,聊冠,2
2021,3,13,轻型栏板货车,聊冠,300
2021,3,13,重型栏板货车,聊冠,125
2021,3,14,中型轿车,聊冠,445
2021,3,14,其它,聊冠,1
2021,3,14,大型普通客车,聊冠,39
2021,3,14,大型汽车,聊冠,109
2021,3,14,小型汽车,聊冠,161
2021,3,14,普通二轮摩托车,聊冠,1
2021,3,14,轻型栏板货车,聊冠,200
2021,3,14,重型栏板货车,聊冠,62
2021,3,15,中型轿车,聊冠,456
2021,3,15,大型普通客车,聊冠,57
2021,3,15,大型汽车,聊冠,148
2021,3,15,小型汽车,聊冠,131
2021,3,15,轻型栏板货车,聊冠,209
2021,3,15,重型栏板货车,聊冠,100
2021,3,16,中型轿车,聊冠,386
2021,3,16,其它,聊冠,1
2021,3,16,大型普通客车,聊冠,50
2021,3,16,大型汽车,聊冠,102
2021,3,16,小型汽车,聊冠,152
2021,3,16,普通二轮摩托车,聊冠,1
2021,3,16,轻型栏板货车,聊冠,199
2021,3,16,重型栏板货车,聊冠,89
2021,3,17,中型轿车,聊冠,287
2021,3,17,大型普通客车,聊冠,35
2021,3,17,大型汽车,聊冠,138
2021,3,17,小型汽车,聊冠,116
2021,3,17,普通二轮摩托车,聊冠,2
2021,3,17,轻型栏板货车,聊冠,206
2021,3,17,重型栏板货车,聊冠,99
2021,3,18,中型轿车,聊冠,577
2021,3,18,大型普通客车,聊冠,64
2021,3,18,大型汽车,聊冠,194
2021,3,18,小型汽车,聊冠,194
2021,3,18,普通二轮摩托车,聊冠,3
2021,3,18,轻型栏板货车,聊冠,274
2021,3,18,重型栏板货车,聊冠,115
2021,3,19,中型轿车,聊冠,523
2021,3,19,其它,聊冠,1
2021,3,19,大型普通客车,聊冠,59
2021,3,19,大型汽车,聊冠,185
2021,3,19,小型汽车,聊冠,195
2021,3,19,轻型栏板货车,聊冠,250
2021,3,19,重型栏板货车,聊冠,104
2021,3,20,中型轿车,聊冠,552
2021,3,20,大型普通客车,聊冠,44
2021,3,20,大型汽车,聊冠,115
2021,3,20,小型汽车,聊冠,177
2021,3,20,普通二轮摩托车,聊冠,1
2021,3,20,轻型栏板货车,聊冠,230
2021,3,20,重型栏板货车,聊冠,69
2021,3,21,中型轿车,聊冠,519
2021,3,21,其它,聊冠,1
2021,3,21,大型普通客车,聊冠,34
2021,3,21,大型汽车,聊冠,144
2021,3,21,小型汽车,聊冠,104
2021,3,21,轻型栏板货车,聊冠,160
2021,3,21,重型栏板货车,聊冠,91
2021,3,22,中型轿车,聊冠,392
2021,3,22,大型普通客车,聊冠,44
2021,3,22,大型汽车,聊冠,142
2021,3,22,小型汽车,聊冠,113
2021,3,22,普通二轮摩托车,聊冠,1
2021,3,22,轻型栏板货车,聊冠,166
2021,3,22,重型栏板货车,聊冠,115
2021,3,23,中型轿车,聊冠,397
2021,3,23,大型普通客车,聊冠,45
2021,3,23,大型汽车,聊冠,142
2021,3,23,小型汽车,聊冠,109
2021,3,23,普通二轮摩托车,聊冠,2
2021,3,23,轻型栏板货车,聊冠,205
2021,3,23,重型栏板货车,聊冠,128
2021,3,24,中型轿车,聊冠,429
2021,3,24,大型普通客车,聊冠,62
2021,3,24,大型汽车,聊冠,139
2021,3,24,小型汽车,聊冠,146
2021,3,24,轻型栏板货车,聊冠,205
2021,3,24,重型栏板货车,聊冠,138
2021,3,25,中型轿车,聊冠,429
2021,3,25,其它,聊冠,2
2021,3,25,大型普通客车,聊冠,32
2021,3,25,大型汽车,聊冠,145
2021,3,25,小型汽车,聊冠,132
2021,3,25,轻型栏板货车,聊冠,198
2021,3,25,重型栏板货车,聊冠,105
2021,3,26,中型轿车,聊冠,463
