年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,大型汽车,聊夏,23
2021,3,1,小型普通客车,聊夏,6057
2021,3,1,小型汽车,聊夏,511
2021,3,1,重型栏板货车,聊夏,426
2021,3,2,大型汽车,聊夏,30
2021,3,2,小型普通客车,聊夏,6332
2021,3,2,小型汽车,聊夏,496
2021,3,2,重型栏板货车,聊夏,421
2021,3,3,大型汽车,聊夏,31
2021,3,3,小型普通客车,聊夏,6347
2021,3,3,小型汽车,聊夏,488
2021,3,3,重型栏板货车,聊夏,469
2021,3,4,大型汽车,聊夏,35
2021,3,4,小型普通客车,聊夏,6185
2021,3,4,小型汽车,聊夏,508
2021,3,4,重型栏板货车,聊夏,470
2021,3,5,大型汽车,聊夏,63
2021,3,5,小型普通客车,聊夏,6293
2021,3,5,小型汽车,聊夏,693
2021,3,5,重型栏板货车,聊夏,517
2021,3,6,大型汽车,聊夏,53
2021,3,6,小型普通客车,聊夏,5469
2021,3,6,小型汽车,聊夏,536
2021,3,6,重型栏板货车,聊夏,484
2021,3,7,大型汽车,聊夏,34
2021,3,7,小型普通客车,聊夏,5608
2021,3,7,小型汽车,聊夏,603
2021,3,7,重型栏板货车,聊夏,426
2021,3,8,大型汽车,聊夏,45
2021,3,8,小型普通客车,聊夏,6357
2021,3,8,小型汽车,聊夏,637
2021,3,8,重型栏板货车,聊夏,491
2021,3,9,大型汽车,聊夏,46
2021,3,9,小型普通客车,聊夏,6056
2021,3,9,小型汽车,聊夏,661
2021,3,9,重型栏板货车,聊夏,473
2021,3,10,大型汽车,聊夏,50
2021,3,10,小型普通客车,聊夏,6077
2021,3,10,小型汽车,聊夏,653
2021,3,10,重型栏板货车,聊夏,434
2021,3,11,大型汽车,聊夏,32
2021,3,11,小型普通客车,聊夏,5726
2021,3,11,小型汽车,聊夏,590
2021,3,11,重型栏板货车,聊夏,424
2021,3,12,大型汽车,聊夏,33
2021,3,12,小型普通客车,聊夏,6264
2021,3,12,小型汽车,聊夏,632
2021,3,12,重型栏板货车,聊夏,431
2021,3,13,大型汽车,聊夏,33
2021,3,13,小型普通客车,聊夏,5909
2021,3,13,小型汽车,聊夏,657
2021,3,13,重型栏板货车,聊夏,434
2021,3,14,大型汽车,聊夏,39
2021,3,14,小型普通客车,聊夏,5721
2021,3,14,小型汽车,聊夏,637
2021,3,14,重型栏板货车,聊夏,402
