年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,7,中型轿车,聊莘,967
2021,3,7,其它,聊莘,1
2021,3,7,大型普通客车,聊莘,37
2021,3,7,大型汽车,聊莘,73
2021,3,7,小型汽车,聊莘,151
2021,3,7,普通二轮摩托车,聊莘,1
2021,3,7,轻型栏板货车,聊莘,184
2021,3,7,重型栏板货车,聊莘,85
2021,3,8,中型轿车,聊莘,2809
2021,3,8,其它,聊莘,2
2021,3,8,大型普通客车,聊莘,145
2021,3,8,大型汽车,聊莘,288
2021,3,8,小型汽车,聊莘,445
2021,3,8,普通二轮摩托车,聊莘,2
2021,3,8,轻型栏板货车,聊莘,524
2021,3,8,重型栏板货车,聊莘,321
2021,3,9,中型轿车,聊莘,2714
2021,3,9,其它,聊莘,1
2021,3,9,大型普通客车,聊莘,133
2021,3,9,大型汽车,聊莘,301
2021,3,9,小型汽车,聊莘,453
2021,3,9,普通二轮摩托车,聊莘,2
2021,3,9,轻型栏板货车,聊莘,560
2021,3,9,重型栏板货车,聊莘,309
2021,3,10,中型轿车,聊莘,2638
2021,3,10,大型普通客车,聊莘,123
2021,3,10,大型汽车,聊莘,329
2021,3,10,小型汽车,聊莘,451
2021,3,10,普通二轮摩托车,聊莘,3
2021,3,10,轻型栏板货车,聊莘,526
2021,3,10,重型栏板货车,聊莘,285
2021,3,11,中型轿车,聊莘,2464
2021,3,11,大型普通客车,聊莘,113
2021,3,11,大型汽车,聊莘,302
2021,3,11,小型汽车,聊莘,382
2021,3,11,普通二轮摩托车,聊莘,1
2021,3,11,轻型栏板货车,聊莘,493
2021,3,11,重型栏板货车,聊莘,287
2021,3,12,中型轿车,聊莘,3472
2021,3,12,其它,聊莘,1
2021,3,12,大型普通客车,聊莘,149
2021,3,12,大型汽车,聊莘,291
2021,3,12,小型汽车,聊莘,509
2021,3,12,普通二轮摩托车,聊莘,1
2021,3,12,轻型栏板货车,聊莘,598
2021,3,12,重型栏板货车,聊莘,277
2021,3,13,中型轿车,聊莘,3314
2021,3,13,其它,聊莘,2
2021,3,13,大型普通客车,聊莘,129
2021,3,13,大型汽车,聊莘,298
2021,3,13,小型汽车,聊莘,474
2021,3,13,普通二轮摩托车,聊莘,2
2021,3,13,轻型栏板货车,聊莘,593
2021,3,13,重型栏板货车,聊莘,273
2021,3,14,中型轿车,聊莘,2691
2021,3,14,大型普通客车,聊莘,133
2021,3,14,大型汽车,聊莘,268
2021,3,14,小型汽车,聊莘,365
2021,3,14,普通二轮摩托车,聊莘,1
2021,3,14,轻型栏板货车,聊莘,562
2021,3,14,重型栏板货车,聊莘,272
2021,3,15,中型轿车,聊莘,2887
2021,3,15,其它,聊莘,1
2021,3,15,大型普通客车,聊莘,127
2021,3,15,大型汽车,聊莘,311
2021,3,15,小型汽车,聊莘,425
2021,3,15,轻型栏板货车,聊莘,567
2021,3,15,重型栏板货车,聊莘,346
2021,3,16,中型轿车,聊莘,2540
2021,3,16,其它,聊莘,1
2021,3,16,大型普通客车,聊莘,125
2021,3,16,大型汽车,聊莘,314
2021,3,16,小型汽车,聊莘,461
2021,3,16,轻型栏板货车,聊莘,551
2021,3,16,重型栏板货车,聊莘,313
2021,3,17,中型轿车,聊莘,2656
2021,3,17,其它,聊莘,2
2021,3,17,大型普通客车,聊莘,129
2021,3,17,大型汽车,聊莘,297
2021,3,17,小型汽车,聊莘,413
2021,3,17,普通二轮摩托车,聊莘,1
2021,3,17,轻型栏板货车,聊莘,519
2021,3,17,重型栏板货车,聊莘,343
2021,3,18,中型轿车,聊莘,2519
2021,3,18,其它,聊莘,3
2021,3,18,大型普通客车,聊莘,120
2021,3,18,大型汽车,聊莘,299
2021,3,18,小型汽车,聊莘,429
2021,3,18,轻型栏板货车,聊莘,502
2021,3,18,重型栏板货车,聊莘,299
2021,3,19,中型轿车,聊莘,2724
2021,3,19,其它,聊莘,2
2021,3,19,大型普通客车,聊莘,148
2021,3,19,大型汽车,聊莘,283
2021,3,19,小型汽车,聊莘,399
2021,3,19,普通二轮摩托车,聊莘,2
2021,3,19,轻型栏板货车,聊莘,516
2021,3,19,重型栏板半挂车,聊莘,1
2021,3,19,重型栏板货车,聊莘,372
2021,3,20,中型轿车,聊莘,2608
2021,3,20,大型普通客车,聊莘,130
2021,3,20,大型汽车,聊莘,293
2021,3,20,小型汽车,聊莘,408
2021,3,20,轻型栏板货车,聊莘,528
2021,3,20,重型栏板货车,聊莘,351
2021,3,21,中型轿车,聊莘,2758
2021,3,21,其它,聊莘,2
2021,3,21,大型普通客车,聊莘,108
2021,3,21,大型汽车,聊莘,284
2021,3,21,小型汽车,聊莘,414
2021,3,21,普通二轮摩托车,聊莘,2
2021,3,21,轻型栏板货车,聊莘,550
2021,3,21,重型栏板货车,聊莘,243
2021,3,22,中型轿车,聊莘,2671
2021,3,22,其它,聊莘,4
2021,3,22,大型普通客车,聊莘,117
2021,3,22,大型汽车,聊莘,269
2021,3,22,小型汽车,聊莘,430
2021,3,22,普通二轮摩托车,聊莘,1
2021,3,22,轻型栏板货车,聊莘,500
2021,3,22,重型栏板货车,聊莘,258
2021,3,23,中型轿车,聊莘,2595
2021,3,23,其它,聊莘,1
2021,3,23,大型普通客车,聊莘,128
2021,3,23,大型汽车,聊莘,288
2021,3,23,小型汽车,聊莘,466
2021,3,23,轻型栏板货车,聊莘,494
2021,3,23,重型栏板货车,聊莘,274
2021,3,24,中型轿车,聊莘,2543
2021,3,24,其它,聊莘,1
2021,3,24,大型普通客车,聊莘,131
2021,3,24,大型汽车,聊莘,319
2021,3,24,小型汽车,聊莘,465
2021,3,24,普通二轮摩托车,聊莘,3
2021,3,24,轻型栏板货车,聊莘,504
2021,3,24,重型栏板货车,聊莘,329
2021,3,25,中型轿车,聊莘,2751
2021,3,25,其它,聊莘,1
2021,3,25,大型普通客车,聊莘,129
2021,3,25,大型汽车,聊莘,318
2021,3,25,小型汽车,聊莘,466
2021,3,25,普通二轮摩托车,聊莘,1
2021,3,25,轻型栏板货车,聊莘,587
2021,3,25,重型栏板货车,聊莘,346
2021,3,26,中型轿车,聊莘,2847
2021,3,26,其它,聊莘,1
2021,3,26,大型普通客车,聊莘,165
2021,3,26,大型汽车,聊莘,348
2021,3,26,小型汽车,聊莘,451
2021,3,26,普通二轮摩托车,聊莘,3
2021,3,26,轻型栏板货车,聊莘,645
2021,3,26,重型栏板货车,聊莘,295
2021,3,27,中型轿车,聊莘,3373
2021,3,27,大型普通客车,聊莘,142
2021,3,27,大型汽车,聊莘,309
2021,3,27,小型汽车,聊莘,590
2021,3,27,普通二轮摩托车,聊莘,6
2021,3,27,轻型栏板货车,聊莘,586
2021,3,27,重型栏板货车,聊莘,302
2021,3,28,中型轿车,聊莘,2816
2021,3,28,大型普通客车,聊莘,119
2021,3,28,大型汽车,聊莘,332
2021,3,28,小型汽车,聊莘,473
2021,3,28,普通二轮摩托车,聊莘,2
2021,3,28,轻型栏板货车,聊莘,553
2021,3,28,重型栏板货车,聊莘,370
2021,3,29,中型轿车,聊莘,2698
2021,3,29,其它,聊莘,2
2021,3,29,大型普通客车,聊莘,140
2021,3,29,大型汽车,聊莘,296
2021,3,29,小型汽车,聊莘,422
2021,3,29,普通二轮摩托车,聊莘,1
2021,3,29,轻型栏板货车,聊莘,516
2021,3,29,重型栏板货车,聊莘,313
2021,3,30,中型轿车,聊莘,2566
2021,3,30,其它,聊莘,4
2021,3,30,大型普通客车,聊莘,114
2021,3,30,大型汽车,聊莘,298
2021,3,30,小型汽车,聊莘,413
2021,3,30,轻型栏板货车,聊莘,547
2021,3,30,重型栏板货车,聊莘,328
2021,3,31,中型轿车,聊莘,2475
2021,3,31,其它,聊莘,3
2021,3,31,大型普通客车,聊莘,132
2021,3,31,大型汽车,聊莘,307
2021,3,31,小型汽车,聊莘,457
2021,3,31,普通二轮摩托车,聊莘,2
2021,3,31,轻型栏板货车,聊莘,536
2021,3,31,重型栏板货车,聊莘,368
2021,4,1,中型轿车,聊莘,1580
2021,4,1,其它,聊莘,1
2021,4,1,大型普通客车,聊莘,72
2021,4,1,大型汽车,聊莘,236
2021,4,1,小型汽车,聊莘,231
2021,4,1,普通二轮摩托车,聊莘,1
2021,4,1,轻型栏板货车,聊莘,351
2021,4,1,重型栏板货车,聊莘,226
2021,4,2,中型轿车,聊莘,2881
2021,4,2,其它,聊莘,2
2021,4,2,大型普通客车,聊莘,148
2021,4,2,大型汽车,聊莘,319
2021,4,2,小型汽车,聊莘,443
2021,4,2,轻型栏板货车,聊莘,551
2021,4,2,重型栏板货车,聊莘,316
2021,4,3,中型轿车,聊莘,3459
2021,4,3,其它,聊莘,4
2021,4,3,大型普通客车,聊莘,142
2021,4,3,大型汽车,聊莘,339
2021,4,3,小型汽车,聊莘,466
2021,4,3,普通二轮摩托车,聊莘,2
2021,4,3,轻型栏板货车,聊莘,622
2021,4,3,重型栏板货车,聊莘,269
2021,4,4,中型轿车,聊莘,3383
2021,4,4,大型普通客车,聊莘,105
2021,4,4,大型汽车,聊莘,288
2021,4,4,小型汽车,聊莘,486
2021,4,4,普通二轮摩托车,聊莘,1
