年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,7,中型轿车,西环,1972
2021,3,7,其它,西环,11
2021,3,7,大型普通客车,西环,454
2021,3,7,大型汽车,西环,421
2021,3,7,小型汽车,西环,250
2021,3,7,普通二轮摩托车,西环,2
2021,3,7,轻型栏板货车,西环,206
2021,3,7,重型栏板货车,西环,217
2021,3,8,中型轿车,西环,6261
2021,3,8,其它,西环,67
2021,3,8,大型普通客车,西环,1544
2021,3,8,大型汽车,西环,1520
2021,3,8,小型汽车,西环,910
2021,3,8,普通二轮摩托车,西环,3
2021,3,8,轻型栏板货车,西环,752
2021,3,8,重型栏板货车,西环,755
2021,3,9,中型轿车,西环,5940
2021,3,9,其它,西环,49
2021,3,9,大型普通客车,西环,1566
2021,3,9,大型汽车,西环,1489
2021,3,9,小型汽车,西环,851
2021,3,9,普通二轮摩托车,西环,4
2021,3,9,轻型栏板货车,西环,773
2021,3,9,重型栏板货车,西环,887
2021,3,10,中型轿车,西环,5656
2021,3,10,其它,西环,49
2021,3,10,大型普通客车,西环,1299
2021,3,10,大型汽车,西环,1425
2021,3,10,小型汽车,西环,962
2021,3,10,普通二轮摩托车,西环,2
2021,3,10,轻型栏板货车,西环,766
2021,3,10,重型栏板货车,西环,775
2021,3,11,中型轿车,西环,5704
2021,3,11,其它,西环,51
2021,3,11,大型普通客车,西环,1356
2021,3,11,大型汽车,西环,1496
2021,3,11,小型汽车,西环,860
2021,3,11,普通二轮摩托车,西环,4
2021,3,11,轻型栏板货车,西环,678
2021,3,11,重型栏板货车,西环,739
2021,3,12,中型轿车,西环,6373
2021,3,12,其它,西环,54
2021,3,12,大型普通客车,西环,1231
2021,3,12,大型汽车,西环,1242
2021,3,12,小型汽车,西环,1010
2021,3,12,普通二轮摩托车,西环,5
2021,3,12,轻型栏板货车,西环,842
2021,3,12,重型栏板货车,西环,748
2021,3,13,中型轿车,西环,10725
2021,3,13,其它,西环,78
2021,3,13,大型普通客车,西环,2822
2021,3,13,大型汽车,西环,2536
2021,3,13,小型汽车,西环,1451
2021,3,13,普通二轮摩托车,西环,8
2021,3,13,轻型栏板货车,西环,757
2021,3,13,重型栏板货车,西环,764
2021,3,14,中型轿车,西环,9201
2021,3,14,其它,西环,67
2021,3,14,大型普通客车,西环,2664
2021,3,14,大型汽车,西环,2276
2021,3,14,小型汽车,西环,1305
2021,3,14,普通二轮摩托车,西环,3
2021,3,14,轻型栏板货车,西环,722
2021,3,14,重型栏板货车,西环,775
2021,3,15,中型轿车,西环,9882
2021,3,15,其它,西环,84
2021,3,15,大型普通客车,西环,2730
2021,3,15,大型汽车,西环,1970
2021,3,15,小型汽车,西环,1414
2021,3,15,普通二轮摩托车,西环,3
2021,3,15,轻型栏板货车,西环,685
2021,3,15,重型栏板货车,西环,780
2021,3,16,中型轿车,西环,10098
2021,3,16,其它,西环,88
2021,3,16,大型普通客车,西环,2888
2021,3,16,大型汽车,西环,2443
2021,3,16,小型汽车,西环,1350
2021,3,16,普通二轮摩托车,西环,8
2021,3,16,轻型栏板货车,西环,724
2021,3,16,重型栏板货车,西环,861
2021,3,17,中型轿车,西环,10011
2021,3,17,其它,西环,102
2021,3,17,大型普通客车,西环,2948
2021,3,17,大型汽车,西环,2281
2021,3,17,小型汽车,西环,1326
2021,3,17,普通二轮摩托车,西环,2
2021,3,17,轻型栏板货车,西环,756
2021,3,17,重型栏板货车,西环,927
2021,3,18,中型轿车,西环,9573
2021,3,18,其它,西环,80
2021,3,18,大型普通客车,西环,2668
2021,3,18,大型汽车,西环,2203
2021,3,18,小型汽车,西环,1311
2021,3,18,普通二轮摩托车,西环,4
2021,3,18,轻型栏板货车,西环,668
2021,3,18,重型栏板货车,西环,811
2021,3,19,中型轿车,西环,10072
2021,3,19,其它,西环,98
2021,3,19,大型普通客车,西环,2733
2021,3,19,大型汽车,西环,2331
2021,3,19,小型汽车,西环,1370
2021,3,19,普通二轮摩托车,西环,3
2021,3,19,轻型栏板货车,西环,743
2021,3,19,重型栏板货车,西环,810
2021,3,20,中型轿车,西环,8247
2021,3,20,其它,西环,48
2021,3,20,大型普通客车,西环,2244
2021,3,20,大型汽车,西环,1764
2021,3,20,小型汽车,西环,1230
2021,3,20,普通二轮摩托车,西环,3
2021,3,20,轻型栏板货车,西环,744
2021,3,20,重型栏板货车,西环,826
2021,3,21,中型轿车,西环,8146
2021,3,21,其它,西环,61
2021,3,21,大型普通客车,西环,2323
2021,3,21,大型汽车,西环,1933
2021,3,21,小型汽车,西环,1261
2021,3,21,普通二轮摩托车,西环,7
2021,3,21,轻型栏板货车,西环,713
2021,3,21,重型栏板货车,西环,752
2021,3,22,中型轿车,西环,9050
2021,3,22,其它,西环,82
2021,3,22,大型普通客车,西环,2180
2021,3,22,大型汽车,西环,1804
2021,3,22,小型汽车,西环,1442
2021,3,22,普通二轮摩托车,西环,4
2021,3,22,轻型栏板货车,西环,756
2021,3,22,重型栏板货车,西环,792
2021,3,23,中型轿车,西环,9075
2021,3,23,其它,西环,62
2021,3,23,大型普通客车,西环,2384
2021,3,23,大型汽车,西环,2046
2021,3,23,小型汽车,西环,1334
2021,3,23,普通二轮摩托车,西环,3
2021,3,23,轻型栏板货车,西环,784
2021,3,23,重型栏板货车,西环,884
2021,3,24,中型轿车,西环,9577
2021,3,24,其它,西环,69
2021,3,24,大型普通客车,西环,2761
2021,3,24,大型汽车,西环,2057
2021,3,24,小型汽车,西环,1353
2021,3,24,普通二轮摩托车,西环,7
2021,3,24,轻型栏板货车,西环,793
2021,3,24,重型栏板货车,西环,958
2021,3,25,中型轿车,西环,9655
2021,3,25,其它,西环,101
2021,3,25,大型普通客车,西环,2627
2021,3,25,大型汽车,西环,2186
2021,3,25,小型汽车,西环,1397
2021,3,25,普通二轮摩托车,西环,7
2021,3,25,轻型栏板货车,西环,795
2021,3,25,重型栏板货车,西环,868
2021,3,26,中型轿车,西环,9750
2021,3,26,其它,西环,93
2021,3,26,大型普通客车,西环,2481
2021,3,26,大型汽车,西环,2346
2021,3,26,小型汽车,西环,1430
2021,3,26,普通二轮摩托车,西环,10
2021,3,26,轻型栏板货车,西环,777
2021,3,26,重型栏板货车,西环,745
2021,3,27,中型轿车,西环,8296
2021,3,27,其它,西环,45
2021,3,27,大型普通客车,西环,1668
2021,3,27,大型汽车,西环,1626
2021,3,27,小型汽车,西环,1618
2021,3,27,普通二轮摩托车,西环,5
2021,3,27,轻型栏板货车,西环,852
2021,3,27,重型栏板货车,西环,884
2021,3,28,中型轿车,西环,8299
2021,3,28,其它,西环,56
2021,3,28,大型普通客车,西环,2034
2021,3,28,大型汽车,西环,1813
2021,3,28,小型汽车,西环,1274
2021,3,28,普通二轮摩托车,西环,2
2021,3,28,轻型栏板货车,西环,770
2021,3,28,重型栏板货车,西环,878
2021,3,29,中型轿车,西环,9638
2021,3,29,其它,西环,64
2021,3,29,大型普通客车,西环,2437
2021,3,29,大型汽车,西环,2119
2021,3,29,小型汽车,西环,1281
2021,3,29,普通二轮摩托车,西环,4
2021,3,29,轻型栏板货车,西环,857
2021,3,29,重型栏板货车,西环,857
2021,3,30,中型轿车,西环,8414
2021,3,30,其它,西环,68
2021,3,30,大型普通客车,西环,2117
2021,3,30,大型汽车,西环,1821
2021,3,30,小型汽车,西环,1222
2021,3,30,普通二轮摩托车,西环,3
2021,3,30,轻型栏板货车,西环,793
2021,3,30,重型栏板货车,西环,888
2021,3,31,中型轿车,西环,8789
2021,3,31,其它,西环,93
2021,3,31,大型普通客车,西环,2262
2021,3,31,大型汽车,西环,2121
2021,3,31,小型汽车,西环,1299
2021,3,31,普通二轮摩托车,西环,10
2021,3,31,轻型栏板货车,西环,775
2021,3,31,重型栏板货车,西环,858
2021,4,1,中型轿车,西环,6539
2021,4,1,其它,西环,62
2021,4,1,大型普通客车,西环,1792
2021,4,1,大型汽车,西环,1734
2021,4,1,小型汽车,西环,967
2021,4,1,普通二轮摩托车,西环,2
2021,4,1,轻型栏板货车,西环,708
2021,4,1,重型栏板货车,西环,771
2021,4,2,中型轿车,西环,7408
2021,4,2,其它,西环,71
2021,4,2,大型普通客车,西环,1796
2021,4,2,大型汽车,西环,1630
2021,4,2,小型汽车,西环,1063
2021,4,2,普通二轮摩托车,西环,3
2021,4,2,轻型栏板货车,西环,754
2021,4,2,重型栏板货车,西环,662
2021,4,3,中型轿车,西环,7802
2021,4,3,其它,西环,59
2021,4,3,大型普通客车,西环,1364
2021,4,3,大型汽车,西环,1577
2021,4,3,小型汽车,西环,1070
2021,4,3,普通二轮摩托车,西环,1
2021,4,3,轻型栏板货车,西环,621
2021,4,3,重型栏板货车,西环,652
2021,4,4,中型轿车,西环,8367
2021,4,4,其它,西环,65
2021,4,4,大型普通客车,西环,1353
2021,4,4,大型汽车,西环,1393
2021,4,4,小型汽车,西环,1368
2021,4,4,普通二轮摩托车,西环,4
2021,4,4,轻型栏板货车,西环,678
2021,4,4,重型栏板货车,西环,709
2021,4,5,中型轿车,西环,8548
2021,4,5,其它,西环,57
2021,4,5,大型普通客车,西环,2047
2021,4,5,大型汽车,西环,1758
2021,4,5,小型汽车,西环,1527
2021,4,5,普通二轮摩托车,西环,3
2021,4,5,轻型栏板货车,西环,767
2021,4,5,重型栏板货车,西环,856
2021,4,6,中型轿车,西环,3285
2021,4,6,其它,西环,39
2021,4,6,大型普通客车,西环,724
2021,4,6,大型汽车,西环,702
2021,4,6,小型汽车,西环,407
2021,4,6,普通二轮摩托车,西环,3
2021,4,6,轻型栏板货车,西环,271
2021,4,6,重型栏板货车,西环,284
2021,4,27,中型轿车,西环,4316
2021,4,27,其它,西环,34
2021,4,27,大型普通客车,西环,1009
2021,4,27,大型汽车,西环,768
2021,4,27,小型汽车,西环,544
2021,4,27,轻型栏板货车,西环,298
2021,4,27,重型栏板货车,西环,273
2021,4,28,中型轿车,西环,9825
2021,4,28,其它,西环,106
2021,4,28,大型普通客车,西环,2712
2021,4,28,大型汽车,西环,2113
2021,4,28,小型汽车,西环,1375
2021,4,28,普通二轮摩托车,西环,4
2021,4,28,轻型栏板货车,西环,816
2021,4,28,重型栏板货车,西环,839
2021,4,29,中型轿车,西环,6220
2021,4,29,其它,西环,55
2021,4,29,大型普通客车,西环,1339
2021,4,29,大型汽车,西环,1407
2021,4,29,小型汽车,西环,957
2021,4,29,普通二轮摩托车,西环,2
2021,4,29,轻型栏板货车,西环,896
2021,4,29,重型栏板货车,西环,807
2021,4,30,中型轿车,西环,6368
2021,4,30,其它,西环,66
2021,4,30,大型普通客车,西环,1121
2021,4,30,大型汽车,西环,1105
2021,4,30,小型汽车,西环,963
2021,4,30,普通二轮摩托车,西环,1
2021,4,30,轻型栏板货车,西环,832
2021,4,30,重型栏板货车,西环,836
2021,5,1,中型轿车,西环,6046
2021,5,1,其它,西环,40
2021,5,1,大型普通客车,西环,912
2021,5,1,大型汽车,西环,1217
2021,5,1,小型汽车,西环,2303
2021,5,1,普通二轮摩托车,西环,3
2021,5,1,轻型栏板货车,西环,786
2021,5,1,重型栏板货车,西环,741
2021,5,2,中型轿车,西环,5145
2021,5,2,其它,西环,43
2021,5,2,大型普通客车,西环,985
2021,5,2,大型汽车,西环,1067
2021,5,2,小型汽车,西环,1163
2021,5,2,普通二轮摩托车,西环,1
2021,5,2,轻型栏板货车,西环,745
2021,5,2,重型栏板货车,西环,817
2021,5,3,中型轿车,西环,4371
2021,5,3,其它,西环,22
2021,5,3,大型普通客车,西环,924
2021,5,3,大型汽车,西环,1012
2021,5,3,小型汽车,西环,736
2021,5,3,普通二轮摩托车,西环,7
2021,5,3,轻型栏板货车,西环,747
2021,5,3,重型栏板货车,西环,800
2021,5,4,中型轿车,西环,5258
2021,5,4,其它,西环,50
2021,5,4,大型普通客车,西环,948
