年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,其它,辽河,2
2021,3,1,大型汽车,辽河,1515
2021,3,1,小型普通客车,辽河,110273
2021,3,1,小型汽车,辽河,8215
2021,3,1,重型栏板货车,辽河,4137
2021,3,2,其它,辽河,2
2021,3,2,大型汽车,辽河,1904
2021,3,2,小型普通客车,辽河,111392
2021,3,2,小型汽车,辽河,9960
2021,3,2,重型栏板货车,辽河,4787
2021,3,3,大型汽车,辽河,2056
2021,3,3,小型普通客车,辽河,109584
2021,3,3,小型汽车,辽河,9837
2021,3,3,重型栏板货车,辽河,5033
2021,3,4,大型汽车,辽河,2110
2021,3,4,小型普通客车,辽河,107009
2021,3,4,小型汽车,辽河,9495
2021,3,4,重型栏板货车,辽河,5088
2021,3,5,其它,辽河,2
2021,3,5,大型汽车,辽河,2215
2021,3,5,小型普通客车,辽河,108177
2021,3,5,小型汽车,辽河,9592
2021,3,5,重型栏板货车,辽河,5302
2021,3,6,大型汽车,辽河,2074
2021,3,6,小型普通客车,辽河,97671
2021,3,6,小型汽车,辽河,9865
2021,3,6,重型栏板货车,辽河,4793
2021,3,7,大型汽车,辽河,2160
2021,3,7,小型普通客车,辽河,90054
2021,3,7,小型汽车,辽河,8834
2021,3,7,重型栏板货车,辽河,4742
2021,3,8,大型汽车,辽河,1951
2021,3,8,小型普通客车,辽河,109019
2021,3,8,小型汽车,辽河,9878
2021,3,8,重型栏板货车,辽河,5020
2021,3,9,大型汽车,辽河,2237
2021,3,9,小型普通客车,辽河,105819
2021,3,9,小型汽车,辽河,10353
2021,3,9,重型栏板货车,辽河,4939
2021,3,10,大型汽车,辽河,2027
2021,3,10,小型普通客车,辽河,107035
2021,3,10,小型汽车,辽河,10058
2021,3,10,重型栏板货车,辽河,4863
2021,3,11,大型汽车,辽河,1841
2021,3,11,小型普通客车,辽河,104352
2021,3,11,小型汽车,辽河,9381
2021,3,11,普通二轮摩托车,辽河,1
2021,3,11,重型栏板货车,辽河,4789
2021,3,12,其它,辽河,1
2021,3,12,大型汽车,辽河,1917
2021,3,12,小型普通客车,辽河,108507
2021,3,12,小型汽车,辽河,11436
2021,3,12,普通二轮摩托车,辽河,1
2021,3,12,重型栏板货车,辽河,4871
2021,3,13,其它,辽河,1
2021,3,13,大型汽车,辽河,2003
2021,3,13,小型普通客车,辽河,93510
2021,3,13,小型汽车,辽河,9256
2021,3,13,重型栏板货车,辽河,4346
2021,3,14,其它,辽河,1
2021,3,14,大型汽车,辽河,1675
2021,3,14,小型普通客车,辽河,87675
2021,3,14,小型汽车,辽河,8117
2021,3,14,微型栏板货车,辽河,1
2021,3,14,普通二轮摩托车,辽河,1
2021,3,14,重型栏板货车,辽河,4439
2021,3,15,其它,辽河,3
2021,3,15,大型汽车,辽河,1893
2021,3,15,小型普通客车,辽河,106177
2021,3,15,小型汽车,辽河,10156
2021,3,15,重型栏板货车,辽河,5052
2021,3,16,其它,辽河,1
2021,3,16,大型汽车,辽河,1958
2021,3,16,小型普通客车,辽河,106773
2021,3,16,小型汽车,辽河,10602
2021,3,16,重型栏板货车,辽河,5135
2021,3,17,其它,辽河,2
2021,3,17,大型汽车,辽河,2104
2021,3,17,小型普通客车,辽河,104507
2021,3,17,小型汽车,辽河,9453
2021,3,17,重型栏板货车,辽河,5242
2021,3,18,大型汽车,辽河,2233
2021,3,18,小型普通客车,辽河,107173
2021,3,18,小型汽车,辽河,10492
2021,3,18,重型栏板货车,辽河,4905
2021,3,19,大型汽车,辽河,2087
2021,3,19,小型普通客车,辽河,109031
2021,3,19,小型汽车,辽河,8981
2021,3,19,重型栏板货车,辽河,5130
2021,3,20,大型汽车,辽河,1891
2021,3,20,小型普通客车,辽河,95816
2021,3,20,小型汽车,辽河,9506
2021,3,20,微型栏板货车,辽河,1
2021,3,20,重型栏板货车,辽河,4533
2021,3,21,大型汽车,辽河,1802
2021,3,21,小型普通客车,辽河,86953
2021,3,21,小型汽车,辽河,9426
2021,3,21,重型栏板货车,辽河,4180
2021,3,22,其它,辽河,4
2021,3,22,大型汽车,辽河,1826
2021,3,22,小型普通客车,辽河,108905
2021,3,22,小型汽车,辽河,9945
2021,3,22,重型栏板货车,辽河,4577
2021,3,23,大型汽车,辽河,1895
2021,3,23,小型普通客车,辽河,107778
2021,3,23,小型汽车,辽河,11244
2021,3,23,普通二轮摩托车,辽河,1
2021,3,23,重型栏板货车,辽河,5228
2021,3,24,其它,辽河,1
2021,3,24,大型汽车,辽河,2212
2021,3,24,小型普通客车,辽河,106221
2021,3,24,小型汽车,辽河,11231
2021,3,24,重型栏板货车,辽河,5252
2021,3,25,大型汽车,辽河,2310
2021,3,25,小型普通客车,辽河,108047
2021,3,25,小型汽车,辽河,10787
2021,3,25,普通二轮摩托车,辽河,1
2021,3,25,重型栏板货车,辽河,5309
2021,3,26,其它,辽河,1
2021,3,26,大型汽车,辽河,2072
2021,3,26,小型普通客车,辽河,113763
2021,3,26,小型汽车,辽河,11079
2021,3,26,重型栏板货车,辽河,5280
2021,3,27,其它,辽河,1
2021,3,27,大型汽车,辽河,2010
2021,3,27,小型普通客车,辽河,102478
2021,3,27,小型汽车,辽河,10415
2021,3,27,重型栏板货车,辽河,4770
2021,3,28,其它,辽河,1
2021,3,28,大型汽车,辽河,2046
2021,3,28,小型普通客车,辽河,90852
2021,3,28,小型汽车,辽河,9752
2021,3,28,重型栏板货车,辽河,4789
2021,3,29,其它,辽河,1
2021,3,29,大型汽车,辽河,2172
2021,3,29,小型普通客车,辽河,109797
2021,3,29,小型汽车,辽河,10756
2021,3,29,重型栏板货车,辽河,4928
2021,3,30,其它,辽河,1
2021,3,30,大型汽车,辽河,2139
2021,3,30,小型普通客车,辽河,104567
2021,3,30,小型汽车,辽河,10689
2021,3,30,重型栏板货车,辽河,5150
2021,3,31,其它,辽河,1
2021,3,31,大型汽车,辽河,2052
2021,3,31,小型普通客车,辽河,105525
2021,3,31,小型汽车,辽河,10621
2021,3,31,重型栏板货车,辽河,5214
2021,4,1,大型汽车,辽河,2037
2021,4,1,小型普通客车,辽河,105562
2021,4,1,小型汽车,辽河,10746
2021,4,1,重型栏板货车,辽河,5070
2021,4,2,大型汽车,辽河,2165
2021,4,2,小型普通客车,辽河,114864
2021,4,2,小型汽车,辽河,12388
2021,4,2,重型栏板货车,辽河,5099
2021,4,3,其它,辽河,1
2021,4,3,大型汽车,辽河,1784
2021,4,3,小型普通客车,辽河,93098
2021,4,3,小型汽车,辽河,9619
2021,4,3,普通二轮摩托车,辽河,1
2021,4,3,重型栏板货车,辽河,4276
2021,4,4,大型汽车,辽河,1615
2021,4,4,小型普通客车,辽河,82704
2021,4,4,小型汽车,辽河,8505
2021,4,4,重型栏板货车,辽河,3791
2021,4,5,其它,辽河,1
2021,4,5,大型汽车,辽河,1833
2021,4,5,小型普通客车,辽河,97341
2021,4,5,小型汽车,辽河,9893
2021,4,5,普通二轮摩托车,辽河,2
2021,4,5,重型栏板货车,辽河,4696
2021,4,6,其它,辽河,5
2021,4,6,大型汽车,辽河,1929
2021,4,6,小型普通客车,辽河,108170
2021,4,6,小型汽车,辽河,10586
2021,4,6,重型栏板货车,辽河,4471
2021,4,7,其它,辽河,1
2021,4,7,大型汽车,辽河,2315
2021,4,7,小型普通客车,辽河,107629
2021,4,7,小型汽车,辽河,10966
2021,4,7,重型栏板货车,辽河,5069
2021,4,8,大型汽车,辽河,2205
2021,4,8,小型普通客车,辽河,103388
2021,4,8,小型汽车,辽河,10387
2021,4,8,重型栏板货车,辽河,5201
2021,4,9,大型汽车,辽河,2218
2021,4,9,小型普通客车,辽河,108871
2021,4,9,小型汽车,辽河,10785
2021,4,9,重型栏板货车,辽河,5350
2021,4,10,大型汽车,辽河,2074
2021,4,10,小型普通客车,辽河,96681
2021,4,10,小型汽车,辽河,10465
2021,4,10,重型栏板货车,辽河,5023
2021,4,11,大型汽车,辽河,1977
2021,4,11,小型普通客车,辽河,88137
2021,4,11,小型汽车,辽河,9022
2021,4,11,重型栏板货车,辽河,4575
2021,4,12,其它,辽河,1
2021,4,12,大型汽车,辽河,1848
2021,4,12,小型普通客车,辽河,108122
2021,4,12,小型汽车,辽河,10142
2021,4,12,重型栏板货车,辽河,5195
2021,4,13,大型汽车,辽河,1918
2021,4,13,小型普通客车,辽河,103060
2021,4,13,小型汽车,辽河,11322
2021,4,13,重型栏板货车,辽河,4855
2021,4,14,其它,辽河,3
2021,4,14,大型汽车,辽河,1959
2021,4,14,小型普通客车,辽河,102637
2021,4,14,小型汽车,辽河,10365
2021,4,14,普通二轮摩托车,辽河,1
2021,4,14,重型栏板货车,辽河,4855
2021,4,15,其它,辽河,1
2021,4,15,大型汽车,辽河,2185
2021,4,15,小型普通客车,辽河,109841
2021,4,15,小型汽车,辽河,10238
2021,4,15,重型栏板货车,辽河,5242
2021,4,16,大型汽车,辽河,2187
2021,4,16,小型普通客车,辽河,109251
2021,4,16,小型汽车,辽河,10902
2021,4,16,重型栏板货车,辽河,5446
2021,4,17,其它,辽河,4
2021,4,17,大型汽车,辽河,2116
2021,4,17,小型普通客车,辽河,97656
2021,4,17,小型汽车,辽河,10511
2021,4,17,重型栏板货车,辽河,4227
2021,4,18,大型汽车,辽河,1968
2021,4,18,小型普通客车,辽河,95087
2021,4,18,小型汽车,辽河,9517
2021,4,18,重型栏板货车,辽河,4481
2021,4,19,大型汽车,辽河,2142
2021,4,19,小型普通客车,辽河,108602
2021,4,19,小型汽车,辽河,10667
2021,4,19,重型栏板货车,辽河,4870
2021,4,20,其它,辽河,2
2021,4,20,大型汽车,辽河,2034
2021,4,20,小型普通客车,辽河,110213
2021,4,20,小型汽车,辽河,10724
2021,4,20,普通二轮摩托车,辽河,1
2021,4,20,重型栏板货车,辽河,5307
2021,4,21,其它,辽河,1
2021,4,21,大型汽车,辽河,2212
2021,4,21,小型普通客车,辽河,113231
2021,4,21,小型汽车,辽河,12351
2021,4,21,重型栏板货车,辽河,5134
2021,4,22,大型汽车,辽河,2127
2021,4,22,小型普通客车,辽河,115373
2021,4,22,小型汽车,辽河,11596
2021,4,22,微型栏板货车,辽河,1
2021,4,22,重型栏板货车,辽河,4864
2021,4,23,大型汽车,辽河,2198
2021,4,23,小型普通客车,辽河,112925
2021,4,23,小型汽车,辽河,11198
2021,4,23,普通二轮摩托车,辽河,1
2021,4,23,重型栏板货车,辽河,5380
2021,4,24,其它,辽河,1
2021,4,24,大型汽车,辽河,1865
2021,4,24,小型普通客车,辽河,98172
2021,4,24,小型汽车,辽河,9161
2021,4,24,重型栏板货车,辽河,4745
2021,4,25,其它,辽河,1
2021,4,25,大型汽车,辽河,2152
2021,4,25,小型普通客车,辽河,106515
2021,4,25,小型汽车,辽河,10879
2021,4,25,重型栏板货车,辽河,5197
2021,4,26,大型汽车,辽河,2072
2021,4,26,小型普通客车,辽河,116071
2021,4,26,小型汽车,辽河,10435
2021,4,26,重型栏板货车,辽河,4651
2021,4,27,其它,辽河,1
2021,4,27,大型汽车,辽河,1930
2021,4,27,小型普通客车,辽河,111036
2021,4,27,小型汽车,辽河,11283
2021,4,27,重型栏板货车,辽河,4762
2021,4,28,大型汽车,辽河,2090
2021,4,28,小型普通客车,辽河,106835
2021,4,28,小型汽车,辽河,11018
2021,4,28,重型栏板货车,辽河,5061
2021,4,29,其它,辽河,1
2021,4,29,大型汽车,辽河,2039
2021,4,29,小型普通客车,辽河,110021
2021,4,29,小型汽车,辽河,10511
2021,4,29,重型栏板货车,辽河,4822
2021,4,30,其它,辽河,1
2021,4,30,大型汽车,辽河,1958
2021,4,30,小型普通客车,辽河,122837
2021,4,30,小型汽车,辽河,12877
2021,4,30,重型栏板货车,辽河,5290
2021,5,1,大型汽车,辽河,1619
2021,5,1,小型普通客车,辽河,88519
2021,5,1,小型汽车,辽河,11967
2021,5,1,重型栏板货车,辽河,4281
2021,5,2,其它,辽河,1
2021,5,2,大型汽车,辽河,1620
2021,5,2,小型普通客车,辽河,84883
2021,5,2,小型汽车,辽河,10457
2021,5,2,重型栏板货车,辽河,3892
2021,5,3,大型汽车,辽河,1612
2021,5,3,小型普通客车,辽河,85162
2021,5,3,小型汽车,辽河,10664
2021,5,3,重型栏板货车,辽河,4106
2021,5,4,其它,辽河,1
2021,5,4,大型汽车,辽河,1849
2021,5,4,小型普通客车,辽河,96463
2021,5,4,小型汽车,辽河,10297
2021,5,4,重型栏板货车,辽河,4518
2021,5,5,其它,辽河,3
2021,5,5,大型汽车,辽河,1720
2021,5,5,小型普通客车,辽河,93494
2021,5,5,小型汽车,辽河,10526
2021,5,5,普通二轮摩托车,辽河,1
2021,5,5,重型栏板货车,辽河,4209
2021,5,6,大型汽车,辽河,1538
2021,5,6,小型普通客车,辽河,85396
2021,5,6,小型汽车,辽河,8927
2021,5,6,普通二轮摩托车,辽河,2
2021,5,6,重型栏板货车,辽河,3914
2021,5,7,大型汽车,辽河,2010
2021,5,7,小型普通客车,辽河,110178
2021,5,7,小型汽车,辽河,11537
2021,5,7,重型栏板货车,辽河,5179
2021,5,8,其它,辽河,2
2021,5,8,大型汽车,辽河,2198
2021,5,8,小型普通客车,辽河,109332
2021,5,8,小型汽车,辽河,11954
2021,5,8,普通二轮摩托车,辽河,2
2021,5,8,重型栏板货车,辽河,5320
2021,5,9,大型汽车,辽河,2070
2021,5,9,小型普通客车,辽河,94296
2021,5,9,小型汽车,辽河,9665
2021,5,9,重型栏板货车,辽河,5116
2021,5,10,大型汽车,辽河,1980
2021,5,10,小型普通客车,辽河,114116
2021,5,10,小型汽车,辽河,11306
2021,5,10,重型栏板货车,辽河,5424
2021,5,11,其它,辽河,2
2021,5,11,大型汽车,辽河,2099
2021,5,11,小型普通客车,辽河,108151
2021,5,11,小型汽车,辽河,11567
2021,5,11,重型栏板货车,辽河,5105
2021,5,12,其它,辽河,1
2021,5,12,大型汽车,辽河,2208
2021,5,12,小型普通客车,辽河,105458
2021,5,12,小型汽车,辽河,11593
2021,5,12,普通二轮摩托车,辽河,1
2021,5,12,重型栏板货车,辽河,5482
2021,5,13,其它,辽河,1
2021,5,13,大型汽车,辽河,2197
2021,5,13,小型普通客车,辽河,110386
2021,5,13,小型汽车,辽河,11790
2021,5,13,重型栏板货车,辽河,5724
2021,5,14,大型汽车,辽河,2319
2021,5,14,小型普通客车,辽河,111278
2021,5,14,小型汽车,辽河,12864
2021,5,14,重型栏板货车,辽河,5624
2021,5,15,大型汽车,辽河,1951
2021,5,15,小型普通客车,辽河,98329
2021,5,15,小型汽车,辽河,10465
2021,5,15,重型栏板货车,辽河,4832
