年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,其它,锦园,3
2021,3,1,大型汽车,锦园,47
2021,3,1,小型普通客车,锦园,6727
2021,3,1,小型汽车,锦园,523
2021,3,1,重型栏板货车,锦园,243
2021,3,2,其它,锦园,2
2021,3,2,大型汽车,锦园,69
2021,3,2,小型普通客车,锦园,7148
2021,3,2,小型汽车,锦园,592
2021,3,2,重型栏板货车,锦园,344
2021,3,3,其它,锦园,5
2021,3,3,大型汽车,锦园,80
2021,3,3,小型普通客车,锦园,7113
2021,3,3,小型汽车,锦园,565
2021,3,3,重型栏板货车,锦园,343
2021,3,4,其它,锦园,6
2021,3,4,大型汽车,锦园,64
2021,3,4,小型普通客车,锦园,6992
2021,3,4,小型汽车,锦园,613
2021,3,4,重型栏板货车,锦园,388
2021,3,5,其它,锦园,5
2021,3,5,大型汽车,锦园,66
2021,3,5,小型普通客车,锦园,7052
2021,3,5,小型汽车,锦园,524
2021,3,5,重型栏板货车,锦园,411
2021,3,6,其它,锦园,7
2021,3,6,大型汽车,锦园,54
2021,3,6,小型普通客车,锦园,6486
2021,3,6,小型汽车,锦园,502
2021,3,6,重型栏板货车,锦园,429
2021,3,7,其它,锦园,2
2021,3,7,大型汽车,锦园,62
2021,3,7,小型普通客车,锦园,6349
2021,3,7,小型汽车,锦园,518
2021,3,7,重型栏板货车,锦园,401
2021,3,8,其它,锦园,4
2021,3,8,大型汽车,锦园,75
2021,3,8,小型普通客车,锦园,7345
2021,3,8,小型汽车,锦园,593
2021,3,8,重型栏板货车,锦园,396
2021,3,9,其它,锦园,1
2021,3,9,大型汽车,锦园,80
2021,3,9,小型普通客车,锦园,7067
2021,3,9,小型汽车,锦园,589
2021,3,9,重型栏板货车,锦园,375
2021,3,10,其它,锦园,3
2021,3,10,大型汽车,锦园,66
2021,3,10,小型普通客车,锦园,7113
2021,3,10,小型汽车,锦园,520
2021,3,10,普通二轮摩托车,锦园,1
2021,3,10,重型栏板货车,锦园,324
2021,3,11,其它,锦园,6
2021,3,11,大型汽车,锦园,66
2021,3,11,小型普通客车,锦园,6460
2021,3,11,小型汽车,锦园,531
2021,3,11,重型栏板货车,锦园,303
2021,3,12,其它,锦园,5
2021,3,12,大型汽车,锦园,87
2021,3,12,小型普通客车,锦园,7183
2021,3,12,小型汽车,锦园,557
2021,3,12,普通二轮摩托车,锦园,1
2021,3,12,重型栏板货车,锦园,314
2021,3,13,其它,锦园,4
2021,3,13,大型汽车,锦园,61
2021,3,13,小型普通客车,锦园,6293
