年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,其它,黄山,2
2021,3,1,大型汽车,黄山,41
2021,3,1,小型普通客车,黄山,14291
2021,3,1,小型汽车,黄山,1281
2021,3,1,微型栏板货车,黄山,1
2021,3,1,普通二轮摩托车,黄山,3
2021,3,1,重型栏板货车,黄山,207
2021,3,2,其它,黄山,4
2021,3,2,大型汽车,黄山,42
2021,3,2,小型普通客车,黄山,12824
2021,3,2,小型汽车,黄山,1237
2021,3,2,微型栏板货车,黄山,6
2021,3,2,普通二轮摩托车,黄山,5
2021,3,2,重型栏板货车,黄山,221
2021,3,3,其它,黄山,3
2021,3,3,大型汽车,黄山,42
2021,3,3,小型普通客车,黄山,12295
2021,3,3,小型汽车,黄山,1230
2021,3,3,微型栏板货车,黄山,3
2021,3,3,普通二轮摩托车,黄山,5
2021,3,3,重型栏板货车,黄山,197
2021,3,4,其它,黄山,4
2021,3,4,大型汽车,黄山,46
2021,3,4,小型普通客车,黄山,12418
2021,3,4,小型汽车,黄山,1021
2021,3,4,微型栏板货车,黄山,4
2021,3,4,普通二轮摩托车,黄山,3
2021,3,4,重型栏板货车,黄山,198
2021,3,5,其它,黄山,2
2021,3,5,大型汽车,黄山,37
2021,3,5,小型普通客车,黄山,12640
2021,3,5,小型汽车,黄山,953
2021,3,5,微型栏板货车,黄山,3
2021,3,5,普通二轮摩托车,黄山,3
2021,3,5,重型栏板货车,黄山,204
2021,3,6,其它,黄山,3
2021,3,6,大型汽车,黄山,24
2021,3,6,小型普通客车,黄山,8399
2021,3,6,小型汽车,黄山,628
2021,3,6,微型栏板货车,黄山,4
2021,3,6,普通二轮摩托车,黄山,1
2021,3,6,重型栏板货车,黄山,137
2021,3,7,其它,黄山,2
2021,3,7,大型汽车,黄山,53
2021,3,7,小型普通客车,黄山,11734
2021,3,7,小型汽车,黄山,1090
2021,3,7,微型栏板货车,黄山,8
2021,3,7,普通二轮摩托车,黄山,6
2021,3,7,重型栏板货车,黄山,196
2021,3,8,其它,黄山,3
2021,3,8,大型汽车,黄山,43
2021,3,8,小型普通客车,黄山,13331
2021,3,8,小型汽车,黄山,857
2021,3,8,微型栏板货车,黄山,4
2021,3,8,普通二轮摩托车,黄山,6
2021,3,8,重型栏板货车,黄山,246
2021,3,9,其它,黄山,7
2021,3,9,大型汽车,黄山,40
2021,3,9,小型普通客车,黄山,12725
2021,3,9,小型汽车,黄山,1080
2021,3,9,重型栏板货车,黄山,220
2021,3,10,其它,黄山,3
2021,3,10,大型汽车,黄山,44
2021,3,10,小型普通客车,黄山,12931
2021,3,10,小型汽车,黄山,855
2021,3,10,微型栏板货车,黄山,2
2021,3,10,普通二轮摩托车,黄山,2
2021,3,10,重型栏板货车,黄山,229
2021,3,11,其它,黄山,3
2021,3,11,大型汽车,黄山,27
2021,3,11,小型普通客车,黄山,12848
2021,3,11,小型汽车,黄山,836
2021,3,11,微型栏板货车,黄山,4
2021,3,11,普通二轮摩托车,黄山,4
2021,3,11,重型栏板货车,黄山,208
2021,3,12,其它,黄山,3
2021,3,12,大型汽车,黄山,36
2021,3,12,小型普通客车,黄山,12403
2021,3,12,小型汽车,黄山,914
2021,3,12,微型栏板货车,黄山,7
2021,3,12,普通二轮摩托车,黄山,5
2021,3,12,重型栏板货车,黄山,216
2021,3,13,其它,黄山,4
2021,3,13,大型汽车,黄山,27
2021,3,13,小型普通客车,黄山,11102
2021,3,13,小型汽车,黄山,595
2021,3,13,微型栏板货车,黄山,3
2021,3,13,普通二轮摩托车,黄山,5
2021,3,13,重型栏板货车,黄山,191
2021,3,14,其它,黄山,1
2021,3,14,大型汽车,黄山,33
2021,3,14,小型普通客车,黄山,11212
2021,3,14,小型汽车,黄山,654
2021,3,14,微型栏板货车,黄山,5
2021,3,14,普通二轮摩托车,黄山,2
2021,3,14,重型栏板货车,黄山,193
2021,3,15,其它,黄山,2
2021,3,15,大型汽车,黄山,41
2021,3,15,小型普通客车,黄山,11991
2021,3,15,小型汽车,黄山,1039
2021,3,15,微型栏板货车,黄山,1
2021,3,15,普通二轮摩托车,黄山,5
2021,3,15,重型栏板货车,黄山,220
2021,3,16,大型汽车,黄山,19
2021,3,16,小型普通客车,黄山,11631
2021,3,16,小型汽车,黄山,580
2021,3,16,微型栏板货车,黄山,8
2021,3,16,普通二轮摩托车,黄山,1
2021,3,16,重型栏板货车,黄山,219
2021,3,17,其它,黄山,4
2021,3,17,大型汽车,黄山,47
2021,3,17,小型普通客车,黄山,10912
2021,3,17,小型汽车,黄山,947
2021,3,17,微型栏板货车,黄山,4
2021,3,17,普通二轮摩托车,黄山,5
2021,3,17,重型栏板货车,黄山,185
2021,3,18,其它,黄山,1
2021,3,18,大型汽车,黄山,31
2021,3,18,小型普通客车,黄山,10436
2021,3,18,小型汽车,黄山,692
2021,3,18,微型栏板货车,黄山,1
2021,3,18,普通二轮摩托车,黄山,2
2021,3,18,重型栏板货车,黄山,207
2021,3,19,其它,黄山,3
2021,3,19,大型汽车,黄山,40
2021,3,19,小型普通客车,黄山,11950
2021,3,19,小型汽车,黄山,713
2021,3,19,微型栏板货车,黄山,2
2021,3,19,普通二轮摩托车,黄山,3
2021,3,19,重型栏板货车,黄山,209
2021,3,20,其它,黄山,2
2021,3,20,大型汽车,黄山,27
2021,3,20,小型普通客车,黄山,11055
2021,3,20,小型汽车,黄山,621
2021,3,20,微型栏板货车,黄山,1
2021,3,20,普通二轮摩托车,黄山,6
2021,3,20,重型栏板货车,黄山,202
2021,3,21,其它,黄山,2
2021,3,21,大型汽车,黄山,32
2021,3,21,小型普通客车,黄山,10902
2021,3,21,小型汽车,黄山,553
2021,3,21,微型栏板货车,黄山,5
2021,3,21,普通二轮摩托车,黄山,2
2021,3,21,重型栏板货车,黄山,176
2021,3,22,其它,黄山,3
2021,3,22,大型汽车,黄山,35
2021,3,22,小型普通客车,黄山,11730
2021,3,22,小型汽车,黄山,756
2021,3,22,微型栏板货车,黄山,5
2021,3,22,普通二轮摩托车,黄山,4
2021,3,22,重型栏板货车,黄山,215
2021,3,23,其它,黄山,2
2021,3,23,大型汽车,黄山,41
2021,3,23,小型普通客车,黄山,9140
2021,3,23,小型汽车,黄山,728
2021,3,23,微型栏板货车,黄山,2
2021,3,23,普通二轮摩托车,黄山,3
2021,3,23,重型栏板货车,黄山,160
2021,3,24,其它,黄山,3
2021,3,24,大型汽车,黄山,36
2021,3,24,小型普通客车,黄山,11625
2021,3,24,小型汽车,黄山,969
2021,3,24,微型栏板货车,黄山,3
2021,3,24,普通二轮摩托车,黄山,1
2021,3,24,重型栏板货车,黄山,240
2021,3,25,其它,黄山,2
2021,3,25,大型汽车,黄山,38
2021,3,25,小型普通客车,黄山,11349
2021,3,25,小型汽车,黄山,784
2021,3,25,微型栏板货车,黄山,2
2021,3,25,普通二轮摩托车,黄山,6
2021,3,25,重型栏板货车,黄山,206
2021,3,26,其它,黄山,3
2021,3,26,大型汽车,黄山,38
2021,3,26,小型普通客车,黄山,12629
2021,3,26,小型汽车,黄山,1077
2021,3,26,微型栏板货车,黄山,1
2021,3,26,普通二轮摩托车,黄山,2
2021,3,26,重型栏板货车,黄山,224
2021,3,27,其它,黄山,1
2021,3,27,大型汽车,黄山,42
2021,3,27,小型普通客车,黄山,11653
2021,3,27,小型汽车,黄山,1128
2021,3,27,微型栏板货车,黄山,2
2021,3,27,普通二轮摩托车,黄山,10
2021,3,27,重型栏板货车,黄山,208
2021,3,28,其它,黄山,2
2021,3,28,大型汽车,黄山,29
2021,3,28,小型普通客车,黄山,11217
2021,3,28,小型汽车,黄山,665
2021,3,28,微型栏板货车,黄山,1
2021,3,28,普通二轮摩托车,黄山,4
2021,3,28,重型栏板货车,黄山,221
2021,3,29,其它,黄山,2
2021,3,29,大型汽车,黄山,41
2021,3,29,小型普通客车,黄山,11887
2021,3,29,小型汽车,黄山,894
2021,3,29,微型栏板货车,黄山,1
2021,3,29,普通二轮摩托车,黄山,2
2021,3,29,重型栏板货车,黄山,231
2021,3,30,其它,黄山,3
2021,3,30,大型汽车,黄山,48
2021,3,30,小型普通客车,黄山,11742
2021,3,30,小型汽车,黄山,1181
2021,3,30,微型栏板货车,黄山,1
2021,3,30,普通二轮摩托车,黄山,6
2021,3,30,重型栏板货车,黄山,200
2021,3,31,其它,黄山,1
2021,3,31,大型汽车,黄山,40
2021,3,31,小型普通客车,黄山,11646
2021,3,31,小型汽车,黄山,1022
2021,3,31,微型栏板货车,黄山,3
2021,3,31,普通二轮摩托车,黄山,4
2021,3,31,重型栏板货车,黄山,233
2021,4,1,其它,黄山,3
2021,4,1,大型汽车,黄山,37
2021,4,1,小型普通客车,黄山,11893
2021,4,1,小型汽车,黄山,1034
2021,4,1,微型栏板货车,黄山,1
2021,4,1,普通二轮摩托车,黄山,2
2021,4,1,重型栏板货车,黄山,212
2021,4,2,其它,黄山,4
2021,4,2,大型汽车,黄山,40
2021,4,2,小型普通客车,黄山,13582
2021,4,2,小型汽车,黄山,781
2021,4,2,微型栏板货车,黄山,2
2021,4,2,普通二轮摩托车,黄山,5
2021,4,2,重型栏板货车,黄山,241
2021,4,3,大型汽车,黄山,36
2021,4,3,小型普通客车,黄山,12376
2021,4,3,小型汽车,黄山,869
2021,4,3,微型栏板货车,黄山,2
2021,4,3,普通二轮摩托车,黄山,1
2021,4,3,重型栏板货车,黄山,222
2021,4,4,其它,黄山,3
2021,4,4,大型汽车,黄山,35
2021,4,4,小型普通客车,黄山,11017
2021,4,4,小型汽车,黄山,639
2021,4,4,微型栏板货车,黄山,5
2021,4,4,普通二轮摩托车,黄山,3
2021,4,4,重型栏板货车,黄山,208
2021,4,5,其它,黄山,1
2021,4,5,大型汽车,黄山,23
2021,4,5,小型普通客车,黄山,11352
2021,4,5,小型汽车,黄山,501
2021,4,5,微型栏板货车,黄山,3
2021,4,5,普通二轮摩托车,黄山,4
2021,4,5,重型栏板货车,黄山,232
2021,4,6,其它,黄山,6
2021,4,6,大型汽车,黄山,31
2021,4,6,小型普通客车,黄山,11882
2021,4,6,小型汽车,黄山,914
2021,4,6,微型栏板货车,黄山,1
2021,4,6,普通二轮摩托车,黄山,5
2021,4,6,重型栏板货车,黄山,213
2021,4,7,其它,黄山,1
2021,4,7,大型汽车,黄山,29
2021,4,7,小型普通客车,黄山,11034
2021,4,7,小型汽车,黄山,724
2021,4,7,微型栏板货车,黄山,1
2021,4,7,普通二轮摩托车,黄山,2
2021,4,7,重型栏板货车,黄山,215
2021,4,8,其它,黄山,1
2021,4,8,大型汽车,黄山,50
2021,4,8,小型普通客车,黄山,11391
2021,4,8,小型汽车,黄山,972
2021,4,8,重型栏板货车,黄山,224
2021,4,9,其它,黄山,1
2021,4,9,大型汽车,黄山,32
2021,4,9,小型普通客车,黄山,11354
2021,4,9,小型汽车,黄山,900
2021,4,9,普通二轮摩托车,黄山,4
2021,4,9,重型栏板货车,黄山,239
2021,4,10,其它,黄山,4
2021,4,10,大型汽车,黄山,29
2021,4,10,小型普通客车,黄山,11343
2021,4,10,小型汽车,黄山,716
2021,4,10,普通二轮摩托车,黄山,7
2021,4,10,重型栏板货车,黄山,196
2021,4,11,其它,黄山,2
2021,4,11,大型汽车,黄山,30
2021,4,11,小型普通客车,黄山,10592
2021,4,11,小型汽车,黄山,658
2021,4,11,普通二轮摩托车,黄山,1
2021,4,11,重型栏板货车,黄山,203
2021,4,12,其它,黄山,3
2021,4,12,大型汽车,黄山,40
2021,4,12,小型普通客车,黄山,11272
2021,4,12,小型汽车,黄山,845
2021,4,12,普通二轮摩托车,黄山,5
2021,4,12,重型栏板货车,黄山,232
2021,4,13,其它,黄山,4
2021,4,13,大型汽车,黄山,43
2021,4,13,小型普通客车,黄山,11538
2021,4,13,小型汽车,黄山,1045
2021,4,13,微型栏板货车,黄山,1
2021,4,13,普通二轮摩托车,黄山,5
2021,4,13,重型栏板货车,黄山,242
2021,4,14,其它,黄山,4
2021,4,14,大型汽车,黄山,37
2021,4,14,小型普通客车,黄山,11550
2021,4,14,小型汽车,黄山,886
2021,4,14,微型栏板货车,黄山,2
2021,4,14,普通二轮摩托车,黄山,4
2021,4,14,重型栏板货车,黄山,226
2021,4,15,大型汽车,黄山,33
2021,4,15,小型普通客车,黄山,11572
2021,4,15,小型汽车,黄山,667
2021,4,15,微型栏板货车,黄山,1
