年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,中型栏板货车,黄河,20
2021,3,1,其它,黄河,4227
2021,3,1,大型普通客车,黄河,9210
2021,3,1,大型汽车,黄河,242
2021,3,1,小型普通客车,黄河,85323
2021,3,1,小型汽车,黄河,8435
2021,3,1,微型栏板货车,黄河,91
2021,3,1,普通二轮摩托车,黄河,1
2021,3,1,重型栏板货车,黄河,2369
2021,3,2,中型栏板货车,黄河,23
2021,3,2,其它,黄河,4075
2021,3,2,大型普通客车,黄河,8753
2021,3,2,大型汽车,黄河,247
2021,3,2,小型普通客车,黄河,80176
2021,3,2,小型汽车,黄河,8845
2021,3,2,微型栏板货车,黄河,116
2021,3,2,重型栏板货车,黄河,2463
2021,3,3,中型栏板货车,黄河,26
2021,3,3,其它,黄河,4064
2021,3,3,大型普通客车,黄河,8672
2021,3,3,大型汽车,黄河,236
2021,3,3,小型普通客车,黄河,78638
2021,3,3,小型汽车,黄河,7346
2021,3,3,微型栏板货车,黄河,126
2021,3,3,重型栏板货车,黄河,2475
2021,3,4,中型栏板货车,黄河,27
2021,3,4,其它,黄河,4018
2021,3,4,大型普通客车,黄河,8418
2021,3,4,大型汽车,黄河,240
2021,3,4,小型普通客车,黄河,77813
2021,3,4,小型汽车,黄河,8526
2021,3,4,微型栏板货车,黄河,215
2021,3,4,重型栏板货车,黄河,2535
2021,3,5,中型栏板货车,黄河,26
2021,3,5,其它,黄河,4184
2021,3,5,大型普通客车,黄河,8463
2021,3,5,大型汽车,黄河,225
2021,3,5,小型普通客车,黄河,77048
2021,3,5,小型汽车,黄河,7020
2021,3,5,微型栏板货车,黄河,114
2021,3,5,重型栏板货车,黄河,2549
2021,3,6,中型栏板货车,黄河,20
2021,3,6,其它,黄河,2084
2021,3,6,大型普通客车,黄河,4363
2021,3,6,大型汽车,黄河,162
2021,3,6,小型普通客车,黄河,75123
2021,3,6,小型汽车,黄河,5834
2021,3,6,微型栏板货车,黄河,66
2021,3,6,重型栏板货车,黄河,2445
2021,3,7,中型栏板货车,黄河,25
2021,3,7,其它,黄河,3234
2021,3,7,大型普通客车,黄河,6623
2021,3,7,大型汽车,黄河,232
2021,3,7,小型普通客车,黄河,66296
2021,3,7,小型汽车,黄河,6521
2021,3,7,微型栏板货车,黄河,137
2021,3,7,重型栏板货车,黄河,2519
2021,3,8,中型栏板货车,黄河,33
2021,3,8,其它,黄河,4156
2021,3,8,大型普通客车,黄河,8466
2021,3,8,大型汽车,黄河,251
2021,3,8,小型普通客车,黄河,77578
2021,3,8,小型汽车,黄河,8065
2021,3,8,微型栏板货车,黄河,144
2021,3,8,普通二轮摩托车,黄河,1
2021,3,8,重型栏板货车,黄河,2630
2021,3,9,中型栏板货车,黄河,36
2021,3,9,其它,黄河,3833
2021,3,9,大型普通客车,黄河,7640
2021,3,9,大型汽车,黄河,240
2021,3,9,小型普通客车,黄河,73508
2021,3,9,小型汽车,黄河,6955
2021,3,9,微型栏板货车,黄河,104
2021,3,9,重型栏板货车,黄河,2610
2021,3,10,中型栏板货车,黄河,32
2021,3,10,其它,黄河,3506
2021,3,10,大型普通客车,黄河,7321
2021,3,10,大型汽车,黄河,232
2021,3,10,小型普通客车,黄河,75048
2021,3,10,小型汽车,黄河,7758
2021,3,10,微型栏板货车,黄河,100
2021,3,10,重型栏板货车,黄河,2655
2021,3,11,中型栏板货车,黄河,26
2021,3,11,其它,黄河,3811
2021,3,11,大型普通客车,黄河,8061
2021,3,11,大型汽车,黄河,225
2021,3,11,小型普通客车,黄河,74401
2021,3,11,小型汽车,黄河,6603
2021,3,11,微型栏板货车,黄河,86
2021,3,11,重型栏板货车,黄河,2460
2021,3,12,中型栏板货车,黄河,25
2021,3,12,其它,黄河,4328
2021,3,12,大型普通客车,黄河,8801
2021,3,12,大型汽车,黄河,230
2021,3,12,小型普通客车,黄河,73340
2021,3,12,小型汽车,黄河,7586
2021,3,12,微型栏板货车,黄河,153
2021,3,12,重型栏板货车,黄河,2465
2021,3,13,中型栏板货车,黄河,20
2021,3,13,其它,黄河,3715
2021,3,13,大型普通客车,黄河,7355
2021,3,13,大型汽车,黄河,193
2021,3,13,小型普通客车,黄河,70078
2021,3,13,小型汽车,黄河,6134
2021,3,13,微型栏板货车,黄河,99
2021,3,13,重型栏板货车,黄河,2451
2021,3,14,中型栏板货车,黄河,44
2021,3,14,其它,黄河,3324
2021,3,14,大型普通客车,黄河,6580
2021,3,14,大型汽车,黄河,225
2021,3,14,小型普通客车,黄河,61857
2021,3,14,小型汽车,黄河,6404
2021,3,14,微型栏板货车,黄河,100
2021,3,14,普通二轮摩托车,黄河,1
2021,3,14,重型栏板货车,黄河,2361
2021,3,15,中型栏板货车,黄河,26
2021,3,15,其它,黄河,3505
2021,3,15,大型普通客车,黄河,7198
2021,3,15,大型汽车,黄河,217
2021,3,15,小型普通客车,黄河,73185
2021,3,15,小型汽车,黄河,7563
2021,3,15,微型栏板货车,黄河,118
2021,3,15,普通二轮摩托车,黄河,1
2021,3,15,重型栏板货车,黄河,2665
2021,3,16,中型栏板货车,黄河,24
2021,3,16,其它,黄河,3392
2021,3,16,大型普通客车,黄河,7105
2021,3,16,大型汽车,黄河,255
2021,3,16,小型普通客车,黄河,72705
2021,3,16,小型汽车,黄河,7540
2021,3,16,微型栏板货车,黄河,93
2021,3,16,重型栏板货车,黄河,2493
2021,3,17,中型栏板货车,黄河,39
2021,3,17,其它,黄河,3922
2021,3,17,大型普通客车,黄河,8364
2021,3,17,大型汽车,黄河,231
2021,3,17,小型普通客车,黄河,71220
2021,3,17,小型汽车,黄河,7400
2021,3,17,微型栏板货车,黄河,120
2021,3,17,重型栏板货车,黄河,2500
2021,3,18,中型栏板货车,黄河,40
2021,3,18,其它,黄河,4146
2021,3,18,大型普通客车,黄河,9012
2021,3,18,大型汽车,黄河,212
2021,3,18,小型普通客车,黄河,76676
2021,3,18,小型汽车,黄河,7418
2021,3,18,微型栏板货车,黄河,152
2021,3,18,重型栏板货车,黄河,2622
2021,3,19,中型栏板货车,黄河,35
2021,3,19,其它,黄河,4467
2021,3,19,大型普通客车,黄河,8737
2021,3,19,大型汽车,黄河,211
2021,3,19,小型普通客车,黄河,75242
2021,3,19,小型汽车,黄河,7122
2021,3,19,微型栏板货车,黄河,125
2021,3,19,普通二轮摩托车,黄河,2
2021,3,19,重型栏板货车,黄河,2596
2021,3,20,中型栏板货车,黄河,28
2021,3,20,其它,黄河,3787
2021,3,20,大型普通客车,黄河,7437
2021,3,20,大型汽车,黄河,223
2021,3,20,小型普通客车,黄河,69804
2021,3,20,小型汽车,黄河,6088
2021,3,20,微型栏板货车,黄河,113
2021,3,20,重型栏板货车,黄河,2430
2021,3,21,中型栏板货车,黄河,78
2021,3,21,其它,黄河,3688
2021,3,21,大型普通客车,黄河,6728
2021,3,21,大型汽车,黄河,244
2021,3,21,小型普通客车,黄河,60356
