年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,其它,黑龙,87
2021,3,1,大型汽车,黑龙,966
2021,3,1,小型普通客车,黑龙,12750
2021,3,1,小型汽车,黑龙,1804
2021,3,1,普通二轮摩托车,黑龙,2
2021,3,1,重型栏板货车,黑龙,1808
2021,3,2,其它,黑龙,106
2021,3,2,大型汽车,黑龙,937
2021,3,2,小型普通客车,黑龙,13502
2021,3,2,小型汽车,黑龙,1920
2021,3,2,普通二轮摩托车,黑龙,2
2021,3,2,重型栏板货车,黑龙,2304
2021,3,3,其它,黑龙,93
2021,3,3,大型汽车,黑龙,1016
2021,3,3,小型普通客车,黑龙,13139
2021,3,3,小型汽车,黑龙,2016
2021,3,3,普通二轮摩托车,黑龙,3
2021,3,3,重型栏板货车,黑龙,2168
2021,3,4,其它,黑龙,106
2021,3,4,大型汽车,黑龙,1132
2021,3,4,小型普通客车,黑龙,12688
2021,3,4,小型汽车,黑龙,2062
2021,3,4,微型栏板货车,黑龙,1
2021,3,4,普通二轮摩托车,黑龙,2
2021,3,4,重型栏板货车,黑龙,2279
2021,3,5,其它,黑龙,98
2021,3,5,大型汽车,黑龙,1095
2021,3,5,小型普通客车,黑龙,13290
2021,3,5,小型汽车,黑龙,2018
2021,3,5,普通二轮摩托车,黑龙,4
2021,3,5,重型栏板货车,黑龙,2528
2021,3,6,其它,黑龙,68
2021,3,6,大型汽车,黑龙,1201
2021,3,6,小型普通客车,黑龙,11031
2021,3,6,小型汽车,黑龙,2030
2021,3,6,微型栏板货车,黑龙,3
2021,3,6,普通二轮摩托车,黑龙,4
2021,3,6,重型栏板货车,黑龙,2608
2021,3,7,其它,黑龙,76
2021,3,7,大型汽车,黑龙,1199
2021,3,7,小型普通客车,黑龙,11467
2021,3,7,小型汽车,黑龙,1931
2021,3,7,普通二轮摩托车,黑龙,1
2021,3,7,重型栏板货车,黑龙,2554
2021,3,8,其它,黑龙,88
2021,3,8,大型汽车,黑龙,1145
2021,3,8,小型普通客车,黑龙,13532
2021,3,8,小型汽车,黑龙,1983
2021,3,8,普通二轮摩托车,黑龙,1
2021,3,8,重型栏板货车,黑龙,2587
2021,3,9,其它,黑龙,106
2021,3,9,大型汽车,黑龙,1080
2021,3,9,小型普通客车,黑龙,12665
2021,3,9,小型汽车,黑龙,2182
2021,3,9,微型栏板货车,黑龙,1
2021,3,9,普通二轮摩托车,黑龙,4
2021,3,9,重型栏板货车,黑龙,2718
2021,3,10,其它,黑龙,91
2021,3,10,大型汽车,黑龙,1122
2021,3,10,小型普通客车,黑龙,13141
2021,3,10,小型汽车,黑龙,2070
2021,3,10,普通二轮摩托车,黑龙,1
2021,3,10,重型栏板货车,黑龙,2002
2021,3,11,其它,黑龙,95
2021,3,11,大型汽车,黑龙,950
2021,3,11,小型普通客车,黑龙,11723
2021,3,11,小型汽车,黑龙,1917
2021,3,11,普通二轮摩托车,黑龙,2
2021,3,11,重型栏板货车,黑龙,1860
2021,3,12,其它,黑龙,106
2021,3,12,大型汽车,黑龙,1171
2021,3,12,小型普通客车,黑龙,14304
2021,3,12,小型汽车,黑龙,2271
2021,3,12,微型栏板货车,黑龙,1
2021,3,12,普通二轮摩托车,黑龙,5
2021,3,12,重型栏板货车,黑龙,2131
2021,3,13,其它,黑龙,69
2021,3,13,大型汽车,黑龙,987
2021,3,13,小型普通客车,黑龙,11553
2021,3,13,小型汽车,黑龙,1844
2021,3,13,普通二轮摩托车,黑龙,1
2021,3,13,重型栏板货车,黑龙,2084
2021,3,14,其它,黑龙,78
2021,3,14,大型汽车,黑龙,918
2021,3,14,小型普通客车,黑龙,11525
2021,3,14,小型汽车,黑龙,1710
2021,3,14,普通二轮摩托车,黑龙,1
2021,3,14,重型栏板货车,黑龙,2001
2021,3,15,其它,黑龙,73
2021,3,15,大型汽车,黑龙,933
2021,3,15,小型普通客车,黑龙,12521
2021,3,15,小型汽车,黑龙,1979
2021,3,15,重型栏板货车,黑龙,2258
2021,3,16,其它,黑龙,104
2021,3,16,大型汽车,黑龙,1158
2021,3,16,小型普通客车,黑龙,12984
2021,3,16,小型汽车,黑龙,1982
2021,3,16,普通二轮摩托车,黑龙,1
2021,3,16,重型栏板货车,黑龙,2681
2021,3,17,其它,黑龙,93
2021,3,17,大型汽车,黑龙,1149
2021,3,17,小型普通客车,黑龙,12489
2021,3,17,小型汽车,黑龙,2175
2021,3,17,普通二轮摩托车,黑龙,2
2021,3,17,重型栏板货车,黑龙,2994
2021,3,18,其它,黑龙,78
2021,3,18,大型汽车,黑龙,1108
2021,3,18,小型普通客车,黑龙,12945
2021,3,18,小型汽车,黑龙,1850
2021,3,18,普通二轮摩托车,黑龙,2
2021,3,18,重型栏板货车,黑龙,2741
2021,3,19,其它,黑龙,95
2021,3,19,大型汽车,黑龙,1114
2021,3,19,小型普通客车,黑龙,12887
2021,3,19,小型汽车,黑龙,2067
2021,3,19,普通二轮摩托车,黑龙,1
2021,3,19,重型栏板货车,黑龙,2689
2021,3,20,其它,黑龙,87
2021,3,20,大型汽车,黑龙,1142
