jd,wd,车辆类型,过车数量,年,月,日,卡口名称
116.07,36.4,大型汽车,21,2021,3,1,303卡口
116.07,36.4,小型汽车,6,2021,3,1,303卡口
116.07,36.4,小型汽车,110,2021,3,1,303卡口
116.07,36.4,大型汽车,38,2021,3,1,303卡口
116.07,36.4,小型汽车,129,2021,3,1,303卡口
116.07,36.4,大型汽车,51,2021,3,1,303卡口
116.07,36.4,小型汽车,94,2021,3,1,303卡口
116.07,36.4,大型汽车,75,2021,3,1,303卡口
116.07,36.4,小型普通客车,8,2021,3,1,303卡口
116.07,36.4,重型栏板货车,5,2021,3,1,303卡口
116.07,36.4,小型普通客车,875,2021,3,1,303卡口
116.07,36.4,重型栏板货车,38,2021,3,1,303卡口
116.07,36.4,小型普通客车,614,2021,3,1,303卡口
116.07,36.4,重型栏板货车,67,2021,3,1,303卡口
116.07,36.4,小型普通客车,500,2021,3,1,303卡口
116.07,36.4,重型栏板货车,53,2021,3,1,303卡口
116.07,36.4,大型汽车,24,2021,3,2,303卡口
116.07,36.4,小型汽车,8,2021,3,2,303卡口
116.07,36.4,小型汽车,100,2021,3,2,303卡口
116.07,36.4,大型汽车,44,2021,3,2,303卡口
116.07,36.4,小型汽车,125,2021,3,2,303卡口
116.07,36.4,大型汽车,7,2021,3,2,303卡口
116.07,36.4,小型汽车,115,2021,3,2,303卡口
116.07,36.4,大型汽车,108,2021,3,2,303卡口
116.07,36.4,重型栏板货车,9,2021,3,2,303卡口
116.07,36.4,小型普通客车,4,2021,3,2,303卡口
116.07,36.4,小型普通客车,885,2021,3,2,303卡口
116.07,36.4,重型栏板货车,44,2021,3,2,303卡口
116.07,36.4,小型普通客车,563,2021,3,2,303卡口
116.07,36.4,重型栏板货车,23,2021,3,2,303卡口
116.07,36.4,小型普通客车,642,2021,3,2,303卡口
116.07,36.4,重型栏板货车,80,2021,3,2,303卡口
116.07,36.4,大型汽车,49,2021,3,3,303卡口
116.07,36.4,小型汽车,5,2021,3,3,303卡口
116.07,36.4,小型汽车,73,2021,3,3,303卡口
116.07,36.4,大型汽车,21,2021,3,3,303卡口
116.07,36.4,小型汽车,110,2021,3,3,303卡口
116.07,36.4,大型汽车,9,2021,3,3,303卡口
116.07,36.4,小型汽车,122,2021,3,3,303卡口
116.07,36.4,大型汽车,90,2021,3,3,303卡口
116.07,36.4,重型栏板货车,18,2021,3,3,303卡口
116.07,36.4,小型普通客车,14,2021,3,3,303卡口
116.07,36.4,小型普通客车,734,2021,3,3,303卡口
116.07,36.4,重型栏板货车,23,2021,3,3,303卡口
116.07,36.4,小型普通客车,591,2021,3,3,303卡口
116.07,36.4,重型栏板货车,20,2021,3,3,303卡口
116.07,36.4,小型普通客车,662,2021,3,3,303卡口
116.07,36.4,重型栏板货车,88,2021,3,3,303卡口
116.07,36.4,大型汽车,27,2021,3,4,303卡口
116.07,36.4,小型汽车,10,2021,3,4,303卡口
116.07,36.4,小型汽车,62,2021,3,4,303卡口
116.07,36.4,大型汽车,5,2021,3,4,303卡口
116.07,36.4,小型汽车,135,2021,3,4,303卡口
116.07,36.4,大型汽车,25,2021,3,4,303卡口
116.07,36.4,小型汽车,113,2021,3,4,303卡口
116.07,36.4,大型汽车,105,2021,3,4,303卡口
116.07,36.4,重型栏板货车,22,2021,3,4,303卡口
116.07,36.4,小型普通客车,13,2021,3,4,303卡口
116.07,36.4,小型普通客车,623,2021,3,4,303卡口
116.07,36.4,重型栏板货车,5,2021,3,4,303卡口
116.07,36.4,小型普通客车,660,2021,3,4,303卡口
116.07,36.4,重型栏板货车,33,2021,3,4,303卡口
116.07,36.4,小型普通客车,672,2021,3,4,303卡口
116.07,36.4,重型栏板货车,71,2021,3,4,303卡口
