年,月,日,时,气温,风向,风速,降水量,天气现象,日期,AQI,质量等级,PM2.5,PM10,CO,NO2,SO2,O3
2020,8,1,0,27.9,141,1.6,0,晴,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,1,27.4,177,0.8,0,晴,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,2,27.2,145,1.1,0,轻雾,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,3,26.9,184,1.3,0,轻雾,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,4,27,176,1.3,0,轻雾,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,5,26.9,174,1.8,0,轻雾,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,6,26.9,157,0.6,0,轻雾,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,7,27.1,83,1,0,轻雾,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,8,27.6,176,2.3,0,轻雾,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,9,28.9,119,1.2,0,轻雾,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,10,29.5,247,1.8,0,轻雾,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,11,30.8,213,1.4,0,轻雾,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,12,31.3,171,2.6,0,轻雾,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,13,32.6,291,1,0,轻雾,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,14,33.1,241,1.5,0,轻雾,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,15,32.7,224,1.9,0,轻雾,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,16,32.6,253,0.9,0,轻雾,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,17,32.4,215,1.2,0,轻雾,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,18,31.5,128,1,0,轻雾，雨,2020/8/1,59,良,41,3,37,25,0.6,68
2020,8,1,19,31.3,56,0.7,0,轻雾，雨,2020/8/1,59,良,41,3,37,25,0.6,68
