年,月,日,车辆类型,卡口名称(脱敏),过车数量
2021,3,1,中型栏板货车,黄河,20
2021,3,1,其它,东外,54
2021,3,1,其它,东岸,23
2021,3,1,其它,东昌,34
2021,3,1,其它,东环,1513
2021,3,1,其它,光岳,4
2021,3,1,其它,北外,22
2021,3,1,其它,北环,37
2021,3,1,其它,张古,2
2021,3,1,其它,海河,23439
2021,3,1,其它,滦河,11470
2021,3,1,其它,滨河,5
2021,3,1,其它,牡丹,52
2021,3,1,其它,辽河,2
2021,3,1,其它,锦园,3
2021,3,1,其它,黄山,2
2021,3,1,其它,黄河,4227
2021,3,1,其它,黑龙,87
2021,3,1,大型普通客车,黄河,9210
2021,3,1,大型汽车,东外,555
2021,3,1,大型汽车,东昌,1121
2021,3,1,大型汽车,东环,4231
2021,3,1,大型汽车,光岳,671
2021,3,1,大型汽车,北外,1736
2021,3,1,大型汽车,北斗,12
2021,3,1,大型汽车,北环,1949
2021,3,1,大型汽车,张古,10
2021,3,1,大型汽车,柳园,637
2021,3,1,大型汽车,海河,54
2021,3,1,大型汽车,滦河,31
2021,3,1,大型汽车,滨河,1449
2021,3,1,大型汽车,牡丹,351
2021,3,1,大型汽车,聊夏,23
2021,3,1,大型汽车,辽河,1515
2021,3,1,大型汽车,锦园,47
2021,3,1,大型汽车,黄山,41
2021,3,1,大型汽车,黄河,242
2021,3,1,大型汽车,黑龙,966
2021,3,1,小型普通客车,东外,5428
2021,3,1,小型普通客车,东岸,1328
2021,3,1,小型普通客车,东昌,160015
2021,3,1,小型普通客车,东环,71078
2021,3,1,小型普通客车,光岳,55824
2021,3,1,小型普通客车,北外,17587
2021,3,1,小型普通客车,北斗,5420
2021,3,1,小型普通客车,北环,27809
2021,3,1,小型普通客车,张古,9458
2021,3,1,小型普通客车,柳园,10326
2021,3,1,小型普通客车,海河,5526
2021,3,1,小型普通客车,滦河,7965
2021,3,1,小型普通客车,滨河,27676
2021,3,1,小型普通客车,牡丹,5663
2021,3,1,小型普通客车,聊夏,6057
2021,3,1,小型普通客车,辽河,110273
2021,3,1,小型普通客车,锦园,6727
2021,3,1,小型普通客车,黄山,14291
2021,3,1,小型普通客车,黄河,85323
2021,3,1,小型普通客车,黑龙,12750
2021,3,1,小型汽车,东外,857
2021,3,1,小型汽车,东昌,9541
2021,3,1,小型汽车,东环,9898
